time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2025-10-08T12:00,0.1,0.0,0.0,0.0,16.3,0.61,4.3,235,100,9260.0,0,0.345,260.0,95.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-08T13:00,0.4,0.5,0.0,0.0,16.1,1.91,4.3,160,100,6080.0,0,0.348,130.0,280.0,0,0.0,51,1,0.2,0,0,4,9,0.471,0.426
2025-10-08T14:00,0.1,0.0,0.0,0.0,14.7,0.85,4.3,201,100,13300.0,0,0.349,120.0,70.0,0,0.0,51,0,0.1,0,1,3,9,0.471,0.126
2025-10-08T15:00,0.4,0.75,0.0,0.0,15.1,1.61,3.3,187,100,5160.0,0,0.353,200.0,165.0,0,0.0,51,1,0.1,0,2,2,9,0.471,0.576
2025-10-08T16:00,0.3,0.0,0.0,0.0,15.1,2.09,4.5,197,100,7900.0,0,0.356,170.0,195.0,0,0.0,51,1,0.3,0,3,1,9,0.471,0.126
2025-10-08T17:00,0.2,0.5,0.0,0.0,15.1,1.85,4.8,199,100,10080.0,0,0.357,260.0,200.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-08T18:00,0.1,1.0,0.0,0.0,14.5,1.32,4.2,209,77,9740.0,0,0.344,230.0,100.0,0,0.0,51,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T19:00,0.0,0.0,0.0,0.0,14.5,1.06,2.9,221,52,1460.0,0,0.344,150.0,65.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T20:00,0.0,0.0,0.0,0.0,14.1,0.74,2.6,250,100,640.0,0,0.344,30.0,35.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T21:00,0.0,0.0,0.0,0.0,14.3,0.79,2.0,235,100,10820.0,0,0.344,20.0,50.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T22:00,0.0,0.0,0.0,0.0,14.6,1.1,2.7,219,100,1420.0,0,0.344,20.0,140.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-08T23:00,0.0,0.0,0.0,0.0,14.8,0.95,2.7,198,100,980.0,0,0.344,30.0,220.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T00:00,0.1,0.0,0.0,0.0,15.0,1.32,4.0,209,98,820.0,1,0.341,70.0,130.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-09T01:00,0.2,0.5,0.0,0.0,15.9,2.22,5.6,211,78,840.0,1,0.342,30.0,270.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-09T02:00,0.3,0.667,0.0,0.0,17.4,2.89,7.4,198,54,2740.0,1,0.344,80.0,405.0,0,0.0,51,1,0.1,1,0,3,24,0.173,0.446
2025-10-09T03:00,0.3,0.667,0.0,0.0,19.3,3.29,8.9,200,84,6040.0,1,0.343,250.0,670.0,0,0.0,51,1,0.1,1,1,2,24,0.173,0.446
2025-10-09T04:00,0.4,0.25,0.0,0.0,20.1,3.32,9.3,196,100,9260.0,1,0.343,500.0,835.0,0,0.0,51,1,0.3,1,2,1,24,0.173,0.196
2025-10-09T05:00,0.2,0.0,0.0,0.0,21.4,3.27,9.3,199,100,7720.0,1,0.338,620.0,1010.0,0,0.0,51,0,0.2,-1,-1,-1,-1,0.0,0.0
2025-10-09T06:00,0.1,0.0,0.0,0.0,21.7,3.6,9.5,194,59,13280.0,1,0.345,600.0,1265.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-09T07:00,0.0,0.0,0.0,0.0,22.1,3.28,10.2,196,27,17300.0,1,0.339,860.0,1295.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T08:00,0.1,0.0,0.0,0.0,22.0,2.97,9.3,186,29,10800.0,1,0.335,890.0,1285.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-09T09:00,0.1,0.0,0.0,0.0,21.8,3.36,8.4,183,23,12700.0,1,0.332,780.0,1190.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-09T10:00,0.1,0.0,0.0,0.0,20.5,2.87,8.5,193,23,27960.0,1,0.33,800.0,795.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-09T11:00,0.0,0.0,0.0,0.0,18.8,2.28,6.8,195,34,26140.0,0,0.329,680.0,330.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T12:00,0.0,0.0,0.0,0.0,17.6,0.98,5.1,195,27,19540.0,0,0.327,790.0,65.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T13:00,0.0,0.0,0.0,0.0,17.5,1.61,3.6,185,29,19400.0,0,0.327,910.0,170.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T14:00,0.0,0.0,0.0,0.0,17.1,1.82,4.1,188,27,20540.0,0,0.327,810.0,225.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T15:00,0.0,0.0,0.0,0.0,16.5,1.61,4.1,187,5,20720.0,0,0.327,690.0,225.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T16:00,0.0,0.0,0.0,0.0,16.3,1.71,4.0,195,5,20720.0,0,0.328,650.0,285.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T17:00,0.0,0.0,0.0,0.0,15.9,1.62,4.0,202,9,20720.0,0,0.328,610.0,270.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T18:00,0.0,0.0,0.0,0.0,15.4,1.3,3.9,203,16,16160.0,0,0.321,560.0,180.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T19:00,0.0,0.0,0.0,0.0,14.4,1.12,3.2,207,17,16540.0,0,0.322,490.0,75.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T20:00,0.0,0.0,0.0,0.0,14.0,0.98,2.7,204,24,16440.0,0,0.322,420.0,55.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T21:00,0.0,0.0,0.0,0.0,13.5,1.03,2.4,194,35,11140.0,0,0.322,420.0,50.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T22:00,0.0,0.0,0.0,0.0,13.2,1.05,2.5,205,100,200.0,0,0.322,400.0,45.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-09T23:00,0.0,0.0,0.0,0.0,14.6,1.05,2.8,205,100,340.0,0,0.323,310.0,75.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T00:00,0.0,0.0,0.0,0.0,14.3,0.83,3.5,327,100,220.0,1,0.323,430.0,15.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T01:00,0.0,0.0,0.0,0.0,16.7,1.88,4.8,202,55,11680.0,1,0.323,530.0,195.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T02:00,0.2,0.5,0.0,0.0,18.4,2.8,7.3,215,34,6360.0,1,0.323,640.0,560.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-10T03:00,0.2,0.5,0.0,0.0,19.7,3.02,8.2,219,27,8080.0,1,0.322,630.0,720.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-10T04:00,0.2,0.5,0.0,0.0,21.2,3.21,8.7,217,38,8340.0,1,0.319,800.0,905.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-10T05:00,0.3,0.333,0.0,0.0,22.1,3.21,9.1,217,36,8220.0,1,0.316,950.0,1070.0,0,0.0,51,1,0.2,2,0,1,20,0.0,0.2
2025-10-10T06:00,0.1,0.0,0.0,0.0,22.3,2.87,8.8,209,26,11140.0,1,0.312,1030.0,1105.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-10T07:00,0.1,0.0,0.0,0.0,23.0,3.08,9.0,197,27,11280.0,1,0.307,1290.0,1295.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-10T08:00,0.0,0.0,0.0,0.0,22.6,3.25,9.3,203,34,12820.0,1,0.302,1040.0,1190.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T09:00,0.1,0.0,0.0,0.0,22.1,3.02,8.9,199,32,17280.0,1,0.3,990.0,1145.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2025-10-10T10:00,0.0,0.0,0.0,0.0,21.2,2.41,7.4,186,44,18300.0,1,0.298,1080.0,960.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T11:00,0.0,0.0,0.0,0.0,19.2,1.76,5.8,195,50,16700.0,0,0.298,980.0,255.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T12:00,0.0,0.0,0.0,0.0,17.2,0.8,4.9,266,56,17280.0,0,0.303,490.0,65.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T13:00,0.0,0.0,0.0,0.0,16.4,0.36,2.2,304,41,20000.0,0,0.304,660.0,15.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T14:00,0.0,0.0,0.0,0.0,16.4,0.38,1.6,203,31,22700.0,0,0.304,940.0,20.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T15:00,0.0,0.0,0.0,0.0,16.1,0.83,2.0,205,18,22860.0,0,0.304,980.0,35.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T16:00,0.0,0.0,0.0,0.0,15.8,1.2,2.7,182,4,15320.0,0,0.305,910.0,65.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T17:00,0.0,0.0,0.0,0.0,15.6,1.25,2.9,185,0,20760.0,0,0.305,840.0,75.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T18:00,0.0,0.0,0.0,0.0,15.4,1.12,3.0,212,9,2220.0,0,0.305,970.0,60.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T19:00,0.0,0.0,0.0,0.0,14.8,0.99,2.6,229,13,1060.0,0,0.305,810.0,40.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T20:00,0.0,0.0,0.0,0.0,14.3,0.76,2.4,247,16,860.0,0,0.305,690.0,25.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2025-10-10T21:00,0.0,0.0,0.0,0.0,13.7,0.5,2.0,270,27,960.0,0,0.306,590.0,20.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
