time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2025-10-08T12:00,0.8,0.0,0.0,0.0,8.6,5.98,10.7,43,100,2700.0,0,0.405,0.0,675.0,0,0.0,53,1,0.8,0,0,35,5,0.557,0.149
2025-10-08T13:00,1.4,0.0,0.0,0.0,8.6,5.36,10.1,39,100,2480.0,0,0.411,0.0,685.0,0,0.0,61,1,1.4,0,1,34,5,0.557,0.149
2025-10-08T14:00,1.8,0.0,0.0,0.0,8.8,5.49,9.4,41,100,2380.0,0,0.417,0.0,680.0,0,0.0,61,1,1.8,0,2,33,5,0.557,0.149
2025-10-08T15:00,2.7,0.259,0.0,0.0,8.8,5.38,9.3,47,100,2720.0,0,0.421,0.0,640.0,0,0.0,81,1,2.0,0,3,32,5,0.557,0.304
2025-10-08T16:00,2.4,0.208,0.0,0.0,8.6,5.3,9.4,45,100,2180.0,0,0.426,0.0,610.0,1,0.0,80,1,1.9,0,4,31,5,0.557,0.273
2025-10-08T17:00,2.7,0.222,0.0,0.0,8.5,5.16,9.0,43,100,2560.0,0,0.427,0.0,585.0,1,0.0,81,1,2.1,0,5,30,5,0.557,0.282
2025-10-08T18:00,5.1,0.725,0.0,0.0,8.6,5.21,8.9,34,100,2500.0,0,0.422,0.0,615.0,1,0.0,81,1,1.4,0,6,29,5,0.557,0.584
2025-10-08T19:00,2.8,0.286,0.0,0.0,8.5,5.13,8.9,42,100,2000.0,0,0.426,0.0,585.0,1,0.0,81,1,2.0,0,7,28,5,0.557,0.32
2025-10-08T20:00,2.6,0.0,0.0,0.0,8.6,5.0,8.7,37,100,2200.0,0,0.428,0.0,590.0,1,0.0,63,1,2.6,0,8,27,5,0.557,0.149
2025-10-08T21:00,2.0,0.0,0.0,0.0,8.6,5.11,8.7,40,100,2140.0,0,0.428,0.0,575.0,1,0.0,61,1,2.0,0,9,26,5,0.557,0.149
2025-10-08T22:00,2.7,0.148,0.0,0.0,8.6,5.16,8.8,32,100,2000.0,0,0.43,0.0,570.0,1,0.0,81,1,2.3,0,10,25,5,0.557,0.237
2025-10-08T23:00,2.2,0.0,0.0,0.0,8.6,5.5,9.3,40,100,2920.0,1,0.429,0.0,545.0,1,0.0,61,1,2.2,0,11,24,5,0.557,0.149
2025-10-09T00:00,1.8,0.333,0.0,0.0,8.7,6.06,9.7,38,100,2340.0,1,0.43,0.0,515.0,1,0.0,80,1,1.2,0,12,23,5,0.557,0.348
2025-10-09T01:00,1.9,0.0,0.0,0.0,8.7,5.88,10.2,42,100,2680.0,1,0.429,0.0,530.0,1,0.0,61,1,1.9,0,13,22,5,0.557,0.149
2025-10-09T02:00,0.8,0.0,0.0,0.0,8.9,5.34,9.9,46,100,5420.0,1,0.424,0.0,505.0,0,0.0,53,1,0.8,0,14,21,5,0.557,0.149
