time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2025-10-01T00:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,20.0,1.92,4.4,195,100,9880.0,1,0.396
2025-10-01T01:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,,,20.8,2.06,4.1,209,100,11400.0,1,0.396
2025-10-01T02:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,,,21.4,2.29,4.6,144,100,11400.0,1,0.395
2025-10-01T03:00,0.0,0.0,0.0,0.0,0.0,,3,50.0,59.0,,22.6,1.7,4.4,156,100,11380.0,1,0.394
2025-10-01T04:00,0.0,0.0,0.0,0.0,0.0,,3,90.0,39.0,,23.5,1.41,3.8,174,100,12460.0,1,0.393
2025-10-01T05:00,0.0,0.0,0.0,0.0,0.0,,3,80.0,35.0,,24.6,1.26,4.0,214,100,14220.0,1,0.391
2025-10-01T06:00,0.0,0.0,0.0,0.0,0.0,,3,30.0,55.0,,24.3,1.42,3.7,170,100,15440.0,1,0.395
2025-10-01T07:00,0.0,0.0,0.0,0.0,0.0,,3,20.0,55.0,,24.0,1.04,2.7,145,100,14220.0,1,0.394
2025-10-01T08:00,0.2,0.2,0.0,0.0,0.0,,51,20.0,26.0,,23.2,0.94,1.7,58,100,5400.0,1,0.394
2025-10-01T09:00,0.4,0.4,0.0,0.0,0.0,,51,20.0,12.0,,22.2,2.26,3.7,43,100,4680.0,1,0.397
2025-10-01T10:00,0.5,0.4,0.1,0.0,0.0,,53,30.0,15.0,,21.3,2.42,4.3,38,100,3640.0,0,0.402
2025-10-01T11:00,1.9,0.8,1.1,0.0,0.0,,80,0.0,15.0,,20.7,3.16,5.5,41,100,3460.0,0,0.424
2025-10-01T12:00,0.7,0.7,0.0,0.0,0.0,,53,0.0,,,20.8,3.8,7.4,63,100,3660.0,0,0.433
2025-10-01T13:00,0.5,0.2,0.3,0.0,0.0,,53,0.0,,,20.4,4.92,9.0,75,98,8040.0,0,0.427
2025-10-01T14:00,0.2,0.0,0.2,0.0,0.0,,51,20.0,,,20.0,3.89,8.7,74,100,7360.0,0,0.424
2025-10-01T15:00,3.2,0.8,2.4,0.0,0.0,,81,30.0,8.0,,19.7,4.26,7.6,77,99,3800.0,0,0.434
2025-10-01T16:00,5.2,0.7,4.5,0.0,0.0,,81,10.0,7.0,,19.5,4.63,8.3,83,100,2840.0,0,0.439
2025-10-01T17:00,3.1,1.3,1.8,0.0,0.0,,81,160.0,2.0,,19.1,5.63,10.3,84,100,3500.0,0,0.437
2025-10-01T18:00,2.7,0.9,1.8,0.0,0.0,,81,30.0,2.0,,19.3,5.24,10.6,83,100,1900.0,0,0.442
2025-10-01T19:00,4.8,3.0,1.8,0.0,0.0,,81,100.0,0.0,,19.1,4.76,9.4,69,100,1380.0,0,0.435
2025-10-01T20:00,4.1,3.2,0.9,0.0,0.0,,81,170.0,4.0,,18.9,4.35,8.5,68,100,1680.0,0,0.437
2025-10-01T21:00,3.7,2.7,1.0,0.0,0.0,,81,280.0,0.0,,19.1,4.73,10.1,80,100,3280.0,0,0.436
2025-10-01T22:00,4.4,2.2,2.2,0.0,0.0,,95,310.0,0.0,,19.3,3.82,9.9,64,100,1720.0,0,0.436
2025-10-01T23:00,3.3,2.3,1.0,0.0,0.0,,81,180.0,1.0,,19.0,3.67,8.5,64,100,2600.0,1,0.435
2025-10-02T00:00,1.8,0.7,1.1,0.0,0.0,,80,310.0,0.0,,17.5,4.1,8.8,47,100,1560.0,1,0.441
2025-10-02T01:00,2.8,1.8,1.0,0.0,0.0,,81,110.0,2.0,,17.8,4.09,9.1,57,100,4360.0,1,0.433
2025-10-02T02:00,0.6,0.1,0.5,0.0,0.0,,53,20.0,26.0,,19.1,4.3,9.1,67,100,5420.0,1,0.431
2025-10-02T03:00,0.5,0.2,0.3,0.0,0.0,,53,0.0,17.0,,19.8,2.69,8.3,59,100,4700.0,1,0.43
2025-10-02T04:00,0.2,0.2,0.0,0.0,0.0,,51,0.0,1.0,,20.3,2.16,5.6,34,100,4460.0,1,0.427
2025-10-02T05:00,0.2,0.2,0.0,0.0,0.0,,51,0.0,23.0,,20.2,2.01,5.0,356,100,5440.0,1,0.425
2025-10-02T06:00,0.2,0.1,0.1,0.0,0.0,,51,60.0,27.0,,20.3,1.94,5.2,325,100,5320.0,1,0.433
2025-10-02T07:00,1.2,0.3,0.9,0.0,0.0,,55,30.0,46.0,,20.0,2.83,7.5,302,100,4740.0,1,0.437
2025-10-02T08:00,0.7,0.1,0.6,0.0,0.0,,53,20.0,2.0,,19.6,3.05,6.1,302,100,5180.0,1,0.434
2025-10-02T09:00,0.7,0.3,0.4,0.0,0.0,,53,10.0,5.0,,19.0,3.46,6.5,288,100,4440.0,1,0.433
2025-10-02T10:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,54.0,,19.2,2.98,6.1,301,100,5120.0,0,0.428
2025-10-02T11:00,0.2,0.2,0.0,0.0,0.0,,51,0.0,116.0,,19.2,2.83,5.3,343,100,3700.0,0,0.426
2025-10-02T12:00,0.1,0.1,0.0,0.0,0.0,,51,0.0,105.0,,18.3,3.06,5.9,355,100,6260.0,0,0.443
2025-10-02T13:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,2.0,,18.3,2.14,5.4,349,100,8640.0,0,0.426
2025-10-02T14:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,75.0,,18.4,2.11,3.8,346,100,9220.0,0,0.422
2025-10-02T15:00,0.0,0.0,0.0,0.0,0.0,,3,90.0,89.0,,18.5,2.32,4.0,346,100,8280.0,0,0.42
2025-10-02T16:00,0.0,0.0,0.0,0.0,0.0,,3,150.0,54.0,,18.6,2.45,4.3,348,100,8780.0,0,0.417
2025-10-02T17:00,0.0,0.0,0.0,0.0,0.0,,3,120.0,60.0,,18.6,2.08,4.3,336,100,9500.0,0,0.416
2025-10-02T18:00,0.0,0.0,0.0,0.0,0.0,,3,30.0,123.0,,18.8,2.2,3.9,348,100,8240.0,0,0.425
2025-10-02T19:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,38.0,,18.8,2.67,4.7,343,100,9040.0,0,0.422
2025-10-02T20:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,22.0,,18.7,2.61,5.0,340,100,9180.0,0,0.419
2025-10-02T21:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,105.0,,18.7,2.17,4.6,337,100,9200.0,0,0.417
2025-10-02T22:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,138.0,,18.6,2.21,3.8,335,100,9280.0,0,0.415
2025-10-02T23:00,0.0,0.0,0.0,0.0,0.0,,2,0.0,50.0,,19.0,2.5,4.6,340,72,9400.0,1,0.414
2025-10-03T00:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,57.0,,19.4,1.82,5.5,8,100,10580.0,1,0.436
2025-10-03T01:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,63.0,,20.2,2.48,4.9,25,100,12400.0,1,0.429
2025-10-03T02:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,65.0,,21.3,2.8,6.4,22,97,14120.0,1,0.424
2025-10-03T03:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,22.4,2.01,6.1,27,100,14120.0,1,0.42
2025-10-03T04:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,,,22.8,1.55,5.1,356,100,14060.0,1,0.417
2025-10-03T05:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,,,23.2,1.62,4.4,338,100,14020.0,1,0.415
2025-10-03T06:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,,,22.8,1.88,4.3,331,100,14040.0,1,0.447
2025-10-03T07:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,,,23.2,2.2,5.0,343,100,15180.0,1,0.429
2025-10-03T08:00,0.0,0.0,0.0,0.0,0.0,,3,10.0,,,23.4,2.31,5.1,354,84,15200.0,1,0.425
2025-10-03T09:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,6.0,,23.0,1.8,4.7,357,82,14020.0,1,0.421
2025-10-03T10:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,13.0,,21.6,1.36,3.3,343,80,14040.0,0,0.419
2025-10-03T11:00,0.0,0.0,0.0,0.0,0.0,,3,0.0,13.0,,20.8,1.32,2.2,335,100,14080.0,0,0.417
2025-10-03T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,15.0,,21.0,0.32,2.0,288,100,7780.0,0,0.426
2025-10-03T13:00,0.4,0.0,0.4,0.0,0.0,0.0,51,10.0,,,20.9,0.41,0.6,256,100,8520.0,0,0.427
2025-10-03T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,,20.6,0.63,1.0,288,99,8080.0,0,0.423
2025-10-03T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,,20.5,0.45,0.9,276,100,11480.0,0,0.421
2025-10-03T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,,20.5,0.35,0.7,262,98,11440.0,0,0.418
2025-10-03T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,,20.2,0.65,1.0,266,100,9880.0,0,0.416
2025-10-03T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,16.0,,20.6,0.54,1.0,292,100,9900.0,0,0.417
2025-10-03T19:00,1.0,0.1,0.9,0.0,0.0,0.0,55,20.0,13.0,,20.7,0.74,1.2,340,100,4040.0,0,0.427
2025-10-03T20:00,1.1,0.6,0.5,0.0,0.0,0.0,55,30.0,10.0,,20.4,0.93,1.9,344,100,4420.0,0,0.435
2025-10-03T21:00,0.6,0.2,0.4,0.0,0.0,0.0,53,10.0,17.0,,20.3,0.7,1.5,69,100,4680.0,0,0.435
2025-10-03T22:00,0.1,0.1,0.0,0.0,0.0,0.0,51,10.0,40.0,,20.2,1.35,2.2,68,100,5280.0,0,0.429
2025-10-03T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,27.0,,20.3,1.9,3.2,87,100,9800.0,1,0.425
2025-10-04T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,40.0,60.0,,20.1,1.95,3.7,87,100,6580.0,1,0.429
2025-10-04T01:00,0.1,0.1,0.0,0.0,0.0,0.0,51,0.0,37.0,,20.9,1.58,4.1,79,100,6720.0,1,0.426
2025-10-04T02:00,0.9,0.1,0.8,0.0,0.0,0.0,53,0.0,20.0,,21.7,1.57,4.0,81,100,5960.0,1,0.432
2025-10-04T03:00,0.9,0.2,0.7,0.0,0.0,0.0,53,50.0,20.0,,21.8,1.96,4.5,94,100,6140.0,1,0.434
2025-10-04T04:00,0.8,0.1,0.7,0.0,0.0,0.0,53,50.0,5.0,,22.0,1.85,4.8,87,100,7140.0,1,0.433
2025-10-04T05:00,0.1,0.1,0.0,0.0,0.0,0.0,51,10.0,16.0,,22.6,1.93,4.6,107,100,8660.0,1,0.428
2025-10-04T06:00,0.1,0.0,0.1,0.0,0.0,0.0,51,10.0,44.0,,22.8,2.01,5.1,96,100,13960.0,1,0.438
2025-10-04T07:00,0.1,0.0,0.1,0.0,0.0,0.0,51,10.0,9.0,,22.9,1.81,4.4,96,100,13920.0,1,0.43
2025-10-04T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,19.0,,23.0,1.85,4.1,93,100,13920.0,1,0.426
2025-10-04T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,12.0,,22.5,1.57,3.9,81,100,8120.0,1,0.422
2025-10-04T10:00,0.1,0.1,0.0,0.0,0.0,0.0,51,20.0,54.0,,21.9,1.18,2.9,78,100,7620.0,0,0.42
2025-10-04T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,139.0,,21.7,1.48,2.6,66,100,10600.0,0,0.418
2025-10-04T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,50.0,12.0,,21.0,1.79,2.7,72,100,5340.0,0,0.428
2025-10-04T13:00,0.5,0.0,0.5,0.0,0.0,0.0,53,20.0,37.0,,20.9,1.68,4.3,67,100,8380.0,0,0.429
2025-10-04T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,70.0,0.0,,20.9,1.97,3.3,63,100,6980.0,0,0.425
2025-10-04T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,70.0,0.0,,20.8,1.77,3.3,65,100,6000.0,0,0.422
2025-10-04T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,90.0,0.0,,20.8,1.49,3.0,70,100,5960.0,0,0.42
2025-10-04T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,70.0,0.0,,20.8,1.15,2.4,72,100,5920.0,0,0.418
2025-10-04T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,,20.8,1.04,1.9,73,100,5760.0,0,0.416
2025-10-04T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,,20.8,1.0,1.9,72,100,5900.0,0,0.414
2025-10-04T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,,20.8,0.72,1.7,78,100,5640.0,0,0.413
2025-10-04T21:00,0.3,0.3,0.0,0.0,0.0,0.0,51,10.0,12.0,,20.8,0.63,1.1,72,100,2720.0,0,0.416
2025-10-04T22:00,0.7,0.7,0.0,0.0,0.0,0.0,53,10.0,20.0,,20.8,0.86,1.4,100,100,3020.0,0,0.422
2025-10-04T23:00,0.3,0.3,0.0,0.0,0.0,0.0,51,0.0,15.0,,20.9,0.54,1.5,34,95,5160.0,1,0.423
2025-10-05T00:00,0.6,0.2,0.4,0.0,0.0,0.0,53,0.0,18.0,,21.8,0.25,1.9,307,100,2800.0,1,0.427
2025-10-05T01:00,0.6,0.6,0.0,0.0,0.0,0.0,53,10.0,122.0,,22.3,0.32,1.5,288,100,3820.0,1,0.429
2025-10-05T02:00,0.1,0.1,0.0,0.0,0.0,0.0,51,10.0,130.0,,24.1,0.86,3.3,280,100,10560.0,1,0.425
2025-10-05T03:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,55.0,,25.6,1.48,4.2,258,77,13860.0,1,0.421
2025-10-05T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,63.0,,27.0,2.11,5.4,263,99,13820.0,1,0.417
2025-10-05T05:00,0.0,0.0,0.0,0.0,0.0,0.0,2,40.0,62.0,,27.8,2.55,6.0,268,58,14980.0,1,0.413
2025-10-05T06:00,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,4.0,,28.5,2.97,6.5,276,29,14980.0,1,0.424
