event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-19T13:00,2026-01-19T15:00,3,3,0.467,0.7,1.4,0.446,0.0,0.0,140
1,2026-01-25T12:00,2026-01-25T12:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,6
2,2026-01-25T19:00,2026-01-25T20:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,4
3,2026-01-26T01:00,2026-01-26T03:00,3,3,0.367,0.5,1.1,0.315,0.0,0.0,79
4,2026-01-29T11:00,2026-01-30T01:00,15,14,0.673,1.0,10.1,0.344,0.0,0.0,3
5,2026-01-30T05:00,2026-01-30T18:00,14,13,0.479,0.9,6.7,0.435,0.0,0.0,115
6,2026-02-04T14:00,2026-02-04T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,21
7,2026-02-05T12:00,2026-02-05T12:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
8,2026-02-05T15:00,2026-02-05T16:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,2
9,2026-02-05T19:00,2026-02-05T20:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,4
10,2026-02-06T01:00,2026-02-06T10:00,10,10,0.73,1.5,7.3,0.544,0.048,0.0006,74
11,2026-02-09T13:00,2026-02-09T13:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,140
12,2026-02-15T10:00,2026-02-15T19:00,10,8,0.85,1.9,8.5,0.736,0.496,0.0,5
13,2026-02-16T01:00,2026-02-16T10:00,10,9,0.35,0.4,3.5,0.202,0.0,0.0,164
14,2026-02-23T07:00,2026-02-23T17:00,11,11,2.836,6.1,31.2,0.691,0.278,0.0046,47
15,2026-02-25T17:00,2026-02-26T08:00,16,16,1.069,2.1,17.1,0.532,0.121,0.0096,2
16,2026-02-26T11:00,2026-02-26T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,53
17,2026-02-28T17:00,2026-03-01T17:00,25,23,1.052,3.6,26.3,0.852,0.108,0.0163,34
18,2026-03-03T04:00,2026-03-03T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,109
19,2026-03-07T18:00,2026-03-07T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,90
20,2026-03-11T13:00,2026-03-11T14:00,2,2,0.5,0.7,1.0,0.566,0.572,0.0,83
21,2026-03-15T02:00,2026-03-15T03:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,2
22,2026-03-15T06:00,2026-03-15T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
