time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,55.0,4.8,1.2,1.8,228,0,13120.0,1,0.298
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,85.0,7.5,1.53,3.4,251,5,13120.0,1,0.298
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,140.0,10.2,0.98,3.5,255,95,14480.0,1,0.298
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,200.0,13.1,1.42,4.2,260,91,15620.0,1,0.298
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,270.0,15.4,1.96,5.1,266,70,16580.0,1,0.297
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,345.0,17.0,2.33,5.5,260,0,16600.0,1,0.296
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,460.0,17.8,3.34,6.2,248,0,16580.0,1,0.282
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,500.0,18.3,2.92,6.8,248,0,16600.0,1,0.282
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,330.0,18.0,2.09,5.8,259,0,16600.0,1,0.281
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,80.0,14.6,1.85,3.4,272,0,15620.0,1,0.281
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,50.0,11.7,2.0,2.5,273,0,15620.0,0,0.281
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,40.0,10.3,2.03,2.6,254,0,14480.0,0,0.281
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,45.0,9.4,2.26,3.6,242,0,14480.0,0,0.275
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,55.0,8.6,2.2,3.4,221,0,13120.0,0,0.275
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,60.0,7.8,2.1,3.3,242,0,13120.0,0,0.275
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,60.0,7.3,2.1,3.3,232,0,13120.0,0,0.275
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,60.0,6.9,2.15,3.4,234,0,13120.0,0,0.276
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,55.0,6.1,1.82,3.3,233,0,13140.0,0,0.276
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,60.0,5.9,1.93,2.5,239,0,13120.0,0,0.267
