event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-19T01:00,2026-01-19T01:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,13
1,2026-01-19T15:00,2026-01-19T20:00,6,5,0.45,0.7,2.7,0.391,0.0,0.0,284
2,2026-01-31T17:00,2026-01-31T19:00,3,3,0.533,0.6,1.6,0.108,0.0,0.0,153
3,2026-02-07T05:00,2026-02-07T06:00,2,2,0.95,1.5,1.9,0.819,0.0,0.0013,6
4,2026-02-07T13:00,2026-02-07T14:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,216
5,2026-02-16T15:00,2026-02-16T15:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,45
6,2026-02-18T13:00,2026-02-18T15:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,86
7,2026-02-22T06:00,2026-02-22T06:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,15
8,2026-02-22T22:00,2026-02-22T22:00,1,1,0.7,0.7,0.7,0.0,0.429,0.0,31
9,2026-02-24T06:00,2026-02-24T06:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,20
10,2026-02-25T03:00,2026-02-25T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,21
11,2026-02-26T01:00,2026-02-26T01:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,4
12,2026-02-26T06:00,2026-02-26T06:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,7
13,2026-02-26T14:00,2026-02-26T14:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,4
14,2026-02-26T19:00,2026-02-26T23:00,5,5,4.08,7.8,20.4,0.617,0.833,0.028,192
15,2026-03-07T00:00,2026-03-07T05:00,6,5,0.367,0.6,2.2,0.478,0.0,0.0,6
16,2026-03-07T12:00,2026-03-08T00:00,13,12,0.815,2.2,10.6,0.684,0.194,0.0015,12
17,2026-03-08T13:00,2026-03-08T21:00,9,9,0.656,1.1,5.9,0.359,0.0,0.0013,138
18,2026-03-14T16:00,2026-03-14T19:00,4,4,1.85,4.8,7.4,1.092,0.071,0.0,20
19,2026-03-15T16:00,2026-03-15T18:00,3,3,1.567,2.9,4.7,0.803,0.323,0.001,5
20,2026-03-16T00:00,2026-03-16T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,12
21,2026-03-16T13:00,2026-03-16T15:00,3,3,1.0,1.3,3.0,0.3,0.816,0.0,26
22,2026-03-17T18:00,2026-03-17T20:00,3,2,0.267,0.3,0.8,0.217,0.0,0.0,43
