event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-03T14:00,2026-03-03T15:00,2,2,0.65,0.8,1.3,0.326,1.0,0.0,45
1,2026-03-05T13:00,2026-03-05T13:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,8
2,2026-03-05T22:00,2026-03-05T22:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,38
3,2026-03-07T13:00,2026-03-07T13:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,209
4,2026-03-16T07:00,2026-03-16T08:00,2,2,0.3,0.3,0.6,0.0,0.167,0.0,652
5,2026-04-12T13:00,2026-04-12T15:00,3,3,0.533,1.0,1.6,0.758,0.333,0.0,4
6,2026-04-12T20:00,2026-04-12T22:00,3,3,1.3,1.7,3.9,0.308,0.98,0.0,2
7,2026-04-13T01:00,2026-04-13T04:00,4,4,0.7,1.3,2.8,0.606,0.866,0.0,139
8,2026-04-19T00:00,2026-04-19T07:00,8,8,0.575,0.9,4.6,0.403,0.0,0.0,2
9,2026-04-19T10:00,2026-04-19T12:00,3,3,0.7,1.0,2.1,0.378,0.411,0.0,580
10,2026-05-13T17:00,2026-05-13T17:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
11,2026-05-13T20:00,2026-05-13T20:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,4
12,2026-05-14T01:00,2026-05-14T02:00,2,2,1.4,1.4,2.8,0.0,0.893,0.011,262
13,2026-05-25T01:00,2026-05-25T10:00,10,9,0.82,1.9,8.2,0.72,0.045,0.0013,218
14,2026-06-03T13:00,2026-06-03T13:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,10
15,2026-06-04T00:00,2026-06-04T00:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,35
16,2026-06-05T12:00,2026-06-05T18:00,7,6,0.714,1.2,5.0,0.453,0.0,0.0,2
17,2026-06-05T21:00,2026-06-05T22:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,34
18,2026-06-07T09:00,2026-06-07T10:00,2,2,0.75,0.8,1.5,0.094,0.66,0.0,74
19,2026-06-10T13:00,2026-06-10T23:00,11,11,1.164,4.7,12.8,1.052,0.705,0.5134,34
20,2026-06-12T10:00,2026-06-12T10:00,1,1,0.9,0.9,0.9,0.0,0.889,0.0,147
21,2026-06-18T14:00,2026-06-18T18:00,5,5,2.62,5.0,13.1,0.523,0.695,0.155,10
22,2026-06-19T05:00,2026-06-19T08:00,4,4,1.275,3.0,5.1,0.982,0.447,0.095,4
23,2026-06-19T13:00,2026-06-19T13:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,23
24,2026-06-20T13:00,2026-06-20T13:00,1,1,2.8,2.8,2.8,0.0,0.857,0.1777,2
25,2026-06-20T16:00,2026-06-20T18:00,3,3,0.433,0.5,1.3,0.133,0.533,0.0,12
26,2026-06-21T07:00,2026-06-21T07:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,2
27,2026-06-21T10:00,2026-06-21T16:00,7,7,1.129,2.5,7.9,0.703,0.42,0.0975,21
28,2026-06-22T14:00,2026-06-22T15:00,2,2,0.85,1.1,1.7,0.416,0.728,0.0124,44
29,2026-06-24T12:00,2026-06-24T12:00,1,1,1.6,1.6,1.6,0.0,0.5,0.0278,305
30,2026-07-07T06:00,2026-07-07T06:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,120
31,2026-07-12T07:00,2026-07-12T09:00,3,3,0.433,0.6,1.3,0.353,0.0,0.0,5
32,2026-07-12T15:00,2026-07-12T18:00,4,4,0.475,0.5,1.9,0.105,0.0,0.0,215
33,2026-07-21T18:00,2026-07-21T18:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,123
34,2026-07-26T22:00,2026-07-26T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
35,2026-07-27T02:00,2026-07-27T03:00,2,2,0.45,0.5,0.9,0.157,0.4,0.0,-1
