time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2026-01-14T00:00,0.0,0.0,0.0,0.06,-20.3,2.02,3.8,237,100,13020.0,1,0.413,0.0,100.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T01:00,0.0,0.0,0.0,0.06,-17.0,1.01,4.6,250,99,17880.0,1,0.413,0.0,205.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T02:00,0.0,0.0,0.0,0.06,-13.8,1.5,4.3,233,100,12640.0,1,0.413,0.0,350.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T03:00,0.0,0.0,0.07,0.06,-12.4,1.52,4.4,229,100,10660.0,1,0.413,0.0,380.0,0,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T04:00,0.0,0.0,0.07,0.07,-11.3,1.56,4.4,228,100,11780.0,1,0.413,0.0,425.0,0,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T05:00,0.0,0.0,0.07,0.07,-10.0,1.84,4.9,225,100,12820.0,1,0.413,0.0,495.0,0,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T06:00,0.0,0.0,0.07,0.07,-9.3,2.69,6.1,223,100,12720.0,1,0.413,0.0,590.0,0,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T07:00,0.0,0.0,0.07,0.07,-9.2,2.83,7.1,228,100,11780.0,1,0.413,0.0,585.0,0,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T08:00,0.0,0.0,0.07,0.07,-9.2,2.06,6.3,221,100,12840.0,1,0.413,0.0,535.0,0,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T09:00,0.0,0.0,0.0,0.07,-9.5,1.1,4.7,227,100,12160.0,0,0.413,0.0,145.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T10:00,0.0,0.0,0.0,0.07,-9.7,0.11,3.0,63,100,11180.0,0,0.413,0.0,10.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T11:00,0.0,0.0,0.07,0.07,-9.7,0.32,1.8,39,100,10520.0,0,0.413,0.0,15.0,0,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T12:00,0.0,0.0,0.07,0.07,-10.2,0.45,2.0,27,100,6780.0,0,0.413,0.0,20.0,0,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T13:00,0.0,0.0,0.14,0.07,-10.0,0.55,2.1,5,100,5080.0,0,0.413,0.0,20.0,0,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T14:00,0.0,0.0,0.35,0.08,-9.7,0.41,2.3,14,100,2940.0,0,0.413,0.0,15.0,0,0.0,73,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T15:00,0.0,0.0,0.35,0.08,-9.4,0.58,2.2,31,100,4980.0,0,0.413,0.0,25.0,0,0.0,73,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T16:00,0.0,0.0,0.21,0.09,-9.1,0.81,2.3,22,100,5120.0,0,0.413,0.0,25.0,0,0.0,73,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T17:00,0.0,0.0,0.21,0.09,-9.1,1.09,2.5,16,100,3860.0,0,0.413,0.0,30.0,0,0.0,73,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T18:00,0.1,0.0,0.21,0.09,-9.6,1.03,2.7,14,100,1900.0,0,0.413,0.0,25.0,1,0.0,73,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-14T19:00,0.0,0.0,0.42,0.1,-9.7,0.68,2.5,17,100,2620.0,0,0.413,0.0,20.0,1,0.0,73,0,0.0,-1,-1,-1,-1,0.0,0.0
