event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-04T06:00,2026-03-04T10:00,5,5,0.32,0.4,1.6,0.14,0.183,0.0,218
1,2026-03-13T13:00,2026-03-13T16:00,4,3,0.25,0.3,1.0,0.4,0.0,0.0,95
2,2026-03-17T16:00,2026-03-17T17:00,2,2,0.55,0.6,1.1,0.129,0.9,0.0,92
3,2026-03-21T14:00,2026-03-21T15:00,2,2,2.4,3.9,4.8,0.884,0.931,0.0,166
4,2026-03-28T14:00,2026-03-28T15:00,2,2,1.95,3.5,3.9,1.124,0.736,0.0094,21
5,2026-03-29T13:00,2026-03-29T14:00,2,2,1.0,1.4,2.0,0.566,0.916,0.0,30
6,2026-03-30T21:00,2026-03-30T22:00,2,2,1.0,1.6,2.0,0.849,0.938,0.0,71
7,2026-04-02T22:00,2026-04-02T22:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,129
8,2026-04-08T08:00,2026-04-08T21:00,14,13,0.9,1.7,12.6,0.591,0.018,0.0008,173
9,2026-04-16T03:00,2026-04-16T09:00,7,7,0.714,1.6,5.0,0.623,0.086,0.0128,68
10,2026-04-19T06:00,2026-04-19T10:00,5,5,1.12,3.5,5.6,1.189,0.207,0.0906,121
11,2026-04-24T12:00,2026-04-24T12:00,1,1,1.8,1.8,1.8,0.0,1.0,0.178,84
12,2026-04-28T01:00,2026-04-28T01:00,1,1,1.9,1.9,1.9,0.0,1.0,0.009,104
13,2026-05-02T10:00,2026-05-02T13:00,4,4,0.775,1.2,3.1,0.52,0.0,0.0,302
14,2026-05-15T04:00,2026-05-15T04:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,26
15,2026-05-16T07:00,2026-05-16T22:00,16,13,0.713,1.7,11.4,0.714,0.174,0.0061,3
16,2026-05-17T02:00,2026-05-17T20:00,19,18,3.447,9.8,65.5,0.874,0.238,0.01,48
17,2026-05-19T21:00,2026-05-19T21:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,47
18,2026-05-21T21:00,2026-05-22T06:00,10,10,3.76,6.4,37.6,0.421,0.378,0.03,65
19,2026-05-25T00:00,2026-05-25T13:00,14,13,1.057,2.2,14.8,0.574,0.0,0.003,6
20,2026-05-25T20:00,2026-05-25T23:00,4,4,1.35,2.9,5.4,0.892,0.847,0.0024,203
21,2026-06-03T11:00,2026-06-03T12:00,2,2,0.9,1.0,1.8,0.157,0.25,0.0,17
22,2026-06-04T06:00,2026-06-04T08:00,3,3,0.633,0.9,1.9,0.397,0.75,0.0,5
23,2026-06-04T14:00,2026-06-04T17:00,4,3,1.15,2.8,4.6,1.078,0.81,0.007,24
24,2026-06-05T18:00,2026-06-05T21:00,4,3,0.925,1.8,3.7,0.725,0.744,0.006,2
25,2026-06-06T00:00,2026-06-06T08:00,9,8,1.222,4.9,11.0,1.28,0.225,0.0293,21
26,2026-06-07T06:00,2026-06-07T06:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,29
27,2026-06-08T12:00,2026-06-08T12:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,162
28,2026-06-15T07:00,2026-06-15T10:00,4,4,1.575,3.6,6.3,0.871,0.423,0.5915,3
29,2026-06-15T14:00,2026-06-15T14:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,16
30,2026-06-16T07:00,2026-06-16T07:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,6
31,2026-06-16T14:00,2026-06-16T17:00,4,4,1.025,2.9,4.1,1.222,0.207,0.1686,53
32,2026-06-18T23:00,2026-06-19T00:00,2,2,2.8,5.3,5.6,1.263,0.673,0.74,27
33,2026-06-20T04:00,2026-06-20T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,97
34,2026-06-24T06:00,2026-06-24T06:00,1,1,0.8,0.8,0.8,0.0,0.25,0.0,104
35,2026-06-28T15:00,2026-06-28T15:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,27
36,2026-06-29T19:00,2026-06-29T21:00,3,3,1.533,3.2,4.6,0.977,0.625,0.3272,7
37,2026-06-30T05:00,2026-06-30T05:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,99
38,2026-07-04T09:00,2026-07-04T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,11
39,2026-07-04T21:00,2026-07-04T23:00,3,3,0.533,0.6,1.6,0.108,0.0,0.0,5
40,2026-07-05T05:00,2026-07-05T05:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,6
41,2026-07-05T12:00,2026-07-05T14:00,3,3,4.367,12.3,13.1,1.574,0.664,0.51,28
42,2026-07-06T19:00,2026-07-06T19:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,13
43,2026-07-07T09:00,2026-07-07T14:00,6,4,0.517,1.3,3.1,0.944,0.356,0.075,50
44,2026-07-09T17:00,2026-07-09T20:00,4,4,4.525,8.7,18.1,0.682,0.841,1.0,10
45,2026-07-10T07:00,2026-07-10T11:00,5,4,1.12,1.8,5.6,0.718,0.324,0.167,2
46,2026-07-10T14:00,2026-07-10T17:00,4,3,0.65,1.2,2.6,0.682,0.219,0.041,14
47,2026-07-11T08:00,2026-07-12T02:00,19,15,2.205,7.9,41.9,1.169,0.433,1.0,22
48,2026-07-13T01:00,2026-07-13T01:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,33
49,2026-07-14T11:00,2026-07-14T15:00,5,5,0.66,0.9,3.3,0.38,0.0,0.0,45
50,2026-07-16T13:00,2026-07-16T15:00,3,3,0.767,1.0,2.3,0.527,0.0,0.0,39
51,2026-07-18T07:00,2026-07-18T08:00,2,2,0.35,0.4,0.7,0.202,0.167,0.0,43
52,2026-07-20T04:00,2026-07-20T07:00,4,4,0.45,0.7,1.8,0.385,0.747,0.0,4
53,2026-07-20T12:00,2026-07-20T15:00,4,4,1.15,3.1,4.6,1.139,0.143,0.2572,30
54,2026-07-21T22:00,2026-07-22T00:00,3,3,2.667,4.8,8.0,0.709,0.271,0.7362,2
55,2026-07-22T03:00,2026-07-22T07:00,5,5,0.48,0.7,2.4,0.309,0.933,0.0,11
56,2026-07-22T19:00,2026-07-22T21:00,3,3,0.633,1.0,1.9,0.555,0.278,0.0,41
57,2026-07-24T15:00,2026-07-24T17:00,3,3,0.567,0.8,1.7,0.367,0.125,0.0,8
58,2026-07-25T02:00,2026-07-25T04:00,3,3,1.3,2.6,3.9,0.887,0.621,0.274,21
59,2026-07-26T02:00,2026-07-26T03:00,2,2,0.3,0.3,0.6,0.0,0.667,0.0,28
60,2026-07-27T08:00,2026-07-27T08:00,1,1,0.8,0.8,0.8,0.0,0.5,0.0,11
61,2026-07-27T20:00,2026-07-27T21:00,2,2,0.35,0.4,0.7,0.202,0.584,0.0,9
62,2026-07-28T07:00,2026-07-28T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
63,2026-07-28T10:00,2026-07-28T10:00,1,1,0.6,0.6,0.6,0.0,0.333,0.0,16
64,2026-07-29T03:00,2026-07-29T07:00,5,5,0.52,1.1,2.6,0.644,0.296,0.025,7
65,2026-07-29T15:00,2026-07-29T16:00,2,2,1.15,1.9,2.3,0.922,0.309,0.1114,6
66,2026-07-29T23:00,2026-07-29T23:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,4
67,2026-07-30T04:00,2026-07-30T08:00,5,5,0.38,0.5,1.9,0.22,0.09,0.0,11
68,2026-07-30T20:00,2026-07-31T02:00,7,7,0.786,1.6,5.5,0.691,0.181,0.1298,3
69,2026-07-31T06:00,2026-07-31T06:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
70,2026-07-31T09:00,2026-07-31T09:00,1,1,0.6,0.6,0.6,0.0,0.667,0.0,47
71,2026-08-02T09:00,2026-08-02T13:00,5,5,0.58,0.8,2.9,0.283,0.219,0.0,5
72,2026-08-02T19:00,2026-08-02T21:00,3,3,0.5,0.9,1.5,0.693,0.444,0.0,9
73,2026-08-03T07:00,2026-08-03T10:00,4,4,1.625,3.3,6.5,0.744,0.61,0.575,2
74,2026-08-03T13:00,2026-08-03T14:00,2,2,0.3,0.3,0.6,0.0,0.334,0.0,18
75,2026-08-04T09:00,2026-08-04T10:00,2,2,2.1,2.1,4.2,0.0,0.714,0.1953,-1
