time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2025-10-08T12:00,0.8,0.125,0.0,0.0,10.3,1.28,4.0,69,100,2480.0,0,0.308,0.0,300.0,0,0.0,53,1,0.7,0,0,23,4,0.673,0.255
2025-10-08T13:00,2.5,0.24,0.0,0.0,10.2,1.08,2.6,56,100,2320.0,0,0.341,0.0,240.0,0,0.0,81,1,1.9,0,1,22,4,0.673,0.324
2025-10-08T14:00,2.1,0.143,0.0,0.0,10.1,1.02,2.6,79,100,2520.0,0,0.367,0.0,190.0,0,0.0,80,1,1.8,0,2,21,4,0.673,0.265
2025-10-08T15:00,1.2,0.0,0.0,0.0,10.1,0.78,2.3,15,100,3920.0,0,0.378,0.0,170.0,0,0.0,55,1,1.2,0,3,20,4,0.673,0.18
2025-10-08T16:00,0.8,0.25,0.0,0.0,10.4,1.4,2.9,360,100,3260.0,0,0.382,0.0,350.0,0,0.0,53,1,0.6,0,4,19,4,0.673,0.33
2025-10-08T17:00,1.3,0.154,0.0,0.0,10.5,1.66,4.3,16,100,2660.0,0,0.392,10.0,430.0,0,0.0004,80,1,1.1,0,5,18,4,0.673,0.272
2025-10-08T18:00,2.7,0.444,0.0,0.0,10.3,1.88,4.5,29,100,3040.0,0,0.4,0.0,400.0,0,0.0,81,1,1.5,0,6,17,4,0.673,0.446
2025-10-08T19:00,1.8,0.333,0.0,0.0,10.2,1.7,4.5,24,100,2800.0,0,0.411,0.0,370.0,0,0.0,80,1,1.2,0,7,16,4,0.673,0.379
2025-10-08T20:00,1.2,0.0,0.0,0.0,10.2,1.52,3.5,17,100,3200.0,0,0.411,0.0,370.0,0,0.0,55,1,1.2,0,8,15,4,0.673,0.18
2025-10-08T21:00,0.9,0.0,0.0,0.0,10.3,1.7,3.6,14,100,3300.0,0,0.409,0.0,390.0,0,0.0,53,1,0.9,0,9,14,4,0.673,0.18
2025-10-08T22:00,0.7,0.0,0.0,0.0,10.3,1.77,3.9,22,100,4240.0,0,0.405,0.0,385.0,0,0.0,53,1,0.7,0,10,13,4,0.673,0.18
