event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-16T22:00,2025-10-17T01:00,4,3,0.325,0.5,1.3,0.387,0.0,0.0,2
1,2025-10-17T04:00,2025-10-17T05:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,294
2,2025-10-29T12:00,2025-10-29T12:00,1,1,1.7,1.7,1.7,0.0,0.941,0.007,72
3,2025-11-01T13:00,2025-11-01T13:00,1,1,0.8,0.8,0.8,0.0,0.182,0.0,87
4,2025-11-05T05:00,2025-11-05T05:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,250
5,2025-11-15T16:00,2025-11-15T16:00,1,1,1.7,1.7,1.7,0.0,1.0,0.0192,320
6,2025-11-29T01:00,2025-11-29T03:00,3,2,0.4,0.6,1.2,0.433,0.927,0.0,481
7,2025-12-19T05:00,2025-12-19T05:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,1547
8,2026-02-21T17:00,2026-02-21T17:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,672
9,2026-03-21T18:00,2026-03-21T19:00,2,2,1.05,1.3,2.1,0.337,1.0,0.0011,4
10,2026-03-22T00:00,2026-03-22T01:00,2,2,0.45,0.5,0.9,0.157,0.65,0.0,105
11,2026-03-26T11:00,2026-03-26T11:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,183
12,2026-04-03T03:00,2026-04-03T11:00,9,9,2.122,4.3,19.1,0.627,0.266,0.0014,145
13,2026-04-09T13:00,2026-04-09T17:00,5,5,0.46,0.6,2.3,0.194,0.0,0.0,3
14,2026-04-09T21:00,2026-04-09T22:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,6
15,2026-04-10T05:00,2026-04-10T06:00,2,2,0.4,0.5,0.8,0.354,0.433,0.0,6
16,2026-04-10T13:00,2026-04-10T14:00,2,2,0.45,0.5,0.9,0.157,0.9,0.0,139
17,2026-04-16T10:00,2026-04-16T11:00,2,2,0.5,0.5,1.0,0.0,1.0,0.0,7
18,2026-04-16T19:00,2026-04-16T21:00,3,3,0.767,0.9,2.3,0.151,0.095,0.0,68
19,2026-04-19T18:00,2026-04-19T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,109
20,2026-04-24T08:00,2026-04-24T10:00,3,3,1.9,3.0,5.7,0.708,0.989,0.0634,24
21,2026-04-25T11:00,2026-04-25T18:00,8,8,2.312,5.5,18.5,0.953,0.847,0.0017,234
22,2026-05-05T13:00,2026-05-05T14:00,2,2,0.6,0.7,1.2,0.236,1.0,0.0,2
23,2026-05-05T17:00,2026-05-06T03:00,11,10,0.945,2.5,10.4,0.759,0.269,0.0037,3
