event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-11T10:00,2026-03-11T10:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,314
1,2026-03-24T13:00,2026-03-24T20:00,8,8,0.738,1.6,5.9,0.556,0.221,0.0045,490
2,2026-04-14T07:00,2026-04-14T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,71
3,2026-04-17T07:00,2026-04-17T08:00,2,2,0.35,0.4,0.7,0.202,1.0,0.0,3
4,2026-04-17T12:00,2026-04-17T15:00,4,4,0.95,1.4,3.8,0.389,0.526,0.002,7
5,2026-04-17T23:00,2026-04-18T01:00,3,3,1.5,2.4,4.5,0.6,0.986,0.0,155
6,2026-04-24T13:00,2026-04-24T22:00,10,8,0.67,1.1,6.7,0.517,0.373,0.0004,94
7,2026-04-28T21:00,2026-04-29T00:00,4,4,0.85,1.4,3.4,0.548,0.0,0.0005,147
8,2026-05-05T04:00,2026-05-05T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,155
9,2026-05-11T16:00,2026-05-11T18:00,3,3,1.233,1.7,3.7,0.328,0.0,0.0114,3
10,2026-05-11T22:00,2026-05-12T04:00,7,7,1.729,3.5,12.1,0.591,0.285,0.0438,71
11,2026-05-15T04:00,2026-05-15T08:00,5,4,0.34,0.6,1.7,0.534,0.483,0.0,580
12,2026-06-08T13:00,2026-06-08T13:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,114
13,2026-06-13T08:00,2026-06-13T08:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,118
14,2026-06-18T07:00,2026-06-18T07:00,1,1,1.0,1.0,1.0,0.0,0.8,0.0,2
15,2026-06-18T10:00,2026-06-18T11:00,2,2,0.45,0.6,0.9,0.471,0.5,0.0,418
16,2026-07-05T22:00,2026-07-06T00:00,3,3,0.7,1.3,2.1,0.756,0.29,0.0008,48
17,2026-07-08T01:00,2026-07-08T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,402
18,2026-07-24T20:00,2026-07-24T20:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,8
19,2026-07-25T05:00,2026-07-25T06:00,2,2,0.5,0.7,1.0,0.566,0.0,0.0,30
20,2026-07-26T13:00,2026-07-26T20:00,8,6,0.825,1.9,6.6,0.871,0.389,0.0056,47
21,2026-07-28T20:00,2026-07-28T21:00,2,2,1.15,1.2,2.3,0.061,0.584,0.0062,80
22,2026-08-01T06:00,2026-08-01T06:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,-1
