time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,115.0,8.1,2.53,5.1,155,0,13400.0,1,0.23
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,160.0,9.9,2.38,4.8,158,0,13400.0,1,0.23
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,225.0,12.7,1.71,4.9,159,0,14400.0,1,0.229
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,370.0,15.5,1.62,4.9,171,0,15280.0,1,0.228
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,490.0,18.0,2.38,6.5,170,0,15280.0,1,0.225
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,695.0,19.7,2.42,6.8,173,0,15280.0,1,0.223
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,975.0,20.6,2.3,6.6,178,0,15280.0,1,0.216
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1050.0,21.2,2.18,6.1,189,0,15280.0,1,0.214
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1060.0,21.1,2.03,5.7,196,0,15280.0,1,0.212
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,20.1,0.22,4.7,153,0,15280.0,1,0.211
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,17.2,1.08,2.0,56,0,14420.0,0,0.211
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,15.7,1.5,2.8,64,0,14420.0,0,0.211
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,15.2,1.26,2.5,56,1,13420.0,0,0.204
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,14.9,0.63,1.7,18,3,13420.0,0,0.204
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,15.0,14.3,0.3,0.9,351,47,13420.0,0,0.204
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,75.0,13.9,2.65,4.3,302,100,12220.0,0,0.204
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,210.0,14.8,2.1,6.3,1,30,13420.0,0,0.204
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,45.0,13.5,1.21,3.9,322,8,13420.0,0,0.203
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,45.0,12.6,1.61,3.0,306,5,12220.0,0,0.195
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,100.0,12.0,2.69,5.2,305,59,13420.0,0,0.195
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,155.0,11.9,2.94,5.8,312,100,13440.0,0,0.195
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,170.0,11.6,2.9,5.8,312,98,13440.0,0,0.194
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,150.0,11.3,2.23,5.7,318,72,13440.0,0,0.194
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,105.0,10.5,1.8,4.5,304,89,12240.0,0,0.194
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,85.0,10.8,2.02,4.2,310,100,12240.0,1,0.199
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,120.0,11.6,1.85,4.3,308,100,12240.0,1,0.198
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,5.0,155.0,13.2,1.5,4.2,307,89,13440.0,1,0.198
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,265.0,16.1,1.23,4.5,302,2,14460.0,1,0.197
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,445.0,18.2,1.1,4.7,300,2,15320.0,1,0.195
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,545.0,19.6,0.69,4.4,330,46,17240.0,1,0.193
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,695.0,20.0,0.83,3.8,303,37,17260.0,1,0.189
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,745.0,20.7,0.69,3.8,330,26,17260.0,1,0.187
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,705.0,20.7,0.4,3.2,360,5,17520.0,1,0.185
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,50.0,19.7,0.5,2.1,6,4,17260.0,1,0.185
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,17.3,0.95,1.7,3,1,17260.0,0,0.184
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,16.2,0.57,1.6,15,11,15340.0,0,0.184
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,30.0,15.6,0.89,1.1,63,25,15340.0,0,0.178
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,16.0,0.2,1.2,270,84,15340.0,0,0.178
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,15.0,16.1,0.22,0.4,333,100,15360.0,0,0.178
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,20.0,16.0,0.18,0.4,34,100,15360.0,0,0.178
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,,35.0,15.3,0.85,1.7,87,77,14480.0,0,0.178
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,,35.0,14.5,0.95,1.7,93,72,13460.0,0,0.178
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,0.0,60.0,14.1,2.44,4.3,113,100,13460.0,0,0.17
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,0.0,80.0,15.1,1.74,4.6,108,84,14480.0,0,0.17
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,0.0,95.0,14.8,2.4,4.6,89,28,14500.0,0,0.17
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,0.0,100.0,14.0,1.46,4.7,96,23,14500.0,0,0.17
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,1.0,110.0,13.5,1.31,2.7,137,48,13480.0,0,0.17
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,95.0,13.4,1.23,2.6,148,17,13480.0,0,0.17
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,4.0,50.0,13.3,1.36,2.1,163,56,13480.0,1,0.159
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,3.0,80.0,15.2,0.53,2.8,139,90,13480.0,1,0.159
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,175.0,16.4,0.67,2.9,138,98,14500.0,1,0.159
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6.0,235.0,17.6,0.79,3.2,145,83,14500.0,1,0.159
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,500.0,19.8,1.44,5.0,160,99,14520.0,1,0.159
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,530.0,19.4,2.36,6.3,163,94,14520.0,1,0.159
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,18.0,455.0,18.7,2.18,7.0,143,94,13500.0,1,0.156
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,485.0,19.3,1.74,6.4,131,33,14520.0,1,0.156
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,525.0,19.6,1.44,5.5,104,30,14520.0,1,0.156
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,410.0,19.0,1.57,4.7,81,30,13500.0,1,0.156
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,210.0,17.9,1.66,4.1,69,59,13500.0,0,0.156
