event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-13T07:00,2025-10-13T07:00,1,1,1.1,1.1,1.1,0.0,0.909,0.0024,49
1,2025-10-15T09:00,2025-10-15T11:00,3,3,1.4,2.2,4.2,0.571,0.946,0.078,3
2,2025-10-15T15:00,2025-10-15T23:00,9,9,1.322,3.3,11.9,0.726,0.166,0.0374,26
3,2025-10-17T02:00,2025-10-17T02:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,10
4,2025-10-17T13:00,2025-10-17T16:00,4,4,1.2,2.8,4.8,0.915,0.343,0.0067,17
5,2025-10-18T10:00,2025-10-18T11:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,4
6,2025-10-18T16:00,2025-10-18T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
7,2025-10-18T22:00,2025-10-18T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
8,2025-10-19T06:00,2025-10-19T07:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,5
9,2025-10-19T13:00,2025-10-19T15:00,3,3,0.467,0.6,1.4,0.327,0.0,0.0,144
10,2025-10-25T16:00,2025-10-25T20:00,5,5,0.38,0.5,1.9,0.288,0.0,0.0,110
11,2025-10-30T11:00,2025-10-30T15:00,5,5,0.7,1.1,3.5,0.44,0.446,0.0003,165
12,2025-11-06T13:00,2025-11-06T23:00,11,8,0.618,1.5,6.8,0.704,0.156,0.0,2
13,2025-11-07T02:00,2025-11-07T07:00,6,6,0.783,1.3,4.7,0.438,0.0,0.0004,2
14,2025-11-07T10:00,2025-11-07T10:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,8
15,2025-11-07T19:00,2025-11-07T19:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,2
16,2025-11-07T22:00,2025-11-07T22:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,840
17,2025-12-12T23:00,2025-12-13T02:00,4,4,0.45,0.6,1.8,0.385,0.0,0.0,166
18,2025-12-20T01:00,2025-12-20T02:00,2,2,0.6,0.7,1.2,0.236,1.0,0.0,13
19,2025-12-20T16:00,2025-12-20T19:00,4,4,0.55,0.7,2.2,0.235,0.0,0.0,66
20,2025-12-23T14:00,2025-12-23T17:00,4,4,0.575,0.7,2.3,0.261,0.098,0.0,276
