event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-03T01:00,2026-03-03T01:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,346
1,2026-03-17T12:00,2026-03-17T14:00,3,3,0.767,1.2,2.3,0.588,0.514,0.0,269
2,2026-03-28T20:00,2026-03-28T20:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,10
3,2026-03-29T07:00,2026-03-29T08:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,111
4,2026-04-03T00:00,2026-04-03T01:00,2,2,2.15,2.5,4.3,0.23,0.96,0.003,6
5,2026-04-03T08:00,2026-04-03T09:00,2,2,2.15,4.0,4.3,1.217,0.574,0.0188,46
6,2026-04-05T08:00,2026-04-05T08:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,82
7,2026-04-08T19:00,2026-04-09T10:00,16,13,0.487,1.2,7.8,0.599,0.031,0.0,3
8,2026-04-09T14:00,2026-04-09T16:00,3,2,0.267,0.4,0.8,0.573,0.0,0.0,3
9,2026-04-09T20:00,2026-04-09T21:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,105
10,2026-04-14T07:00,2026-04-14T07:00,1,1,1.5,1.5,1.5,0.0,1.0,0.0006,47
11,2026-04-16T07:00,2026-04-16T16:00,10,10,2.05,3.1,20.5,0.42,0.205,0.0341,62
12,2026-04-19T07:00,2026-04-19T07:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,3
13,2026-04-19T11:00,2026-04-19T13:00,3,3,0.5,0.8,1.5,0.529,0.0,0.0,139
14,2026-04-25T09:00,2026-04-25T09:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,6
15,2026-04-25T16:00,2026-04-25T18:00,3,2,1.1,2.3,3.3,1.048,0.667,0.0,161
16,2026-05-02T12:00,2026-05-02T14:00,3,3,0.933,1.3,2.8,0.376,0.0,0.0,79
17,2026-05-05T22:00,2026-05-05T22:00,1,1,4.7,4.7,4.7,0.0,1.0,0.0,5
18,2026-05-06T04:00,2026-05-06T08:00,5,5,0.7,1.1,3.5,0.484,0.467,0.0,10
19,2026-05-06T19:00,2026-05-06T20:00,2,2,0.9,1.3,1.8,0.629,0.723,0.0004,251
20,2026-05-17T08:00,2026-05-18T06:00,23,23,1.948,5.8,44.8,0.717,0.016,0.01,44
21,2026-05-20T03:00,2026-05-20T03:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,47
22,2026-05-22T03:00,2026-05-22T14:00,12,12,2.042,3.7,24.5,0.476,0.022,0.0068,64
23,2026-05-25T07:00,2026-05-25T09:00,3,3,1.367,2.1,4.1,0.591,0.0,0.0006,49
24,2026-05-27T11:00,2026-05-27T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,98
25,2026-05-31T14:00,2026-05-31T15:00,2,2,0.65,1.0,1.3,0.761,1.0,0.0,41
26,2026-06-02T09:00,2026-06-02T09:00,1,1,0.6,0.6,0.6,0.0,0.667,0.0,14
27,2026-06-03T00:00,2026-06-03T11:00,12,12,1.667,4.7,20.0,0.883,0.624,0.3376,65
28,2026-06-06T05:00,2026-06-06T13:00,9,8,1.011,2.0,9.1,0.647,0.135,0.025,19
29,2026-06-07T09:00,2026-06-07T09:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,17
30,2026-06-08T03:00,2026-06-08T04:00,2,2,0.35,0.4,0.7,0.202,0.75,0.0,17
31,2026-06-08T22:00,2026-06-09T05:00,8,8,1.075,3.0,8.6,0.794,0.567,0.03,91
32,2026-06-13T01:00,2026-06-13T07:00,7,5,0.514,1.3,3.6,0.865,0.054,0.0218,6
33,2026-06-13T14:00,2026-06-13T15:00,2,2,0.45,0.6,0.9,0.471,0.584,0.0,3
34,2026-06-13T19:00,2026-06-13T19:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
35,2026-06-13T22:00,2026-06-14T12:00,15,14,0.913,3.7,13.7,1.053,0.502,0.0506,16
36,2026-06-15T05:00,2026-06-15T17:00,13,10,1.177,4.7,15.3,1.247,0.37,0.3422,2
37,2026-06-15T20:00,2026-06-15T22:00,3,3,0.767,1.3,2.3,0.616,0.29,0.0274,3
38,2026-06-16T02:00,2026-06-16T02:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,3
39,2026-06-16T06:00,2026-06-16T20:00,15,15,2.307,6.5,34.6,0.752,0.64,0.3237,56
40,2026-06-19T05:00,2026-06-19T05:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,2
41,2026-06-19T08:00,2026-06-19T08:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,8
42,2026-06-19T17:00,2026-06-19T20:00,4,4,1.225,2.5,4.9,0.836,0.39,0.0919,8
43,2026-06-20T05:00,2026-06-20T08:00,4,3,0.575,1.3,2.3,0.977,0.577,0.0026,47
44,2026-06-22T08:00,2026-06-22T08:00,1,1,3.1,3.1,3.1,0.0,0.774,0.0998,14
45,2026-06-22T23:00,2026-06-23T01:00,3,3,0.867,1.7,2.6,0.835,0.157,0.0,6
46,2026-06-23T08:00,2026-06-23T12:00,5,4,0.86,1.8,4.3,0.738,0.633,0.034,12
47,2026-06-24T01:00,2026-06-24T01:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,3
48,2026-06-24T05:00,2026-06-24T14:00,10,9,1.73,7.0,17.3,1.217,0.631,0.375,66
49,2026-06-27T09:00,2026-06-27T09:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,20
50,2026-06-28T06:00,2026-06-28T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,21
51,2026-06-29T04:00,2026-06-29T09:00,6,5,1.033,2.8,6.2,0.938,0.623,0.189,2
52,2026-06-29T12:00,2026-06-29T12:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,7
53,2026-06-29T20:00,2026-06-29T20:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,3
54,2026-06-30T00:00,2026-06-30T00:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,2
55,2026-06-30T03:00,2026-06-30T12:00,10,10,2.21,6.0,22.1,0.784,0.696,0.185,3
56,2026-06-30T16:00,2026-06-30T22:00,7,7,0.829,1.5,5.8,0.461,0.014,0.0119,7
57,2026-07-01T06:00,2026-07-01T07:00,2,2,0.9,0.9,1.8,0.0,0.333,0.0,24
58,2026-07-02T08:00,2026-07-02T09:00,2,2,0.3,0.3,0.6,0.0,0.666,0.0,19
59,2026-07-03T05:00,2026-07-03T06:00,2,2,1.7,3.0,3.4,1.081,0.5,0.5,21
60,2026-07-04T04:00,2026-07-04T06:00,3,3,0.8,0.9,2.4,0.217,0.074,0.0,24
61,2026-07-05T07:00,2026-07-05T11:00,5,5,0.54,0.8,2.7,0.426,0.813,0.0,4
62,2026-07-05T16:00,2026-07-05T23:00,8,7,0.838,1.8,6.7,0.805,0.43,0.0938,5
63,2026-07-06T05:00,2026-07-06T08:00,4,3,0.375,0.7,1.5,0.591,0.375,0.0,10
64,2026-07-06T19:00,2026-07-06T20:00,2,2,0.55,0.6,1.1,0.129,0.617,0.0,6
65,2026-07-07T03:00,2026-07-07T10:00,8,7,1.887,5.7,15.1,0.966,0.694,0.65,3
66,2026-07-07T14:00,2026-07-07T15:00,2,2,0.95,1.1,1.9,0.223,0.909,0.0108,15
67,2026-07-08T07:00,2026-07-08T10:00,4,3,1.7,4.1,6.8,1.013,0.571,0.3332,18
68,2026-07-09T05:00,2026-07-09T10:00,6,5,0.767,2.2,4.6,0.975,0.159,0.195,16
69,2026-07-10T03:00,2026-07-10T03:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,8
70,2026-07-10T12:00,2026-07-10T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
71,2026-07-10T16:00,2026-07-10T22:00,7,7,1.671,5.3,11.7,1.005,0.323,0.33,5
72,2026-07-11T04:00,2026-07-12T04:00,25,25,1.34,5.7,33.5,0.89,0.314,0.685,3
73,2026-07-12T08:00,2026-07-12T09:00,2,2,0.8,1.1,1.6,0.53,0.764,0.0121,3
74,2026-07-12T13:00,2026-07-12T15:00,3,3,0.6,0.8,1.8,0.441,0.264,0.0,9
75,2026-07-13T01:00,2026-07-13T02:00,2,2,1.05,1.4,2.1,0.471,0.322,0.0625,136
76,2026-07-18T19:00,2026-07-18T20:00,2,2,0.55,0.7,1.1,0.386,0.143,0.0,8
77,2026-07-19T05:00,2026-07-19T05:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,23
78,2026-07-20T05:00,2026-07-20T05:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,92
79,2026-07-24T02:00,2026-07-24T08:00,7,7,1.514,4.5,10.6,0.995,0.633,0.315,24
80,2026-07-25T09:00,2026-07-25T10:00,2,2,0.35,0.4,0.7,0.202,0.416,0.0,162
81,2026-08-01T05:00,2026-08-01T05:00,1,1,0.9,0.9,0.9,0.0,0.444,0.0,2
82,2026-08-01T08:00,2026-08-01T09:00,2,2,0.75,1.2,1.5,0.849,0.542,0.05,20
83,2026-08-02T06:00,2026-08-02T06:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,5
84,2026-08-02T12:00,2026-08-02T14:00,3,3,1.267,1.8,3.8,0.365,0.685,0.2,-1
