time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,95.0,-8.2,2.43,4.5,194,58,21520.0,1,0.02
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,145.0,-6.7,2.8,5.5,204,48,23100.0,1,0.02
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,435.0,-3.8,2.06,5.4,198,74,25280.0,1,0.02
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,505.0,-1.2,2.73,6.5,208,96,26600.0,1,0.02
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,625.0,0.9,3.09,7.4,207,100,27660.0,1,0.02
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,765.0,2.5,3.09,7.3,194,100,28500.0,1,0.02
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,800.0,2.8,3.45,7.1,199,100,28500.0,1,0.02
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,710.0,2.8,3.2,7.3,194,100,29140.0,1,0.02
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,535.0,1.9,3.12,6.7,174,100,28620.0,1,0.02
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,250.0,0.1,2.84,6.0,171,100,27220.0,0,0.02
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,205.0,-0.4,3.13,6.0,173,100,20660.0,0,0.02
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,150.0,-0.7,2.8,5.8,169,99,21740.0,0,0.02
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,115.0,-1.3,2.47,5.1,187,100,23520.0,0,0.02
