event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-25T09:00,2026-01-25T15:00,7,6,0.357,0.7,2.5,0.602,0.0,0.0,97
1,2026-01-29T17:00,2026-01-29T17:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,3
2,2026-01-29T21:00,2026-01-29T21:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,18
3,2026-01-30T16:00,2026-01-30T22:00,7,7,1.171,1.9,8.2,0.326,0.678,0.0034,5
4,2026-01-31T04:00,2026-01-31T06:00,3,3,1.067,2.2,3.2,0.925,0.548,0.0,21
5,2026-02-01T04:00,2026-02-01T04:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,138
6,2026-02-06T23:00,2026-02-07T00:00,2,2,0.55,0.6,1.1,0.129,0.284,0.0,411
7,2026-02-24T04:00,2026-02-24T04:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,61
8,2026-02-26T18:00,2026-02-26T21:00,4,3,0.85,1.3,3.4,0.683,0.727,0.0,21
9,2026-02-27T19:00,2026-02-28T01:00,7,7,0.643,1.0,4.5,0.42,0.129,0.0,4
10,2026-02-28T06:00,2026-02-28T16:00,11,10,0.764,1.6,8.4,0.668,0.17,0.0015,2
11,2026-02-28T19:00,2026-02-28T23:00,5,5,1.0,2.7,5.0,0.964,0.133,0.0149,35
12,2026-03-02T11:00,2026-03-02T19:00,9,8,2.022,8.0,18.2,1.248,0.082,0.0438,14
13,2026-03-03T10:00,2026-03-03T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
14,2026-03-03T13:00,2026-03-03T14:00,2,2,1.25,1.8,2.5,0.622,0.389,0.0,2
15,2026-03-03T17:00,2026-03-03T22:00,6,6,1.117,1.9,6.7,0.611,0.395,0.0067,3
16,2026-03-04T02:00,2026-03-04T03:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,3
17,2026-03-04T07:00,2026-03-04T07:00,1,1,1.3,1.3,1.3,0.0,0.308,0.0004,8
18,2026-03-04T16:00,2026-03-04T23:00,8,8,1.0,2.0,8.0,0.576,0.134,0.0037,540
19,2026-03-27T12:00,2026-03-27T12:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,48
20,2026-03-29T13:00,2026-03-29T13:00,1,1,0.9,0.9,0.9,0.0,0.556,0.0,47
21,2026-03-31T13:00,2026-03-31T17:00,5,5,1.94,4.0,9.7,0.682,0.291,0.165,29
22,2026-04-01T23:00,2026-04-02T01:00,3,2,2.033,5.6,6.1,1.521,0.5,0.085,8
23,2026-04-02T10:00,2026-04-02T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,21
24,2026-04-03T08:00,2026-04-03T10:00,3,2,0.3,0.4,0.9,0.333,0.0,0.0,18
25,2026-04-04T05:00,2026-04-04T11:00,7,7,2.614,3.5,18.3,0.423,0.403,0.1207,20
26,2026-04-05T08:00,2026-04-05T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,4
27,2026-04-05T13:00,2026-04-05T18:00,6,6,3.817,8.1,22.9,0.905,0.684,0.325,2
28,2026-04-05T21:00,2026-04-06T00:00,4,3,0.375,0.7,1.5,0.667,0.107,0.0,6
29,2026-04-06T07:00,2026-04-06T07:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,4
30,2026-04-06T12:00,2026-04-06T12:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,6
31,2026-04-06T19:00,2026-04-06T19:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,6
32,2026-04-07T02:00,2026-04-07T02:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,4
33,2026-04-07T07:00,2026-04-07T09:00,3,3,1.833,2.9,5.5,0.516,0.787,0.2327,3
34,2026-04-07T13:00,2026-04-07T15:00,3,2,2.367,6.1,7.1,1.382,0.545,0.35,251
35,2026-04-18T03:00,2026-04-18T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
36,2026-04-18T09:00,2026-04-18T10:00,2,2,0.4,0.5,0.8,0.354,0.267,0.0,60
37,2026-04-20T23:00,2026-04-21T00:00,2,2,4.65,6.7,9.3,0.623,0.9,0.215,3
38,2026-04-21T04:00,2026-04-21T06:00,3,3,2.6,6.6,7.8,1.332,0.646,0.215,2
39,2026-04-21T09:00,2026-04-21T13:00,5,4,0.44,0.9,2.2,0.614,0.428,0.0,24
40,2026-04-22T14:00,2026-04-22T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,13
41,2026-04-23T04:00,2026-04-23T12:00,9,8,0.922,1.6,8.3,0.581,0.144,0.0295,2
42,2026-04-23T15:00,2026-04-23T18:00,4,3,0.25,0.4,1.0,0.693,0.167,0.0,6
43,2026-04-24T01:00,2026-04-24T06:00,6,6,0.767,1.3,4.6,0.557,0.142,0.0023,2
44,2026-04-24T09:00,2026-04-24T14:00,6,6,1.667,2.5,10.0,0.396,0.073,0.0075,86
45,2026-04-28T05:00,2026-04-28T08:00,4,3,0.325,0.6,1.3,0.769,0.292,0.0,2
46,2026-04-28T11:00,2026-04-28T19:00,9,8,2.478,9.1,22.3,1.374,0.606,0.35,3
47,2026-04-28T23:00,2026-04-29T00:00,2,2,0.45,0.6,0.9,0.471,0.0,0.0,2
48,2026-04-29T03:00,2026-04-29T09:00,7,6,2.729,7.7,19.1,1.254,0.626,0.755,10
49,2026-04-29T20:00,2026-04-29T20:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,79
50,2026-05-03T04:00,2026-05-03T06:00,3,2,0.633,1.0,1.9,0.746,0.333,0.0,10
51,2026-05-03T17:00,2026-05-03T18:00,2,2,1.55,1.9,3.1,0.319,0.0,0.0007,14
52,2026-05-04T09:00,2026-05-04T10:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,2
53,2026-05-04T13:00,2026-05-04T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
54,2026-05-04T19:00,2026-05-04T21:00,3,3,1.233,2.6,3.7,0.967,0.511,0.0,10
55,2026-05-05T08:00,2026-05-05T08:00,1,1,0.7,0.7,0.7,0.0,0.571,0.0,69
56,2026-05-08T06:00,2026-05-08T13:00,8,8,1.537,4.1,12.3,0.794,0.582,0.2325,12
57,2026-05-09T02:00,2026-05-09T03:00,2,2,2.6,3.7,5.2,0.598,0.96,0.0,74
58,2026-05-12T06:00,2026-05-12T06:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,3
59,2026-05-12T10:00,2026-05-12T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,20
60,2026-05-13T07:00,2026-05-13T10:00,4,4,0.425,0.6,1.7,0.296,0.291,0.0,8
61,2026-05-13T19:00,2026-05-13T19:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,2
62,2026-05-13T22:00,2026-05-14T18:00,21,20,4.171,15.9,87.6,1.053,0.661,0.8,7
63,2026-05-15T02:00,2026-05-15T07:00,6,5,0.483,0.8,2.9,0.546,0.542,0.0,10
64,2026-05-15T18:00,2026-05-16T15:00,22,20,2.209,8.0,48.6,1.132,0.455,0.06,62
65,2026-05-19T06:00,2026-05-19T10:00,5,5,0.56,0.7,2.8,0.299,0.131,0.0,5
66,2026-05-19T16:00,2026-05-19T19:00,4,4,0.325,0.4,1.3,0.154,0.625,0.0,10
67,2026-05-20T06:00,2026-05-20T07:00,2,2,1.95,2.4,3.9,0.326,0.558,0.1855,2
68,2026-05-20T10:00,2026-05-20T10:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,7
69,2026-05-20T18:00,2026-05-21T10:00,17,15,1.318,4.3,22.4,0.852,0.411,0.4001,14
70,2026-05-22T01:00,2026-05-22T03:00,3,3,0.367,0.5,1.1,0.315,0.289,0.0,147
71,2026-05-28T07:00,2026-05-28T07:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,21
72,2026-05-29T05:00,2026-05-29T12:00,8,8,1.613,3.3,12.9,0.651,0.479,0.575,10
73,2026-05-29T23:00,2026-05-30T00:00,2,2,0.45,0.6,0.9,0.471,0.167,0.0,6
74,2026-05-30T07:00,2026-05-30T09:00,3,3,0.367,0.4,1.1,0.157,0.083,0.0,96
75,2026-06-03T10:00,2026-06-03T11:00,2,2,0.45,0.5,0.9,0.157,0.45,0.0,42
76,2026-06-05T06:00,2026-06-05T10:00,5,5,1.62,2.8,8.1,0.714,0.275,0.408,18
77,2026-06-06T05:00,2026-06-06T13:00,9,9,0.844,1.6,7.6,0.506,0.257,0.033,2
78,2026-06-06T16:00,2026-06-06T16:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
79,2026-06-06T19:00,2026-06-06T21:00,3,3,0.767,1.5,2.3,0.828,0.133,0.0213,2
80,2026-06-07T00:00,2026-06-07T00:00,1,1,1.4,1.4,1.4,0.0,1.0,0.019,5
