time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,9.5,0.87,2.0,301,0,13520.0,1,0.082
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,80.0,13.6,0.75,2.8,274,0,18780.0,1,0.082
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,200.0,17.4,0.89,3.5,218,0,20060.0,1,0.081
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,675.0,19.9,0.62,3.6,166,0,21180.0,1,0.08
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,865.0,21.6,0.85,3.9,118,0,23640.0,1,0.078
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,940.0,22.9,0.92,4.1,112,0,24100.0,1,0.076
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1035.0,23.5,0.92,4.3,135,0,24100.0,1,0.066
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1080.0,23.9,1.88,5.1,155,0,24100.0,1,0.065
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1025.0,23.3,2.26,5.2,162,0,24100.0,1,0.064
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,365.0,21.4,3.02,5.6,153,0,23640.0,1,0.064
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,220.0,18.1,2.86,5.7,134,0,20080.0,0,0.064
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,50.0,16.1,0.96,5.0,99,2,18800.0,0,0.064
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,15.4,0.27,1.4,22,19,18800.0,0,0.051
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,15.0,15.0,0.35,0.7,8,33,18820.0,0,0.051
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,15.0,14.8,0.3,0.8,360,91,18820.0,0,0.051
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,20.0,15.4,0.68,1.5,287,99,18820.0,0,0.052
