event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-17T02:00,2026-01-17T02:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,310
1,2026-01-30T01:00,2026-01-30T01:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,20
2,2026-01-30T22:00,2026-01-30T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,30
3,2026-02-01T05:00,2026-02-01T12:00,8,7,0.6,1.4,4.8,0.816,0.709,0.0005,10
4,2026-02-01T23:00,2026-02-01T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,104
5,2026-02-06T08:00,2026-02-06T11:00,4,4,1.45,2.8,5.8,0.742,0.42,0.0112,27
6,2026-02-07T15:00,2026-02-07T15:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,404
7,2026-02-24T12:00,2026-02-24T12:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,54
8,2026-02-26T19:00,2026-02-26T21:00,3,3,0.5,0.9,1.5,0.693,0.704,0.0,14
9,2026-02-27T12:00,2026-02-27T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
10,2026-02-27T20:00,2026-02-27T20:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,4
11,2026-02-28T01:00,2026-02-28T05:00,5,5,0.74,1.1,3.7,0.339,0.109,0.0,2
12,2026-02-28T08:00,2026-02-28T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
13,2026-02-28T12:00,2026-02-28T16:00,5,5,0.74,1.7,3.7,0.756,0.467,0.0,25
14,2026-03-01T18:00,2026-03-01T21:00,4,4,0.55,0.9,2.2,0.481,0.667,0.0,11
15,2026-03-02T09:00,2026-03-02T09:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,12
16,2026-03-02T22:00,2026-03-03T07:00,10,8,2.22,6.1,22.2,0.964,0.177,0.035,16
17,2026-03-04T00:00,2026-03-04T00:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,4
18,2026-03-04T05:00,2026-03-04T05:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,6
19,2026-03-04T12:00,2026-03-04T12:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
20,2026-03-04T16:00,2026-03-04T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
21,2026-03-04T19:00,2026-03-04T23:00,5,4,0.4,0.8,2.0,0.586,0.0,0.0,552
22,2026-03-28T00:00,2026-03-28T00:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,7
