time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,865.0,7.0,6.06,12.6,255,0,40980.0,0,0.236
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,860.0,6.5,5.51,12.6,258,100,41000.0,0,0.236
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,840.0,6.4,4.9,11.3,268,55,41000.0,0,0.235
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,800.0,6.0,4.21,10.0,275,46,41000.0,0,0.235
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,590.0,5.3,3.56,8.6,267,100,41000.0,0,0.235
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,545.0,4.8,3.59,7.2,257,100,41040.0,0,0.235
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,535.0,5.0,3.63,7.8,263,81,41000.0,0,0.235
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,465.0,4.8,3.46,7.5,265,100,41000.0,0,0.235
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,560.0,4.5,3.58,7.4,258,100,41000.0,0,0.235
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,485.0,4.2,3.58,7.4,263,91,41000.0,0,0.235
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,870.0,4.1,4.01,8.3,274,100,41020.0,0,0.234
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,1130.0,3.7,4.35,9.1,304,100,41020.0,0,0.234
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,1.0,640.0,2.8,4.1,9.6,304,98,5820.0,0,0.227
2026-01-14T13:00,1.1,0.0,0.7,0.56,0.8,0.01,85,10.0,0.0,795.0,1.1,5.41,9.7,328,100,4180.0,0,0.231
2026-01-14T14:00,1.6,0.0,0.3,1.12,1.6,0.01,86,10.0,0.0,1095.0,-1.7,9.8,22.5,1,100,2100.0,1,0.231
2026-01-14T15:00,1.0,0.0,0.1,0.7,1.0,0.02,85,30.0,0.0,1375.0,-3.1,9.09,23.7,352,100,3260.0,1,0.231
2026-01-14T16:00,0.5,0.0,0.0,0.35,0.5,0.02,73,30.0,0.0,1370.0,-4.3,7.99,20.2,346,100,5360.0,1,0.231
2026-01-14T17:00,0.2,0.0,0.0,0.14,0.2,0.02,71,20.0,0.0,1375.0,-5.3,8.12,18.3,339,100,14740.0,1,0.231
