event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-21T07:00,2026-02-21T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,578
1,2026-03-17T10:00,2026-03-17T10:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,338
2,2026-03-31T13:00,2026-03-31T13:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,63
3,2026-04-03T05:00,2026-04-03T05:00,1,1,1.7,1.7,1.7,0.0,1.0,0.0184,47
4,2026-04-05T05:00,2026-04-05T05:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,93
5,2026-04-09T03:00,2026-04-09T04:00,2,2,0.7,0.7,1.4,0.0,0.0,0.0,3
6,2026-04-09T08:00,2026-04-09T16:00,9,9,0.622,0.9,5.6,0.408,0.125,0.0,107
7,2026-04-14T04:00,2026-04-14T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,43
8,2026-04-16T00:00,2026-04-16T11:00,12,12,1.917,5.5,23.0,0.775,0.467,0.0165,66
9,2026-04-19T06:00,2026-04-19T08:00,3,3,0.567,0.8,1.7,0.444,0.0,0.0,145
10,2026-04-25T10:00,2026-04-25T10:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,35
11,2026-04-26T22:00,2026-04-27T07:00,10,10,0.6,1.0,6.0,0.369,0.135,0.0,5
12,2026-04-27T13:00,2026-04-27T13:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,111
13,2026-05-02T05:00,2026-05-02T10:00,6,6,0.883,1.3,5.3,0.498,0.0,0.0004,10
14,2026-05-02T21:00,2026-05-02T21:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,8
15,2026-05-03T06:00,2026-05-03T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,62
16,2026-05-05T21:00,2026-05-05T21:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,3
17,2026-05-06T01:00,2026-05-06T01:00,1,1,1.4,1.4,1.4,0.0,0.786,0.0,79
18,2026-05-09T09:00,2026-05-09T09:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,123
19,2026-05-14T13:00,2026-05-14T13:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,20
20,2026-05-15T10:00,2026-05-15T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
21,2026-05-15T13:00,2026-05-15T13:00,1,1,0.7,0.7,0.7,0.0,0.286,0.0,24
22,2026-05-16T14:00,2026-05-16T16:00,3,3,0.667,1.1,2.0,0.568,0.0,0.0001,22
23,2026-05-17T15:00,2026-05-18T01:00,11,11,0.909,1.8,10.0,0.486,0.0,0.001,95
24,2026-05-22T01:00,2026-05-22T09:00,9,9,2.178,4.8,19.6,0.572,0.135,0.0617,65
25,2026-05-25T03:00,2026-05-25T06:00,4,4,0.85,1.2,3.4,0.402,0.154,0.0012,48
