event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-16T18:00,2026-01-16T21:00,4,4,0.95,1.6,3.8,0.679,0.648,0.0075,5
1,2026-01-17T03:00,2026-01-17T05:00,3,2,0.333,0.5,1.0,0.458,0.544,0.0,63
2,2026-01-19T21:00,2026-01-19T22:00,2,2,0.35,0.4,0.7,0.202,1.0,0.0,10
3,2026-01-20T09:00,2026-01-20T09:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,14
4,2026-01-21T00:00,2026-01-21T01:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,2
5,2026-01-21T04:00,2026-01-21T04:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,14
6,2026-01-21T19:00,2026-01-21T21:00,3,3,0.567,0.8,1.7,0.367,0.067,0.0,3
7,2026-01-22T01:00,2026-01-22T02:00,2,2,0.35,0.4,0.7,0.202,0.125,0.0,82
8,2026-01-25T13:00,2026-01-25T16:00,4,3,0.3,0.6,1.2,0.816,0.0,0.0,8
9,2026-01-26T01:00,2026-01-26T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,14
10,2026-01-26T16:00,2026-01-26T18:00,3,3,1.033,1.3,3.1,0.447,0.0,0.0008,97
11,2026-01-30T20:00,2026-01-30T21:00,2,2,0.35,0.4,0.7,0.202,0.709,0.0,162
12,2026-02-06T16:00,2026-02-06T17:00,2,2,0.45,0.6,0.9,0.471,0.584,0.0,25
13,2026-02-07T19:00,2026-02-07T22:00,4,4,0.6,0.9,2.4,0.333,0.389,0.0,8
14,2026-02-08T07:00,2026-02-08T19:00,13,13,0.577,1.2,7.5,0.437,0.0,0.0,41
15,2026-02-10T13:00,2026-02-10T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
16,2026-02-10T17:00,2026-02-10T22:00,6,6,0.4,0.6,2.4,0.274,0.0,0.0,3
17,2026-02-11T02:00,2026-02-11T02:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,46
18,2026-02-13T01:00,2026-02-13T01:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,115
19,2026-02-17T21:00,2026-02-17T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,104
20,2026-02-22T06:00,2026-02-22T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,19
21,2026-02-23T02:00,2026-02-23T02:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,3
22,2026-02-23T06:00,2026-02-23T07:00,2,2,0.7,1.1,1.4,0.808,0.137,0.0034,43
23,2026-02-25T03:00,2026-02-25T04:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,22
24,2026-02-26T03:00,2026-02-26T07:00,5,4,0.76,1.8,3.8,0.871,0.068,0.007,45
25,2026-02-28T05:00,2026-02-28T06:00,2,2,0.4,0.5,0.8,0.354,0.633,0.0,42
26,2026-03-02T01:00,2026-03-02T01:00,1,1,0.9,0.9,0.9,0.0,0.444,0.0,2
27,2026-03-02T04:00,2026-03-02T04:00,1,1,0.8,0.8,0.8,0.0,0.375,0.0,8
28,2026-03-02T13:00,2026-03-02T13:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,8
29,2026-03-02T22:00,2026-03-03T00:00,3,3,0.767,1.5,2.3,0.839,0.0,0.0,16
30,2026-03-03T17:00,2026-03-03T17:00,1,1,2.5,2.5,2.5,0.0,0.96,0.0,103
31,2026-03-08T01:00,2026-03-08T01:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,23
32,2026-03-09T01:00,2026-03-09T07:00,7,6,0.429,0.6,3.0,0.374,0.057,0.0,141
33,2026-03-15T05:00,2026-03-15T07:00,3,2,0.267,0.3,0.8,0.217,0.111,0.0,123
34,2026-03-20T11:00,2026-03-20T12:00,2,2,1.0,1.2,2.0,0.283,0.416,0.0072,7
35,2026-03-20T20:00,2026-03-20T20:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,97
36,2026-03-24T22:00,2026-03-24T23:00,2,2,0.5,0.6,1.0,0.283,1.0,0.0,70
37,2026-03-27T22:00,2026-03-27T22:00,1,1,1.9,1.9,1.9,0.0,0.947,0.171,23
38,2026-03-28T22:00,2026-03-29T00:00,3,3,1.167,1.7,3.5,0.649,0.961,0.154,52
39,2026-03-31T05:00,2026-03-31T07:00,3,3,4.3,8.4,12.9,0.861,0.962,0.855,80
40,2026-04-03T16:00,2026-04-03T19:00,4,3,2.65,6.0,10.6,0.961,0.717,0.1975,201
41,2026-04-12T05:00,2026-04-12T05:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,102
42,2026-04-16T12:00,2026-04-16T13:00,2,2,3.05,3.1,6.1,0.023,1.0,0.525,5
43,2026-04-16T19:00,2026-04-17T03:00,9,9,3.756,8.7,33.8,0.854,0.661,0.7678,24
44,2026-04-18T04:00,2026-04-18T04:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,12
45,2026-04-18T17:00,2026-04-18T18:00,2,2,0.3,0.3,0.6,0.0,0.834,0.0,3
46,2026-04-18T22:00,2026-04-18T23:00,2,2,0.4,0.5,0.8,0.354,0.4,0.0,82
47,2026-04-22T10:00,2026-04-22T13:00,4,4,2.25,5.9,9.0,1.082,0.896,0.655,4
48,2026-04-22T18:00,2026-04-22T18:00,1,1,0.8,0.8,0.8,0.0,0.75,0.0,2
49,2026-04-22T21:00,2026-04-22T23:00,3,3,0.6,0.9,1.8,0.441,0.559,0.0,16
50,2026-04-23T16:00,2026-04-23T17:00,2,2,0.75,0.9,1.5,0.283,0.638,0.0,4
51,2026-04-23T22:00,2026-04-23T22:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,82
52,2026-04-27T09:00,2026-04-27T10:00,2,2,0.85,1.1,1.7,0.416,0.955,0.0114,19
53,2026-04-28T06:00,2026-04-28T06:00,1,1,2.3,2.3,2.3,0.0,1.0,0.2177,3
54,2026-04-28T10:00,2026-04-28T21:00,12,11,1.8,5.6,21.6,0.859,0.541,0.63,81
55,2026-05-02T07:00,2026-05-02T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,5
56,2026-05-02T13:00,2026-05-02T13:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,9
57,2026-05-02T23:00,2026-05-03T07:00,9,9,2.944,10.4,26.5,1.204,0.286,0.685,10
58,2026-05-03T18:00,2026-05-03T21:00,4,4,1.0,1.4,4.0,0.523,0.47,0.0005,80
