event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T18:00,2026-01-18T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
1,2026-01-18T23:00,2026-01-19T01:00,3,2,0.333,0.5,1.0,0.458,0.0,0.0,20
2,2026-01-19T22:00,2026-01-19T22:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,129
3,2026-01-25T08:00,2026-01-25T09:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,3
4,2026-01-25T13:00,2026-01-25T19:00,7,7,0.543,0.7,3.8,0.366,0.0,0.0,2
5,2026-01-25T22:00,2026-01-25T23:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,87
6,2026-01-29T15:00,2026-01-30T02:00,12,10,0.558,1.5,6.7,0.773,0.0,0.0,159
7,2026-02-05T18:00,2026-02-05T20:00,3,3,0.567,0.8,1.7,0.367,0.0,0.0,89
8,2026-02-09T14:00,2026-02-09T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,146
9,2026-02-15T17:00,2026-02-15T21:00,5,5,0.78,1.0,3.9,0.229,0.177,0.0,182
10,2026-02-23T12:00,2026-02-23T20:00,9,9,0.722,1.1,6.5,0.408,0.0,0.0001,46
11,2026-02-25T19:00,2026-02-26T05:00,11,9,0.818,2.7,9.0,0.898,0.079,0.0,57
12,2026-02-28T15:00,2026-02-28T18:00,4,4,0.575,0.7,2.3,0.261,0.0,0.0,4
13,2026-02-28T23:00,2026-03-01T15:00,17,17,1.559,3.9,26.5,0.67,0.071,0.0109,229
14,2026-03-11T05:00,2026-03-11T06:00,2,2,1.05,1.7,2.1,0.875,0.47,0.0,99
15,2026-03-15T10:00,2026-03-15T22:00,13,13,0.562,0.8,7.3,0.247,0.0,0.0,2
16,2026-03-16T01:00,2026-03-16T02:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,2
17,2026-03-16T05:00,2026-03-16T06:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,5
18,2026-03-16T12:00,2026-03-16T12:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,16
19,2026-03-17T05:00,2026-03-17T14:00,10,10,1.45,3.6,14.5,0.616,0.178,0.0033,12
20,2026-03-18T03:00,2026-03-18T05:00,3,3,0.7,1.0,2.1,0.378,0.3,0.0,204
21,2026-03-26T18:00,2026-03-26T19:00,2,2,0.45,0.6,0.9,0.471,1.0,0.0,70
22,2026-03-29T18:00,2026-03-30T01:00,8,8,1.325,2.6,10.6,0.522,0.011,0.008,2
23,2026-03-30T04:00,2026-03-30T09:00,6,5,0.817,1.8,4.9,0.69,0.259,0.004,81
24,2026-04-02T19:00,2026-04-02T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,134
25,2026-04-08T10:00,2026-04-08T13:00,4,4,4.025,6.3,16.1,0.58,0.974,0.48,6
26,2026-04-08T20:00,2026-04-08T22:00,3,3,1.233,2.1,3.7,0.69,0.083,0.0921,2
27,2026-04-09T01:00,2026-04-09T04:00,4,4,1.025,1.3,4.1,0.417,0.362,0.0001,2
28,2026-04-09T07:00,2026-04-09T09:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,44
29,2026-04-11T06:00,2026-04-11T06:00,1,1,0.8,0.8,0.8,0.0,0.0,0.0,13
30,2026-04-11T20:00,2026-04-11T22:00,3,2,0.767,1.3,2.3,0.797,0.615,0.0,2
31,2026-04-12T01:00,2026-04-12T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,37
32,2026-04-13T15:00,2026-04-13T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
33,2026-04-13T19:00,2026-04-13T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,58
34,2026-04-16T06:00,2026-04-16T09:00,4,4,1.05,1.9,4.2,0.563,0.602,0.0011,86
35,2026-04-20T00:00,2026-04-20T00:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,18
36,2026-04-20T19:00,2026-04-20T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,18
37,2026-04-21T14:00,2026-04-21T20:00,7,7,1.414,2.0,9.9,0.44,0.211,0.0013,10
38,2026-04-22T07:00,2026-04-22T19:00,13,13,0.623,1.3,8.1,0.435,0.177,0.0,5
39,2026-04-23T01:00,2026-04-23T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,112
40,2026-04-27T18:00,2026-04-27T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
41,2026-04-27T21:00,2026-04-28T03:00,7,7,0.629,0.9,4.4,0.34,0.0,0.0,2
42,2026-04-28T06:00,2026-04-28T10:00,5,5,0.68,0.9,3.4,0.319,0.089,0.0,2
43,2026-04-28T13:00,2026-04-28T20:00,8,8,0.412,0.6,3.3,0.329,0.0,0.0,77
44,2026-05-02T02:00,2026-05-02T02:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,3
45,2026-05-02T06:00,2026-05-02T12:00,7,7,0.486,0.8,3.4,0.365,0.071,0.0,112
46,2026-05-07T05:00,2026-05-07T07:00,3,3,1.167,2.8,3.5,1.213,0.325,0.0315,161
47,2026-05-14T01:00,2026-05-14T02:00,2,2,0.55,0.6,1.1,0.129,1.0,0.0,28
48,2026-05-15T07:00,2026-05-15T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,62
49,2026-05-17T22:00,2026-05-18T04:00,7,6,0.671,1.4,4.7,0.676,0.223,0.002,5
50,2026-05-18T10:00,2026-05-18T13:00,4,4,1.025,1.8,4.1,0.587,0.083,0.018,2
51,2026-05-18T16:00,2026-05-19T06:00,15,14,1.127,6.9,16.9,1.459,0.336,0.025,5
52,2026-05-19T12:00,2026-05-19T17:00,6,6,0.917,1.4,5.5,0.514,0.203,0.006,5
53,2026-05-19T23:00,2026-05-20T00:00,2,2,1.75,2.7,3.5,0.768,0.463,0.0234,2
54,2026-05-20T03:00,2026-05-20T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,51
55,2026-05-22T07:00,2026-05-22T12:00,6,5,1.083,2.3,6.5,0.771,0.59,0.1089,25
56,2026-05-23T14:00,2026-05-23T15:00,2,2,0.45,0.5,0.9,0.157,0.125,0.0,5
57,2026-05-23T21:00,2026-05-24T08:00,12,12,1.633,5.3,19.6,1.096,0.521,0.312,13
58,2026-05-24T22:00,2026-05-25T03:00,6,6,1.033,2.5,6.2,0.802,0.211,0.1594,4
59,2026-05-25T08:00,2026-05-25T09:00,2,2,2.6,4.4,5.2,0.979,0.79,0.6545,3
60,2026-05-25T13:00,2026-05-25T20:00,8,8,2.5,5.0,20.0,0.667,0.162,0.555,308
61,2026-06-07T17:00,2026-06-07T17:00,1,1,0.8,0.8,0.8,0.0,0.5,0.0,111
62,2026-06-12T09:00,2026-06-12T09:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,135
63,2026-06-18T01:00,2026-06-18T01:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,15
64,2026-06-18T17:00,2026-06-19T12:00,20,19,2.25,4.8,45.0,0.621,0.397,0.3792,2
65,2026-06-19T15:00,2026-06-19T17:00,3,2,0.333,0.4,1.0,0.346,0.0,0.0,3
66,2026-06-19T21:00,2026-06-19T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,34
67,2026-06-21T08:00,2026-06-21T10:00,3,3,1.433,1.9,4.3,0.397,0.398,0.0281,2
68,2026-06-21T13:00,2026-06-22T04:00,16,16,5.35,21.5,85.6,1.161,0.336,0.09,3
69,2026-06-22T08:00,2026-06-22T12:00,5,5,0.82,1.5,4.1,0.568,0.596,0.0006,7
70,2026-06-22T20:00,2026-06-22T23:00,4,4,0.75,1.1,3.0,0.468,0.164,0.0001,3
71,2026-06-23T03:00,2026-06-23T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
72,2026-06-23T09:00,2026-06-23T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,14
