event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-01T21:00,2026-03-02T00:00,4,4,0.525,0.6,2.1,0.182,0.0,0.0,4
1,2026-03-02T05:00,2026-03-02T08:00,4,4,0.4,0.5,1.6,0.289,0.0,0.0,272
2,2026-03-13T17:00,2026-03-13T22:00,6,6,0.517,0.8,3.1,0.355,0.0,0.0,195
3,2026-03-22T02:00,2026-03-22T02:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,3
4,2026-03-22T06:00,2026-03-22T07:00,2,2,2.0,3.5,4.0,1.061,0.485,0.0,160
5,2026-03-29T00:00,2026-03-29T00:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,130
6,2026-04-03T11:00,2026-04-03T15:00,5,5,2.38,4.9,11.9,0.664,0.295,0.016,31
7,2026-04-04T23:00,2026-04-04T23:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,94
8,2026-04-08T22:00,2026-04-09T01:00,4,4,0.775,1.2,3.1,0.571,0.0,0.0,2
9,2026-04-09T04:00,2026-04-09T06:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,177
10,2026-04-16T16:00,2026-04-16T21:00,6,6,0.8,1.1,4.8,0.296,0.095,0.0,69
11,2026-04-19T19:00,2026-04-19T21:00,3,3,0.567,0.7,1.7,0.27,0.0,0.0,154
12,2026-04-26T08:00,2026-04-26T09:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,133
13,2026-05-01T23:00,2026-05-01T23:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,8
14,2026-05-02T08:00,2026-05-02T10:00,3,3,0.4,0.6,1.2,0.433,0.0,0.0,4
15,2026-05-02T15:00,2026-05-02T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
16,2026-05-02T23:00,2026-05-03T02:00,4,4,1.15,1.7,4.6,0.484,0.0,0.0009,84
17,2026-05-06T15:00,2026-05-06T15:00,1,1,2.5,2.5,2.5,0.0,1.0,0.0131,4
18,2026-05-06T20:00,2026-05-06T20:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,73
19,2026-05-09T22:00,2026-05-10T01:00,4,4,1.15,2.7,4.6,0.911,1.0,0.0128,195
20,2026-05-18T05:00,2026-05-18T13:00,9,8,1.244,2.8,11.2,0.814,0.0,0.0022,3
21,2026-05-18T17:00,2026-05-19T04:00,12,12,1.1,3.8,13.2,0.968,0.132,0.001,18
22,2026-05-19T23:00,2026-05-20T14:00,16,16,1.794,2.8,28.7,0.46,0.022,0.0022,7
23,2026-05-20T22:00,2026-05-20T22:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,38
24,2026-05-22T13:00,2026-05-22T17:00,5,5,0.68,0.8,3.4,0.192,0.902,0.0,63
25,2026-05-25T09:00,2026-05-26T20:00,36,36,2.392,6.4,86.1,0.665,0.347,0.0158,2
26,2026-05-26T23:00,2026-05-27T01:00,3,3,0.5,0.9,1.5,0.693,0.074,0.0,186
27,2026-06-03T20:00,2026-06-04T01:00,6,6,0.8,1.8,4.8,0.689,0.225,0.012,2
28,2026-06-04T04:00,2026-06-04T06:00,3,3,0.633,1.1,1.9,0.657,0.41,0.0058,43
29,2026-06-06T02:00,2026-06-06T07:00,6,6,1.55,2.4,9.3,0.384,0.024,0.0017,5
30,2026-06-06T13:00,2026-06-06T13:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,3
31,2026-06-06T17:00,2026-06-06T20:00,4,3,0.275,0.4,1.1,0.688,0.688,0.0,2
32,2026-06-06T23:00,2026-06-07T04:00,6,5,0.433,0.7,2.6,0.454,0.448,0.0,38
33,2026-06-08T19:00,2026-06-08T20:00,2,2,0.35,0.4,0.7,0.202,0.375,0.0,9
34,2026-06-09T06:00,2026-06-09T06:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,20
35,2026-06-10T03:00,2026-06-10T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,69
36,2026-06-13T01:00,2026-06-13T02:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,18
37,2026-06-13T21:00,2026-06-13T22:00,2,2,0.5,0.7,1.0,0.566,0.214,0.0,6
38,2026-06-14T05:00,2026-06-14T05:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,71
39,2026-06-17T05:00,2026-06-17T05:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,67
40,2026-06-20T01:00,2026-06-20T01:00,1,1,0.7,0.7,0.7,0.0,0.143,0.0,2
41,2026-06-20T04:00,2026-06-20T04:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,3
42,2026-06-20T08:00,2026-06-20T09:00,2,2,0.35,0.4,0.7,0.202,0.709,0.0,100
43,2026-06-24T14:00,2026-06-24T18:00,5,4,0.88,2.4,4.4,1.103,0.469,0.0892,5
44,2026-06-25T00:00,2026-06-25T00:00,1,1,5.9,5.9,5.9,0.0,0.475,0.335,3
45,2026-06-25T04:00,2026-06-25T04:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,2
46,2026-06-25T07:00,2026-06-25T08:00,2,2,0.35,0.4,0.7,0.202,0.291,0.0,119
47,2026-06-30T08:00,2026-06-30T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,9
48,2026-06-30T18:00,2026-06-30T18:00,1,1,1.3,1.3,1.3,0.0,0.923,0.0086,4
49,2026-06-30T23:00,2026-06-30T23:00,1,1,1.3,1.3,1.3,0.0,0.462,0.0064,44
50,2026-07-02T20:00,2026-07-02T22:00,3,3,1.9,4.0,5.7,0.986,0.308,0.4163,5
51,2026-07-03T04:00,2026-07-03T06:00,3,3,0.7,1.0,2.1,0.515,0.25,0.0,55
52,2026-07-05T14:00,2026-07-05T15:00,2,2,2.15,3.2,4.3,0.691,0.422,0.539,4
53,2026-07-05T20:00,2026-07-06T00:00,5,5,4.2,6.1,21.0,0.422,0.518,0.875,66
54,2026-07-08T19:00,2026-07-08T21:00,3,2,0.3,0.4,0.9,0.577,0.333,0.0,2
55,2026-07-09T00:00,2026-07-09T02:00,3,2,0.467,0.7,1.4,0.539,0.2,0.0,4
56,2026-07-09T07:00,2026-07-09T07:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,11
57,2026-07-09T19:00,2026-07-09T20:00,2,2,1.35,2.1,2.7,0.786,0.334,0.1788,4
58,2026-07-10T01:00,2026-07-10T01:00,1,1,1.9,1.9,1.9,0.0,0.105,0.225,73
59,2026-07-13T03:00,2026-07-14T06:00,28,25,1.161,5.6,32.5,0.958,0.522,0.235,66
60,2026-07-17T01:00,2026-07-17T01:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,180
61,2026-07-24T14:00,2026-07-24T21:00,8,8,2.025,5.9,16.2,1.06,0.431,0.44,3
62,2026-07-25T01:00,2026-07-25T03:00,3,3,0.433,0.5,1.3,0.133,0.083,0.0,21
63,2026-07-26T01:00,2026-07-26T01:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,3
64,2026-07-26T05:00,2026-07-26T07:00,3,3,0.433,0.7,1.3,0.533,0.778,0.0,164
65,2026-08-02T04:00,2026-08-02T05:00,2,2,0.5,0.6,1.0,0.283,0.416,0.0,-1
