event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-21T13:00,2026-02-21T16:00,4,3,0.725,1.3,2.9,0.707,0.25,0.0,6
1,2026-02-21T23:00,2026-02-21T23:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,82
2,2026-02-25T10:00,2026-02-25T10:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,133
3,2026-03-03T00:00,2026-03-03T00:00,1,1,0.0,0.0,0.0,0.0,1.0,0.0,565
4,2026-03-26T14:00,2026-03-26T14:00,1,1,0.5,0.5,0.5,0.0,0.667,0.0,351
5,2026-04-10T06:00,2026-04-10T15:00,10,10,0.47,1.0,4.7,0.482,0.018,0.0,157
6,2026-04-17T05:00,2026-04-17T08:00,4,4,1.075,2.0,4.3,0.668,0.504,0.0225,30
7,2026-04-18T15:00,2026-04-18T23:00,9,7,1.367,3.5,12.3,0.927,0.758,0.014,12
8,2026-04-19T12:00,2026-04-19T16:00,5,5,0.54,1.0,2.7,0.623,0.06,0.0,107
9,2026-04-24T04:00,2026-04-24T06:00,3,3,0.9,1.8,2.7,0.868,1.0,0.009,175
10,2026-05-01T14:00,2026-05-01T14:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,259
11,2026-05-12T10:00,2026-05-12T12:00,3,3,0.633,1.1,1.9,0.638,0.856,0.0045,70
12,2026-05-15T11:00,2026-05-15T11:00,1,1,1.2,1.2,1.2,0.0,0.917,0.0,35
13,2026-05-16T23:00,2026-05-16T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
14,2026-05-17T02:00,2026-05-17T05:00,4,4,0.65,1.1,2.6,0.525,0.091,0.0,4
15,2026-05-17T10:00,2026-05-17T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,54
16,2026-05-19T17:00,2026-05-19T18:00,2,2,1.4,1.7,2.8,0.303,0.955,0.0096,69
17,2026-05-22T16:00,2026-05-23T01:00,10,9,1.01,2.0,10.1,0.589,0.449,0.0038,5
18,2026-05-23T07:00,2026-05-23T08:00,2,2,0.45,0.5,0.9,0.157,0.675,0.0,191
19,2026-05-31T08:00,2026-05-31T08:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,34
20,2026-06-01T19:00,2026-06-01T21:00,3,3,1.4,1.9,4.2,0.357,0.836,0.0,69
21,2026-06-04T19:00,2026-06-04T19:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,6
22,2026-06-05T02:00,2026-06-05T04:00,3,3,0.4,0.6,1.2,0.433,0.389,0.0,2
23,2026-06-05T07:00,2026-06-05T07:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,15
24,2026-06-05T23:00,2026-06-06T01:00,3,3,0.633,1.0,1.9,0.555,0.667,0.0,7
25,2026-06-06T09:00,2026-06-06T10:00,2,2,2.0,2.2,4.0,0.141,0.955,0.0765,20
26,2026-06-07T07:00,2026-06-07T12:00,6,6,0.867,1.6,5.2,0.559,0.379,0.0158,4
27,2026-06-07T17:00,2026-06-07T22:00,6,5,0.4,0.6,2.4,0.354,0.531,0.0,8
28,2026-06-08T07:00,2026-06-08T08:00,2,2,0.45,0.5,0.9,0.157,0.45,0.0,21
29,2026-06-09T06:00,2026-06-09T07:00,2,2,0.85,1.4,1.7,0.915,0.322,0.0055,4
30,2026-06-09T12:00,2026-06-09T12:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,17
31,2026-06-10T06:00,2026-06-10T06:00,1,1,2.5,2.5,2.5,0.0,1.0,0.1125,45
32,2026-06-12T04:00,2026-06-12T08:00,5,3,0.24,0.5,1.2,0.959,0.1,0.0,56
