time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,100.0,-23.2,2.46,4.4,257,0,34080.0,1,0.313
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,120.0,-21.9,2.41,4.8,257,0,34100.0,1,0.313
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,155.0,-20.1,2.02,4.5,247,0,35180.0,1,0.313
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,235.0,-18.4,1.93,4.5,249,0,35200.0,1,0.313
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,415.0,-17.0,1.97,4.7,261,0,35200.0,1,0.313
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,525.0,-16.2,1.95,4.7,283,0,36080.0,1,0.313
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,440.0,-15.6,1.75,4.5,301,0,36080.0,1,0.313
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,400.0,-16.8,0.67,3.8,318,0,37580.0,1,0.313
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,15.0,-18.4,0.16,1.7,72,12,36100.0,1,0.313
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,15.0,-19.4,0.16,0.5,108,5,36100.0,0,0.313
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,20.0,-20.3,0.35,0.7,45,11,36100.0,0,0.313
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.03,0,0.0,,30.0,-21.8,1.12,1.8,21,3,35220.0,0,0.313
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.03,1,0.0,,45.0,-22.3,1.68,2.8,30,26,34140.0,0,0.313
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.03,1,0.0,,60.0,-22.9,1.78,3.5,38,24,32840.0,0,0.313
