time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.24,3,0.0,,475.0,-25.7,3.3,6.4,280,92,43620.0,1,0.366
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.24,3,0.0,,510.0,-24.6,3.52,7.3,281,90,35400.0,1,0.366
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.24,3,0.0,,530.0,-23.2,3.37,7.7,277,91,39380.0,1,0.366
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.24,2,0.0,,555.0,-22.2,3.23,7.6,289,63,47480.0,1,0.366
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,565.0,-21.2,3.02,7.3,297,14,72760.0,1,0.366
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,570.0,-20.4,2.93,7.0,297,14,86940.0,1,0.366
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,595.0,-20.2,3.13,6.8,287,8,86080.0,1,0.366
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,580.0,-20.4,2.42,6.9,292,9,86060.0,1,0.366
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,215.0,-22.2,1.9,5.3,288,3,84960.0,0,0.366
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,85.0,-24.0,2.03,3.9,280,1,83000.0,0,0.366
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,65.0,-25.1,2.05,4.1,271,0,81460.0,0,0.367
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,60.0,-26.0,2.11,4.1,265,0,81500.0,0,0.367
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,60.0,-27.1,2.34,4.0,254,1,81500.0,0,0.367
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,60.0,-27.5,2.31,4.4,252,5,81500.0,0,0.367
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.24,1,0.0,,55.0,-27.7,2.34,4.5,254,35,81500.0,0,0.367
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,50.0,-28.2,2.1,4.4,258,15,79060.0,0,0.367
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,45.0,-29.0,2.03,3.9,254,2,79060.0,0,0.367
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,45.0,-29.8,2.21,4.1,252,1,79060.0,0,0.367
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.24,1,0.0,,50.0,-31.4,2.49,4.7,248,22,78760.0,0,0.367
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.24,3,0.0,,60.0,-31.5,2.5,5.0,244,90,55140.0,0,0.367
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.24,3,0.0,,70.0,-30.8,2.64,5.0,245,98,33160.0,0,0.367
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.24,3,0.0,,75.0,-30.7,2.48,5.1,251,88,53760.0,0,0.367
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.24,0,0.0,,65.0,-31.2,2.01,4.8,251,3,75180.0,0,0.367
