event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T19:00,2026-01-19T02:00,8,8,0.9,1.6,7.2,0.582,0.219,0.0008,2
1,2026-01-19T05:00,2026-01-19T10:00,6,6,0.567,0.7,3.4,0.214,0.0,0.0,5
2,2026-01-19T16:00,2026-01-19T16:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
3,2026-01-19T20:00,2026-01-19T21:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,8
4,2026-01-20T06:00,2026-01-20T08:00,3,2,0.267,0.3,0.8,0.217,0.0,0.0,209
5,2026-01-29T02:00,2026-01-29T06:00,5,5,0.56,0.8,2.8,0.324,0.0,0.0,2
6,2026-01-29T09:00,2026-01-29T11:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,179
7,2026-02-05T23:00,2026-02-06T00:00,2,2,0.4,0.5,0.8,0.354,1.0,0.0,20
8,2026-02-06T21:00,2026-02-06T23:00,3,3,0.4,0.5,1.2,0.25,0.267,0.0,188
9,2026-02-14T20:00,2026-02-15T00:00,5,5,2.18,4.7,10.9,0.811,0.853,0.0144,16
10,2026-02-15T17:00,2026-02-15T17:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,6
11,2026-02-16T00:00,2026-02-16T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,44
12,2026-02-17T21:00,2026-02-17T22:00,2,2,0.4,0.5,0.8,0.354,1.0,0.0,123
13,2026-02-23T02:00,2026-02-23T08:00,7,6,0.986,2.1,6.9,0.726,0.752,0.0,40
14,2026-02-25T01:00,2026-02-25T02:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,85
15,2026-02-28T16:00,2026-02-28T17:00,2,2,0.4,0.5,0.8,0.354,1.0,0.0,100
16,2026-03-04T22:00,2026-03-05T00:00,3,3,1.933,3.4,5.8,0.675,0.413,0.0,20
17,2026-03-05T21:00,2026-03-05T22:00,2,2,0.45,0.5,0.9,0.157,1.0,0.0,4
18,2026-03-06T03:00,2026-03-06T03:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,21
19,2026-03-07T01:00,2026-03-07T09:00,9,9,0.6,0.9,5.4,0.3,0.275,0.0,25
20,2026-03-08T11:00,2026-03-08T15:00,5,4,0.38,0.6,1.9,0.432,0.167,0.0,123
21,2026-03-13T19:00,2026-03-14T17:00,23,21,0.839,1.6,19.3,0.585,0.011,0.0005,2
22,2026-03-14T20:00,2026-03-15T11:00,16,16,0.531,1.0,8.5,0.393,0.098,0.0,9
23,2026-03-15T21:00,2026-03-15T22:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,19
24,2026-03-16T18:00,2026-03-17T01:00,8,8,0.662,1.3,5.3,0.49,0.031,0.0,16
25,2026-03-17T18:00,2026-03-17T20:00,3,3,0.733,0.8,2.2,0.079,0.048,0.0,46
26,2026-03-19T19:00,2026-03-19T19:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,25
27,2026-03-20T21:00,2026-03-20T21:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,42
28,2026-03-22T16:00,2026-03-22T16:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
29,2026-03-22T19:00,2026-03-22T22:00,4,4,0.575,1.0,2.3,0.592,0.0,0.0,3
30,2026-03-23T02:00,2026-03-23T04:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,13
31,2026-03-23T18:00,2026-03-23T20:00,3,3,0.4,0.5,1.2,0.25,0.167,0.0,23
32,2026-03-24T20:00,2026-03-24T20:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,48
33,2026-03-26T21:00,2026-03-26T22:00,2,2,0.9,1.3,1.8,0.629,1.0,0.0,22
34,2026-03-27T21:00,2026-03-28T00:00,4,4,0.625,0.9,2.5,0.441,0.0,0.0,18
35,2026-03-28T19:00,2026-03-28T19:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,8
36,2026-03-29T04:00,2026-03-29T10:00,7,7,0.843,1.3,5.9,0.41,0.063,0.0011,3
37,2026-03-29T14:00,2026-03-29T15:00,2,2,0.5,0.6,1.0,0.283,0.541,0.0,20
38,2026-03-30T12:00,2026-03-30T18:00,7,7,0.829,1.5,5.8,0.52,0.0,0.0,50
39,2026-04-01T21:00,2026-04-02T05:00,9,8,0.989,2.6,8.9,0.853,0.0,0.001,2
40,2026-04-02T08:00,2026-04-02T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,37
41,2026-04-03T22:00,2026-04-03T22:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,16
42,2026-04-04T15:00,2026-04-04T15:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,7
43,2026-04-04T23:00,2026-04-05T00:00,2,2,1.9,2.3,3.8,0.298,0.945,0.0097,2
44,2026-04-05T03:00,2026-04-05T03:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,18
45,2026-04-05T22:00,2026-04-06T00:00,3,3,0.5,0.6,1.5,0.2,0.0,0.0,16
46,2026-04-06T17:00,2026-04-06T17:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,5
47,2026-04-06T23:00,2026-04-07T00:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,8
48,2026-04-07T09:00,2026-04-07T09:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,12
49,2026-04-07T22:00,2026-04-08T01:00,4,4,0.9,2.6,3.6,1.26,0.192,0.028,2
50,2026-04-08T04:00,2026-04-08T04:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,21
51,2026-04-09T02:00,2026-04-09T04:00,3,3,1.033,1.5,3.1,0.55,1.0,0.065,22
52,2026-04-10T03:00,2026-04-10T03:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
53,2026-04-10T06:00,2026-04-10T09:00,4,4,1.525,2.4,6.1,0.646,0.575,0.1732,14
54,2026-04-11T00:00,2026-04-11T05:00,6,6,1.45,2.2,8.7,0.438,0.296,0.0014,40
55,2026-04-12T22:00,2026-04-13T08:00,11,11,1.182,1.9,13.0,0.372,0.033,0.0034,11
56,2026-04-13T20:00,2026-04-14T05:00,10,9,1.13,2.1,11.3,0.682,0.17,0.0079,15
57,2026-04-14T21:00,2026-04-14T22:00,2,2,0.6,0.8,1.2,0.471,0.5,0.0,5
58,2026-04-15T04:00,2026-04-15T04:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,96
59,2026-04-19T05:00,2026-04-19T05:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,10
60,2026-04-19T16:00,2026-04-20T00:00,9,8,3.144,13.5,28.3,1.313,0.706,0.24,2
61,2026-04-20T03:00,2026-04-20T03:00,1,1,1.4,1.4,1.4,0.0,0.929,0.0,3
62,2026-04-20T07:00,2026-04-20T09:00,3,3,0.433,0.6,1.3,0.353,0.361,0.0,2
63,2026-04-20T12:00,2026-04-20T12:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,8
64,2026-04-20T21:00,2026-04-21T04:00,8,8,2.45,6.7,19.6,0.85,0.274,0.0041,125
65,2026-04-26T10:00,2026-04-26T11:00,2,2,0.55,0.6,1.1,0.129,0.0,0.0,2
66,2026-04-26T14:00,2026-04-26T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
67,2026-04-26T17:00,2026-04-26T18:00,2,2,1.95,2.3,3.9,0.254,0.653,0.0008,19
68,2026-04-27T14:00,2026-04-27T16:00,3,3,1.367,2.1,4.1,0.549,0.191,0.0234,2
69,2026-04-27T19:00,2026-04-27T20:00,2,2,0.65,0.7,1.3,0.109,0.084,0.0,2
70,2026-04-27T23:00,2026-04-28T14:00,16,16,1.444,2.6,23.1,0.441,0.01,0.008,58
71,2026-05-01T01:00,2026-05-01T05:00,5,4,0.34,0.5,1.7,0.335,0.0,0.0,2
72,2026-05-01T08:00,2026-05-01T08:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,5
73,2026-05-01T14:00,2026-05-01T23:00,10,10,1.08,1.8,10.8,0.423,0.184,0.0,19
74,2026-05-02T19:00,2026-05-02T19:00,1,1,1.5,1.5,1.5,0.0,1.0,0.0088,76
75,2026-05-06T00:00,2026-05-06T00:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,2
76,2026-05-06T03:00,2026-05-06T06:00,4,4,1.175,2.2,4.7,0.661,0.775,0.003,30
77,2026-05-07T13:00,2026-05-07T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,111
