event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T19:00,2026-01-18T23:00,5,5,0.44,0.5,2.2,0.203,0.0,0.0,429
1,2026-02-05T21:00,2026-02-05T21:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,41
2,2026-02-07T15:00,2026-02-07T15:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,9
3,2026-02-08T01:00,2026-02-08T02:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,4
4,2026-02-08T07:00,2026-02-08T09:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,2
5,2026-02-08T12:00,2026-02-08T12:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,5
6,2026-02-08T18:00,2026-02-08T22:00,5,4,0.26,0.3,1.3,0.344,0.2,0.0,163
7,2026-02-15T18:00,2026-02-15T18:00,1,1,1.2,1.2,1.2,0.0,1.0,0.0,147
8,2026-02-21T22:00,2026-02-21T22:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
9,2026-02-22T01:00,2026-02-22T01:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,38
10,2026-02-23T16:00,2026-02-23T18:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,46
11,2026-02-25T17:00,2026-02-25T17:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,44
12,2026-02-27T14:00,2026-02-27T14:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,3
13,2026-02-27T18:00,2026-02-27T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
14,2026-02-27T22:00,2026-02-28T00:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,3
15,2026-02-28T04:00,2026-02-28T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,10
16,2026-02-28T15:00,2026-02-28T18:00,4,4,0.8,1.1,3.2,0.368,0.0,0.0,91
17,2026-03-04T14:00,2026-03-04T15:00,2,2,0.35,0.4,0.7,0.202,1.0,0.0,48
18,2026-03-06T16:00,2026-03-06T17:00,2,2,0.35,0.4,0.7,0.202,0.875,0.0,3
19,2026-03-06T21:00,2026-03-07T02:00,6,5,0.5,0.8,3.0,0.438,0.297,0.0,30
