event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-28T23:00,2026-03-01T15:00,17,17,0.6,0.9,10.2,0.3,0.0,0.0,302
1,2026-03-14T06:00,2026-03-14T08:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,84
2,2026-03-17T21:00,2026-03-17T21:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,357
3,2026-04-01T19:00,2026-04-01T19:00,1,1,2.1,2.1,2.1,0.0,1.0,0.0,35
4,2026-04-03T07:00,2026-04-03T11:00,5,5,2.06,3.5,10.3,0.537,0.988,0.0471,123
5,2026-04-08T15:00,2026-04-08T22:00,8,8,0.738,1.7,5.9,0.79,0.251,0.0,257
6,2026-04-19T16:00,2026-04-19T18:00,3,3,0.967,1.6,2.9,0.588,0.0,0.0,151
7,2026-04-26T02:00,2026-04-26T02:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,141
8,2026-05-02T00:00,2026-05-02T00:00,1,1,1.0,1.0,1.0,0.0,0.4,0.0,6
9,2026-05-02T07:00,2026-05-02T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,13
10,2026-05-02T21:00,2026-05-02T22:00,2,2,0.55,0.6,1.1,0.129,0.633,0.0,9
11,2026-05-03T08:00,2026-05-03T09:00,2,2,3.05,5.5,6.1,1.136,0.741,0.09,73
12,2026-05-06T11:00,2026-05-06T19:00,9,8,2.789,7.1,25.1,0.97,0.418,0.055,101
13,2026-05-11T01:00,2026-05-11T01:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,136
14,2026-05-16T18:00,2026-05-16T18:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,24
15,2026-05-17T19:00,2026-05-18T06:00,12,12,2.975,4.7,35.7,0.482,0.3,0.0281,47
16,2026-05-20T06:00,2026-05-20T06:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,35
17,2026-05-21T18:00,2026-05-21T18:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,14
18,2026-05-22T09:00,2026-05-22T12:00,4,3,0.75,1.4,3.0,0.71,0.237,0.005,62
19,2026-05-25T03:00,2026-05-25T17:00,15,15,1.38,2.8,20.7,0.603,0.282,0.0067,4
20,2026-05-25T22:00,2026-05-25T22:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
21,2026-05-26T01:00,2026-05-26T02:00,2,2,0.4,0.4,0.8,0.0,0.125,0.0,199
22,2026-06-03T10:00,2026-06-03T12:00,3,3,0.667,1.2,2.0,0.693,0.111,0.0387,2
23,2026-06-03T15:00,2026-06-03T19:00,5,4,0.52,0.9,2.6,0.534,0.195,0.0,36
24,2026-06-05T08:00,2026-06-06T01:00,18,16,2.594,8.5,46.7,1.13,0.354,0.0135,10
25,2026-06-06T12:00,2026-06-06T13:00,2,2,0.9,1.4,1.8,0.786,0.357,0.002,88
26,2026-06-10T06:00,2026-06-10T06:00,1,1,0.6,0.6,0.6,0.0,0.333,0.0,72
27,2026-06-13T07:00,2026-06-13T07:00,1,1,5.7,5.7,5.7,0.0,0.982,0.425,11
28,2026-06-13T19:00,2026-06-14T00:00,6,6,1.733,2.7,10.4,0.313,0.259,0.047,78
