event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-16T19:00,2026-01-16T21:00,3,3,0.533,0.8,1.6,0.433,0.875,0.0,57
1,2026-01-19T07:00,2026-01-19T09:00,3,2,0.333,0.5,1.0,0.458,0.178,0.0,57
2,2026-01-21T19:00,2026-01-21T21:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,74
3,2026-01-25T00:00,2026-01-25T06:00,7,7,0.457,0.8,3.2,0.453,0.309,0.0,13
4,2026-01-25T20:00,2026-01-25T21:00,2,2,0.6,0.8,1.2,0.471,0.438,0.0,71
5,2026-01-28T21:00,2026-01-28T21:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,3
6,2026-01-29T01:00,2026-01-29T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
7,2026-01-29T04:00,2026-01-29T04:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,21
8,2026-01-30T02:00,2026-01-30T06:00,5,4,0.32,0.5,1.6,0.342,0.447,0.0,141
9,2026-02-05T04:00,2026-02-05T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,63
10,2026-02-07T20:00,2026-02-07T22:00,3,3,0.433,0.5,1.3,0.266,0.0,0.0,50
11,2026-02-10T01:00,2026-02-10T06:00,6,6,0.417,0.7,2.5,0.353,0.401,0.0,69
12,2026-02-13T04:00,2026-02-13T06:00,3,3,0.333,0.4,1.0,0.173,1.0,0.0,240
13,2026-02-23T07:00,2026-02-23T08:00,2,2,3.95,4.3,7.9,0.125,0.96,0.0163,65
14,2026-02-26T02:00,2026-02-26T03:00,2,2,0.5,0.6,1.0,0.283,0.791,0.0,3
15,2026-02-26T07:00,2026-02-26T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,20
16,2026-02-27T04:00,2026-02-27T05:00,2,2,0.4,0.4,0.8,0.0,0.75,0.0,62
17,2026-03-01T20:00,2026-03-01T22:00,3,3,4.7,11.0,14.1,1.191,0.601,0.315,6
18,2026-03-02T05:00,2026-03-02T10:00,6,6,1.617,3.2,9.7,0.766,0.422,0.075,3
19,2026-03-02T14:00,2026-03-02T14:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,2
20,2026-03-02T17:00,2026-03-02T18:00,2,2,1.05,1.8,2.1,1.01,0.834,0.016,3
21,2026-03-02T22:00,2026-03-03T04:00,7,7,1.171,2.4,8.2,0.726,0.113,0.0507,15
22,2026-03-03T20:00,2026-03-03T20:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
23,2026-03-03T23:00,2026-03-04T02:00,4,4,0.875,2.3,3.5,1.09,0.05,0.0114,70
24,2026-03-07T01:00,2026-03-07T03:00,3,3,0.5,0.8,1.5,0.529,0.833,0.0,237
25,2026-03-17T01:00,2026-03-17T02:00,2,2,0.35,0.4,0.7,0.202,0.416,0.0,48
26,2026-03-19T03:00,2026-03-19T03:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,18
27,2026-03-19T22:00,2026-03-19T23:00,2,2,0.35,0.4,0.7,0.202,0.709,0.0,102
28,2026-03-24T06:00,2026-03-24T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,114
29,2026-03-29T01:00,2026-03-29T01:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,17
30,2026-03-29T19:00,2026-03-29T22:00,4,3,0.4,0.7,1.6,0.791,0.399,0.0,34
31,2026-03-31T09:00,2026-03-31T09:00,1,1,3.3,3.3,3.3,0.0,1.0,0.3939,82
32,2026-04-03T20:00,2026-04-03T21:00,2,2,1.55,1.6,3.1,0.046,0.875,0.0644,313
33,2026-04-16T23:00,2026-04-17T00:00,2,2,0.8,1.1,1.6,0.53,0.655,0.0189,2
34,2026-04-17T03:00,2026-04-17T07:00,5,5,1.9,6.6,9.5,1.39,0.21,0.45,43
35,2026-04-19T03:00,2026-04-19T08:00,6,4,0.433,0.9,2.6,0.768,0.681,0.0,42
36,2026-04-21T03:00,2026-04-21T03:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,41
37,2026-04-22T21:00,2026-04-22T22:00,2,2,0.55,0.6,1.1,0.129,0.1,0.0,5
38,2026-04-23T04:00,2026-04-23T04:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,84
