time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,34.0,40.0,12.2,1.29,2.2,54,0,10840.0,1,0.081
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,100.0,14.3,0.81,3.0,68,0,14080.0,1,0.081
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,265.0,17.4,0.97,4.0,102,0,15340.0,1,0.081
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,580.0,20.2,1.46,5.2,121,0,17440.0,1,0.081
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,955.0,22.0,1.74,6.0,129,0,17460.0,1,0.08
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1295.0,23.4,2.12,6.7,137,0,19620.0,1,0.079
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1500.0,24.3,2.51,7.5,149,0,20040.0,1,0.078
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1595.0,24.7,2.8,7.8,149,0,20060.0,1,0.078
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1530.0,24.4,2.85,7.8,149,0,20060.0,1,0.077
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1370.0,23.6,2.49,7.4,150,0,20060.0,1,0.077
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,175.0,21.7,2.12,5.9,137,0,19620.0,1,0.077
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,130.0,20.6,2.38,4.4,139,0,19620.0,0,0.077
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,155.0,20.0,2.62,5.1,145,0,19640.0,0,0.077
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,135.0,18.8,2.41,5.1,167,0,17480.0,0,0.077
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,100.0,17.6,2.34,4.6,164,0,17480.0,0,0.077
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,85.0,16.7,2.02,4.4,147,0,16500.0,0,0.077
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,50.0,15.6,1.11,3.7,162,0,15380.0,0,0.077
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,14.7,0.63,2.1,198,0,15380.0,0,0.077
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,30.0,10.0,14.5,0.22,1.2,297,0,14100.0,0,0.078
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,70.0,27.0,10.0,13.8,0.1,0.4,360,0,14100.0,0,0.078
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,31.0,20.0,13.0,0.85,1.6,28,0,14120.0,0,0.078
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,40.0,47.0,20.0,12.9,0.62,1.6,14,0,14120.0,0,0.079
