event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-17T20:00,2026-03-17T21:00,2,2,0.0,0.0,0.0,0.0,0.0,0.0,95
1,2026-03-21T21:00,2026-03-22T06:00,10,8,0.99,3.0,9.9,0.953,0.606,0.0049,161
2,2026-03-29T00:00,2026-03-29T01:00,2,2,1.9,2.5,3.8,0.447,0.962,0.0,5
3,2026-03-29T07:00,2026-03-29T09:00,3,3,1.333,1.9,4.0,0.611,0.833,0.0034,114
4,2026-04-03T04:00,2026-04-03T04:00,1,1,1.2,1.2,1.2,0.0,0.667,0.0,4
5,2026-04-03T09:00,2026-04-03T15:00,7,7,1.529,3.1,10.7,0.618,0.122,0.0,38
6,2026-04-05T06:00,2026-04-05T11:00,6,5,0.867,1.6,5.2,0.559,0.477,0.0008,5
7,2026-04-05T17:00,2026-04-05T19:00,3,3,0.367,0.4,1.1,0.157,0.12,0.0,98
8,2026-04-09T22:00,2026-04-09T23:00,2,2,0.4,0.4,0.8,0.0,0.375,0.0,107
9,2026-04-14T11:00,2026-04-14T13:00,3,3,1.433,2.0,4.3,0.421,0.783,0.0,53
10,2026-04-16T19:00,2026-04-16T23:00,5,5,0.34,0.4,1.7,0.161,0.0,0.0,68
11,2026-04-19T20:00,2026-04-19T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,110
12,2026-04-24T11:00,2026-04-24T12:00,2,2,5.6,7.9,11.2,0.581,1.0,0.135,26
13,2026-04-25T15:00,2026-04-25T22:00,8,8,1.938,4.8,15.5,0.723,0.53,0.019,161
14,2026-05-02T16:00,2026-05-02T19:00,4,4,0.6,1.0,2.4,0.451,0.0,0.0,80
15,2026-05-06T04:00,2026-05-06T04:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,2
16,2026-05-06T07:00,2026-05-06T13:00,7,7,2.514,3.3,17.6,0.385,0.067,0.0,68
17,2026-05-09T10:00,2026-05-09T12:00,3,2,0.4,0.7,1.2,0.901,0.667,0.0,4
18,2026-05-09T17:00,2026-05-10T02:00,10,8,1.35,5.8,13.5,1.356,0.718,0.0,4
19,2026-05-10T07:00,2026-05-10T09:00,3,3,2.767,7.0,8.3,1.331,0.995,0.0,168
20,2026-05-17T10:00,2026-05-17T12:00,3,2,0.4,0.7,1.2,0.661,0.0,0.0,14
21,2026-05-18T03:00,2026-05-18T10:00,8,8,0.738,1.2,5.9,0.491,0.016,0.0009,5
22,2026-05-18T16:00,2026-05-18T20:00,5,5,0.5,0.8,2.5,0.346,0.0,0.0,4
23,2026-05-19T01:00,2026-05-19T01:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,85
24,2026-05-22T15:00,2026-05-22T21:00,7,6,0.786,1.8,5.5,0.886,0.429,0.004,61
25,2026-05-25T11:00,2026-05-25T12:00,2,2,1.05,1.6,2.1,0.741,0.031,0.0083,30
26,2026-05-26T19:00,2026-05-26T19:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,5
27,2026-05-27T01:00,2026-05-27T04:00,4,3,0.55,1.3,2.2,0.921,0.367,0.0,107
28,2026-05-31T16:00,2026-05-31T18:00,3,3,2.433,3.8,7.3,0.497,0.847,0.091,38
29,2026-06-02T09:00,2026-06-02T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,8
30,2026-06-02T18:00,2026-06-02T19:00,2,2,0.55,0.6,1.1,0.129,0.5,0.0,7
31,2026-06-03T03:00,2026-06-03T11:00,9,8,0.956,2.0,8.6,0.742,0.468,0.0405,7
32,2026-06-03T19:00,2026-06-04T04:00,10,10,1.14,1.9,11.4,0.42,0.01,0.0075,51
33,2026-06-06T08:00,2026-06-07T07:00,24,22,0.75,2.3,18.0,0.665,0.216,0.013,24
