event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T07:00,2026-01-18T10:00,4,4,0.375,0.5,1.5,0.255,0.0,0.0,2
1,2026-01-18T13:00,2026-01-18T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
2,2026-01-18T18:00,2026-01-18T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,20
3,2026-01-19T15:00,2026-01-19T20:00,6,6,0.0,0.0,0.0,0.0,0.0,0.0,136
4,2026-01-25T13:00,2026-01-25T14:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,93
5,2026-01-29T12:00,2026-01-29T19:00,8,8,0.787,1.4,6.3,0.57,0.0,0.0,9
6,2026-01-30T05:00,2026-01-30T06:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,393
7,2026-02-15T16:00,2026-02-15T17:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,182
8,2026-02-23T08:00,2026-02-23T15:00,8,8,1.35,2.3,10.8,0.451,0.152,0.0016,48
9,2026-02-25T16:00,2026-02-25T20:00,5,5,1.62,3.3,8.1,0.681,0.546,0.0008,67
10,2026-02-28T16:00,2026-02-28T17:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,4
11,2026-02-28T22:00,2026-03-01T00:00,3,3,0.8,1.6,2.4,0.866,0.167,0.0,3
12,2026-03-01T04:00,2026-03-01T17:00,14,14,0.914,1.6,12.8,0.476,0.0,0.0008,222
13,2026-03-11T00:00,2026-03-11T01:00,2,2,1.2,2.0,2.4,0.943,1.0,0.0138,2
14,2026-03-11T04:00,2026-03-11T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,81
15,2026-03-14T14:00,2026-03-14T19:00,6,6,0.467,0.6,2.8,0.221,0.0,0.0,12
16,2026-03-15T08:00,2026-03-15T19:00,12,12,0.45,0.6,5.4,0.259,0.0,0.0,32
17,2026-03-17T04:00,2026-03-17T11:00,8,8,1.812,3.6,14.5,0.709,0.17,0.0033,219
18,2026-03-26T15:00,2026-03-26T17:00,3,3,0.467,0.8,1.4,0.619,1.0,0.0,73
19,2026-03-29T19:00,2026-03-30T07:00,13,13,1.508,3.2,19.6,0.536,0.141,0.0138,41
20,2026-04-01T01:00,2026-04-01T01:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,41
21,2026-04-02T19:00,2026-04-02T19:00,1,1,0.8,0.8,0.8,0.0,0.0,0.0,129
22,2026-04-08T05:00,2026-04-08T11:00,7,7,3.457,7.2,24.2,0.823,0.892,0.525,7
23,2026-04-08T19:00,2026-04-08T19:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,115
24,2026-04-13T15:00,2026-04-13T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,144
25,2026-04-19T16:00,2026-04-19T18:00,3,3,0.767,1.3,2.3,0.657,0.438,0.009,23
26,2026-04-20T18:00,2026-04-20T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
27,2026-04-20T21:00,2026-04-20T21:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,13
28,2026-04-21T11:00,2026-04-21T18:00,8,8,1.137,2.4,9.1,0.6,0.277,0.0008,129
29,2026-04-27T04:00,2026-04-27T08:00,5,5,1.34,4.1,6.7,1.158,0.378,0.5657,17
30,2026-04-28T02:00,2026-04-28T03:00,2,2,0.6,0.6,1.2,0.0,0.0,0.0,88
31,2026-05-01T20:00,2026-05-01T22:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,4
32,2026-05-02T03:00,2026-05-02T07:00,5,5,1.08,1.5,5.4,0.355,0.0,0.0013,14
33,2026-05-02T22:00,2026-05-02T22:00,1,1,1.6,1.6,1.6,0.0,0.938,0.0008,94
34,2026-05-06T21:00,2026-05-06T22:00,2,2,0.65,0.9,1.3,0.544,0.875,0.0,109
35,2026-05-11T12:00,2026-05-11T12:00,1,1,4.3,4.3,4.3,0.0,0.93,0.5569,2
36,2026-05-11T15:00,2026-05-11T15:00,1,1,2.1,2.1,2.1,0.0,0.952,0.1238,53
37,2026-05-13T21:00,2026-05-13T21:00,1,1,2.6,2.6,2.6,0.0,0.5,0.062,13
38,2026-05-14T11:00,2026-05-14T11:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,43
39,2026-05-16T07:00,2026-05-16T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,26
40,2026-05-17T10:00,2026-05-17T12:00,3,2,0.4,0.8,1.2,1.0,0.625,0.0,3
41,2026-05-17T16:00,2026-05-18T00:00,9,9,1.289,2.1,11.6,0.381,0.244,0.0124,2
42,2026-05-18T03:00,2026-05-18T16:00,14,14,1.957,5.2,27.4,0.782,0.441,0.1124,2
43,2026-05-18T19:00,2026-05-18T21:00,3,3,0.5,0.8,1.5,0.529,0.125,0.0,9
44,2026-05-19T07:00,2026-05-19T23:00,17,17,1.312,3.5,22.3,0.756,0.083,0.0125,49
45,2026-05-22T01:00,2026-05-22T02:00,2,2,2.35,2.8,4.7,0.271,0.375,0.027,5
46,2026-05-22T08:00,2026-05-22T10:00,3,2,0.933,2.3,2.8,1.269,0.524,0.1105,31
47,2026-05-23T18:00,2026-05-23T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
48,2026-05-23T21:00,2026-05-23T23:00,3,3,1.033,1.7,3.1,0.591,0.383,0.0639,5
49,2026-05-24T05:00,2026-05-24T05:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,7
50,2026-05-24T13:00,2026-05-24T13:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,6
51,2026-05-24T20:00,2026-05-25T11:00,16,14,3.163,12.6,50.6,1.314,0.425,0.46,187
52,2026-06-02T07:00,2026-06-02T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,41
53,2026-06-04T01:00,2026-06-04T01:00,1,1,1.2,1.2,1.2,0.0,0.667,0.0087,57
54,2026-06-06T11:00,2026-06-06T12:00,2,2,2.9,3.7,5.8,0.39,0.27,0.135,6
55,2026-06-06T19:00,2026-06-06T21:00,3,3,0.867,1.4,2.6,0.533,0.682,0.0,2
56,2026-06-07T00:00,2026-06-07T02:00,3,3,0.733,1.0,2.2,0.315,0.311,0.0,10
57,2026-06-07T13:00,2026-06-07T14:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,3
58,2026-06-07T18:00,2026-06-07T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,204
59,2026-06-16T07:00,2026-06-16T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,41
60,2026-06-18T01:00,2026-06-18T02:00,2,2,1.25,1.8,2.5,0.622,0.0,0.046,4
61,2026-06-18T07:00,2026-06-18T07:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,6
62,2026-06-18T14:00,2026-06-19T08:00,19,18,3.058,21.3,58.1,1.546,0.129,0.096,4
63,2026-06-19T13:00,2026-06-19T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,40
64,2026-06-21T06:00,2026-06-21T14:00,9,9,0.811,2.4,7.3,0.875,0.308,0.0525,4
65,2026-06-21T19:00,2026-06-21T22:00,4,4,1.275,2.1,5.1,0.703,0.348,0.0,4
66,2026-06-22T03:00,2026-06-22T04:00,2,2,0.7,0.8,1.4,0.202,0.0,0.0,2
67,2026-06-22T07:00,2026-06-22T07:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,3
68,2026-06-22T11:00,2026-06-22T14:00,4,4,0.4,0.5,1.6,0.289,0.267,0.0,33
69,2026-06-24T00:00,2026-06-24T00:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,207
70,2026-07-02T16:00,2026-07-03T05:00,14,14,1.171,3.2,16.4,0.692,0.378,0.3877,48
71,2026-07-05T06:00,2026-07-05T06:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,32
72,2026-07-06T15:00,2026-07-07T00:00,10,10,2.59,7.7,25.9,0.858,0.391,0.6704,3
73,2026-07-07T04:00,2026-07-07T04:00,1,1,1.0,1.0,1.0,0.0,0.2,0.0,6
74,2026-07-07T11:00,2026-07-07T12:00,2,2,0.6,0.9,1.2,0.707,0.167,0.0,14
75,2026-07-08T03:00,2026-07-08T05:00,3,3,0.333,0.4,1.0,0.173,0.5,0.0,25
76,2026-07-09T07:00,2026-07-09T07:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,67
77,2026-07-12T03:00,2026-07-12T03:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,3
78,2026-07-12T07:00,2026-07-12T07:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,5
79,2026-07-12T13:00,2026-07-13T01:00,13,12,0.785,1.6,10.2,0.507,0.283,0.03,6
80,2026-07-13T08:00,2026-07-13T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,69
81,2026-07-16T06:00,2026-07-16T11:00,6,4,0.367,0.8,2.2,0.784,0.188,0.0,17
82,2026-07-17T05:00,2026-07-17T09:00,5,5,1.38,3.6,6.9,0.909,0.673,0.65,3
83,2026-07-17T13:00,2026-07-17T14:00,2,2,0.9,1.1,1.8,0.314,0.409,0.0086,107
84,2026-07-22T02:00,2026-07-22T05:00,4,3,0.325,0.4,1.3,0.295,0.333,0.0,18
85,2026-07-23T00:00,2026-07-23T00:00,1,1,1.2,1.2,1.2,0.0,0.75,0.0365,9
86,2026-07-23T10:00,2026-07-23T10:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,3
87,2026-07-23T14:00,2026-07-23T15:00,2,2,0.55,0.6,1.1,0.129,0.5,0.0,2
88,2026-07-23T18:00,2026-07-23T18:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,9
89,2026-07-24T04:00,2026-07-24T05:00,2,2,0.8,1.2,1.6,0.707,0.584,0.05,3
90,2026-07-24T09:00,2026-07-24T09:00,1,1,1.2,1.2,1.2,0.0,0.583,0.05,13
91,2026-07-24T23:00,2026-07-25T01:00,3,2,1.167,1.9,3.5,0.749,0.193,0.1496,28
92,2026-07-26T06:00,2026-07-26T07:00,2,2,0.4,0.5,0.8,0.354,0.467,0.0,5
