event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-21T14:00,2026-01-21T14:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,101
1,2026-01-25T20:00,2026-01-25T22:00,3,2,0.267,0.4,0.8,0.573,0.0,0.0,89
2,2026-01-29T16:00,2026-01-29T19:00,4,3,0.425,0.9,1.7,0.801,0.0,0.0,18
3,2026-01-30T14:00,2026-01-30T15:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,8
4,2026-01-31T00:00,2026-01-31T00:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,6
5,2026-01-31T07:00,2026-01-31T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,155
6,2026-02-06T19:00,2026-02-06T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,104
7,2026-02-11T04:00,2026-02-11T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,309
8,2026-02-24T02:00,2026-02-24T06:00,5,5,1.32,2.4,6.6,0.674,0.092,0.0028,54
9,2026-02-26T13:00,2026-02-26T14:00,2,2,0.5,0.7,1.0,0.566,0.0,0.0,4
10,2026-02-26T19:00,2026-02-26T23:00,5,5,0.9,1.3,4.5,0.393,0.015,0.0,13
11,2026-02-27T13:00,2026-02-27T14:00,2,2,0.45,0.6,0.9,0.471,0.5,0.0,15
12,2026-02-28T06:00,2026-02-28T06:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,2
13,2026-02-28T09:00,2026-02-28T10:00,2,2,0.55,0.8,1.1,0.643,0.0,0.0,5
14,2026-02-28T16:00,2026-02-28T21:00,6,5,0.483,0.7,2.9,0.402,0.0,0.0,2
15,2026-03-01T00:00,2026-03-01T00:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,3
16,2026-03-01T04:00,2026-03-01T07:00,4,3,1.1,2.3,4.4,0.796,0.176,0.0,4
17,2026-03-01T12:00,2026-03-01T12:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,12
18,2026-03-02T01:00,2026-03-02T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,14
19,2026-03-02T16:00,2026-03-02T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
20,2026-03-02T21:00,2026-03-02T23:00,3,3,0.467,0.6,1.4,0.247,0.222,0.0,37
21,2026-03-04T13:00,2026-03-04T13:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,10
22,2026-03-05T00:00,2026-03-05T01:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,10
23,2026-03-05T12:00,2026-03-05T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,317
24,2026-03-18T18:00,2026-03-18T19:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,46
25,2026-03-20T18:00,2026-03-20T20:00,3,3,0.7,1.0,2.1,0.378,0.2,0.0,39
26,2026-03-22T12:00,2026-03-22T12:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,25
27,2026-03-23T14:00,2026-03-23T14:00,1,1,2.6,2.6,2.6,0.0,1.0,0.0,20
28,2026-03-24T11:00,2026-03-24T12:00,2,2,3.05,5.8,6.1,1.275,0.328,0.015,40
29,2026-03-26T05:00,2026-03-26T07:00,3,3,2.533,4.2,7.6,0.794,0.432,0.0,33
30,2026-03-27T17:00,2026-03-27T18:00,2,2,1.0,1.6,2.0,0.849,0.406,0.0,21
31,2026-03-28T16:00,2026-03-28T19:00,4,3,0.525,1.1,2.1,0.799,0.397,0.0003,20
32,2026-03-29T16:00,2026-03-29T18:00,3,3,2.167,5.0,6.5,1.138,0.627,0.125,12
33,2026-03-30T07:00,2026-03-30T09:00,3,2,0.567,1.0,1.7,0.796,0.633,0.0,23
34,2026-03-31T09:00,2026-03-31T16:00,8,8,1.55,4.1,12.4,0.807,0.239,0.0232,41
35,2026-04-02T10:00,2026-04-02T13:00,4,4,3.025,5.7,12.1,0.762,0.461,0.005,2
36,2026-04-02T16:00,2026-04-03T01:00,10,9,1.93,5.2,19.3,0.708,0.652,0.075,4
37,2026-04-03T06:00,2026-04-03T12:00,7,6,3.143,6.5,22.0,0.774,0.137,0.1064,52
38,2026-04-05T17:00,2026-04-05T21:00,5,5,2.16,3.0,10.8,0.279,0.295,0.03,7
39,2026-04-06T05:00,2026-04-06T17:00,13,13,3.185,10.5,41.4,0.963,0.702,0.3461,4
40,2026-04-06T22:00,2026-04-07T05:00,8,7,1.062,3.4,8.5,0.988,0.375,0.0008,120
41,2026-04-12T06:00,2026-04-12T06:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
42,2026-04-12T09:00,2026-04-12T09:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,43
43,2026-04-14T05:00,2026-04-14T10:00,6,5,2.933,5.9,17.6,0.859,0.631,0.56,21
44,2026-04-15T08:00,2026-04-15T09:00,2,2,6.15,6.3,12.3,0.034,0.959,0.185,3
45,2026-04-15T13:00,2026-04-15T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,11
46,2026-04-16T01:00,2026-04-16T03:00,3,3,13.2,22.6,39.6,0.859,1.0,0.0,21
47,2026-04-17T01:00,2026-04-17T01:00,1,1,6.9,6.9,6.9,0.0,1.0,0.155,5
48,2026-04-17T07:00,2026-04-17T09:00,3,3,0.5,0.6,1.5,0.2,0.122,0.0,3
49,2026-04-17T13:00,2026-04-17T18:00,6,5,1.1,4.4,6.6,1.475,0.353,0.0,3
50,2026-04-17T22:00,2026-04-18T00:00,3,3,1.667,2.3,5.0,0.426,0.254,0.0016,79
51,2026-04-21T08:00,2026-04-21T08:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,3
52,2026-04-21T12:00,2026-04-21T13:00,2,2,2.05,3.8,4.1,1.207,0.487,0.0035,19
53,2026-04-22T09:00,2026-04-22T11:00,3,2,1.0,2.1,3.0,1.054,0.63,0.0894,21
54,2026-04-23T09:00,2026-04-23T13:00,5,5,1.32,2.4,6.6,0.542,0.501,0.0158,4
55,2026-04-23T18:00,2026-04-23T18:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,19
56,2026-04-24T14:00,2026-04-24T14:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,107
57,2026-04-29T02:00,2026-04-29T06:00,5,5,1.1,1.4,5.5,0.203,0.354,0.0075,3
58,2026-04-29T10:00,2026-04-29T16:00,7,7,1.429,4.2,10.0,1.04,0.025,0.016,7
59,2026-04-30T00:00,2026-04-30T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,75
60,2026-05-03T04:00,2026-05-03T06:00,3,3,1.033,1.8,3.1,0.687,0.278,0.072,4
61,2026-05-03T11:00,2026-05-03T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
62,2026-05-03T19:00,2026-05-04T01:00,7,7,1.057,1.7,7.4,0.494,0.255,0.0044,27
63,2026-05-05T05:00,2026-05-05T10:00,6,5,0.517,1.0,3.1,0.566,0.15,0.0,55
64,2026-05-07T18:00,2026-05-08T03:00,10,10,0.71,1.9,7.1,0.698,0.281,0.0045,14
65,2026-05-08T18:00,2026-05-08T18:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,13
66,2026-05-09T08:00,2026-05-09T14:00,7,6,0.971,2.4,6.8,0.909,0.562,0.0,29
67,2026-05-10T20:00,2026-05-10T22:00,3,3,0.333,0.4,1.0,0.173,0.111,0.0,50
68,2026-05-13T01:00,2026-05-14T02:00,26,26,2.254,5.1,58.6,0.544,0.207,0.042,148
69,2026-05-20T07:00,2026-05-20T09:00,3,3,1.233,2.0,3.7,0.699,0.506,0.1113,13
70,2026-05-20T23:00,2026-05-21T00:00,2,2,0.65,0.8,1.3,0.326,0.062,0.0,4
71,2026-05-21T05:00,2026-05-21T05:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,2
