time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2026-01-14T00:00,0.0,0.0,0.0,0.0,-11.5,0.11,1.3,117,34,67200.0,0,0.094,0.0,10.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T01:00,0.0,0.0,0.0,0.0,-12.3,0.32,1.3,39,28,67200.0,0,0.094,0.0,20.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T02:00,0.0,0.0,0.0,0.0,-12.9,0.36,1.2,34,34,66780.0,1,0.094,0.0,15.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T03:00,0.0,0.0,0.0,0.0,-9.8,1.19,2.1,28,35,67220.0,1,0.094,0.0,30.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T04:00,0.0,0.0,0.0,0.0,-6.1,0.4,3.0,30,38,67220.0,1,0.094,0.0,215.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T05:00,0.0,0.0,0.0,0.0,-3.8,0.95,4.0,267,39,67220.0,1,0.094,0.0,565.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T06:00,0.0,0.0,0.0,0.0,-2.5,2.47,6.1,262,23,67800.0,1,0.094,0.0,1400.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T07:00,0.0,0.0,0.0,0.0,-1.1,3.95,8.8,257,28,67800.0,1,0.094,0.0,3275.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T08:00,0.0,0.0,0.0,0.0,-0.8,5.63,12.0,264,0,67800.0,1,0.094,0.0,3220.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T09:00,0.0,0.0,0.0,0.0,-0.3,5.88,12.2,258,46,67800.0,1,0.094,0.0,3705.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T10:00,0.0,0.0,0.0,0.0,-0.9,5.96,12.2,262,30,67800.0,1,0.094,0.0,3620.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T11:00,0.0,0.0,0.0,0.0,-1.9,5.21,12.0,267,75,67800.0,1,0.094,0.0,3405.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T12:00,0.0,0.0,0.0,0.0,-4.3,3.0,10.4,288,15,67800.0,0,0.094,0.0,715.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T13:00,0.0,0.0,0.0,0.0,-5.7,2.67,7.6,278,1,67220.0,0,0.094,0.0,630.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T14:00,0.0,0.0,0.0,0.0,-7.0,2.07,7.0,250,0,67220.0,0,0.094,0.0,475.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T15:00,0.0,0.0,0.0,0.0,-7.7,1.72,5.6,244,0,67220.0,0,0.094,0.0,450.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T16:00,0.0,0.0,0.0,0.0,-7.9,0.89,5.1,254,0,67220.0,0,0.094,0.0,285.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T17:00,0.0,0.0,0.0,0.0,-8.4,0.35,3.6,315,0,67220.0,0,0.094,0.0,25.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T18:00,0.0,0.0,0.0,0.0,-9.3,0.36,2.4,254,0,67220.0,0,0.094,0.0,15.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T19:00,0.0,0.0,0.0,0.0,-10.4,0.2,2.3,180,0,67220.0,0,0.094,0.0,10.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T20:00,0.0,0.0,0.0,0.0,-10.9,0.16,1.8,108,0,67240.0,0,0.094,0.0,10.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T21:00,0.0,0.0,0.0,0.0,-11.4,0.07,1.7,45,0,67240.0,0,0.094,0.0,10.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T22:00,0.0,0.0,0.0,0.0,-12.6,0.05,1.6,360,0,66820.0,0,0.094,0.0,10.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T23:00,0.0,0.0,0.0,0.0,-14.3,0.21,1.8,14,0,66820.0,0,0.094,0.0,10.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T00:00,0.0,0.0,0.0,0.0,-14.3,0.05,1.8,360,0,66820.0,0,0.094,0.0,10.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T01:00,0.0,0.0,0.0,0.0,-15.8,0.4,1.8,30,0,66240.0,0,0.094,0.0,10.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T02:00,0.0,0.0,0.0,0.0,-16.5,0.54,1.9,34,0,66240.0,1,0.094,0.0,15.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T03:00,0.0,0.0,0.0,0.0,-12.0,1.28,3.0,51,0,66820.0,1,0.094,0.0,20.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T04:00,0.0,0.0,0.0,0.0,-6.6,0.69,3.3,60,0,67240.0,1,0.094,0.0,200.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T05:00,0.0,0.0,0.0,0.0,-4.3,0.63,3.7,241,2,67240.0,1,0.094,0.0,560.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T06:00,0.0,0.0,0.0,0.0,-3.1,2.81,6.2,258,0,67240.0,1,0.094,0.0,1150.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T07:00,0.0,0.0,0.0,0.0,-1.3,3.74,8.6,254,0,67820.0,1,0.094,0.0,2370.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T08:00,0.0,0.0,0.0,0.0,-0.7,4.43,9.9,259,0,67240.0,1,0.094,0.0,2625.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.5,4.66,9.8,267,30,67820.0,1,0.094,0.0,4120.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.3,6.54,13.2,256,88,67240.0,1,0.094,20.0,4365.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T11:00,0.0,0.0,0.0,0.0,-0.9,5.95,13.2,272,100,67240.0,1,0.094,10.0,3080.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T12:00,0.0,0.0,0.0,0.0,-2.5,3.24,11.8,261,60,67240.0,0,0.094,10.0,1290.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
