event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T18:00,2026-01-18T20:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,7
1,2026-01-19T04:00,2026-01-19T13:00,10,10,0.69,1.1,6.9,0.401,0.0,0.0,9
2,2026-01-19T23:00,2026-01-20T03:00,5,5,0.36,0.5,1.8,0.248,0.0,0.0,2
3,2026-01-20T06:00,2026-01-20T07:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,2
4,2026-01-20T10:00,2026-01-20T15:00,6,5,0.317,0.4,1.9,0.238,0.0,0.0,8
5,2026-01-21T00:00,2026-01-21T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
6,2026-01-21T06:00,2026-01-21T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,186
7,2026-01-29T01:00,2026-01-29T02:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,41
8,2026-01-30T20:00,2026-01-30T20:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,147
9,2026-02-06T00:00,2026-02-06T00:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,17
10,2026-02-06T18:00,2026-02-06T18:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,5
11,2026-02-07T00:00,2026-02-07T01:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,2
12,2026-02-07T04:00,2026-02-07T12:00,9,8,0.4,0.7,3.6,0.433,0.0,0.0,133
13,2026-02-13T02:00,2026-02-13T02:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,39
14,2026-02-14T18:00,2026-02-14T18:00,1,1,1.1,1.1,1.1,0.0,1.0,0.0078,3
15,2026-02-14T22:00,2026-02-14T22:00,1,1,0.9,0.9,0.9,0.0,0.0,0.0,70
16,2026-02-17T21:00,2026-02-17T21:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,118
17,2026-02-22T20:00,2026-02-22T23:00,4,3,1.3,2.1,5.2,0.713,0.719,0.0014,4
18,2026-02-23T04:00,2026-02-23T09:00,6,6,3.683,10.7,22.1,1.126,0.827,0.095,38
19,2026-02-25T00:00,2026-02-25T00:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,2
20,2026-02-25T03:00,2026-02-25T03:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,22
21,2026-02-26T02:00,2026-02-26T03:00,2,2,0.7,1.0,1.4,0.606,1.0,0.0,38
22,2026-02-27T18:00,2026-02-27T18:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,72
23,2026-03-02T19:00,2026-03-02T19:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,5
24,2026-03-03T01:00,2026-03-03T01:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,44
25,2026-03-04T22:00,2026-03-05T00:00,3,2,0.333,0.5,1.0,0.458,0.0,0.0,17
26,2026-03-05T18:00,2026-03-05T19:00,2,2,0.4,0.4,0.8,0.0,1.0,0.0,28
27,2026-03-07T00:00,2026-03-07T07:00,8,7,0.725,2.7,5.8,1.186,0.346,0.0,26
28,2026-03-08T10:00,2026-03-08T14:00,5,5,0.58,0.8,2.9,0.308,0.191,0.0,2
29,2026-03-08T17:00,2026-03-08T21:00,5,5,0.62,1.0,3.1,0.575,0.0,0.0,119
30,2026-03-13T21:00,2026-03-14T17:00,21,21,0.852,1.4,17.9,0.401,0.026,0.0004,6
31,2026-03-15T00:00,2026-03-15T06:00,7,7,0.443,0.6,3.1,0.287,0.0,0.0,13
32,2026-03-15T20:00,2026-03-16T00:00,5,5,0.92,1.4,4.6,0.444,0.1,0.0,15
