event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T07:00,2026-01-18T15:00,9,8,0.4,0.7,3.6,0.415,0.0,0.0,2
1,2026-01-18T18:00,2026-01-19T00:00,7,6,0.3,0.4,2.1,0.192,0.0,0.0,238
2,2026-01-28T23:00,2026-01-29T02:00,4,4,0.4,0.5,1.6,0.204,0.0,0.0,183
3,2026-02-05T18:00,2026-02-05T18:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,2
4,2026-02-05T21:00,2026-02-05T21:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,21
5,2026-02-06T19:00,2026-02-06T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,37
6,2026-02-08T09:00,2026-02-08T18:00,10,10,0.65,0.9,6.5,0.326,0.0,0.0,145
7,2026-02-14T20:00,2026-02-14T21:00,2,2,0.45,0.5,0.9,0.157,1.0,0.0,5
8,2026-02-15T03:00,2026-02-15T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,184
9,2026-02-22T20:00,2026-02-23T00:00,5,5,1.4,3.2,7.0,0.754,0.382,0.0083,109
10,2026-02-27T14:00,2026-02-27T16:00,3,2,0.2,0.3,0.6,0.866,0.0,0.0,3
11,2026-02-27T20:00,2026-02-27T20:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,8
12,2026-02-28T05:00,2026-02-28T09:00,5,4,0.54,0.9,2.7,0.623,0.422,0.0,3
13,2026-02-28T13:00,2026-02-28T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,4
14,2026-02-28T18:00,2026-02-28T21:00,4,4,0.875,1.5,3.5,0.531,0.0,0.0,78
15,2026-03-04T04:00,2026-03-04T04:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,39
16,2026-03-05T20:00,2026-03-06T03:00,8,6,0.35,0.5,2.8,0.432,0.938,0.0,20
17,2026-03-07T00:00,2026-03-07T03:00,4,3,0.35,0.4,1.4,0.286,0.0,0.0,22
18,2026-03-08T02:00,2026-03-08T02:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,5
19,2026-03-08T08:00,2026-03-08T10:00,3,3,0.633,1.1,1.9,0.657,0.77,0.0,84
20,2026-03-11T23:00,2026-03-12T05:00,7,7,0.514,0.8,3.6,0.469,0.0,0.0,11
21,2026-03-12T17:00,2026-03-12T22:00,6,6,0.483,0.6,2.9,0.156,0.0,0.0,2
22,2026-03-13T01:00,2026-03-13T04:00,4,4,0.45,0.7,1.8,0.426,0.0,0.0,4
23,2026-03-13T09:00,2026-03-14T08:00,24,24,1.158,2.1,27.8,0.437,0.0,0.0,56
24,2026-03-16T17:00,2026-03-16T22:00,6,5,0.367,0.5,2.2,0.33,0.0,0.0,3
25,2026-03-17T02:00,2026-03-17T02:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,230
26,2026-03-26T17:00,2026-03-26T17:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,52
27,2026-03-28T22:00,2026-03-29T00:00,3,3,0.733,0.9,2.2,0.208,0.27,0.0,4
28,2026-03-29T05:00,2026-03-29T15:00,11,10,1.264,2.8,13.9,0.661,0.19,0.0035,81
29,2026-04-02T01:00,2026-04-02T01:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,113
30,2026-04-06T19:00,2026-04-06T20:00,2,2,0.55,0.6,1.1,0.129,0.0,0.0,15
31,2026-04-07T12:00,2026-04-07T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
32,2026-04-07T15:00,2026-04-08T02:00,12,12,1.083,2.3,13.0,0.621,0.0,0.0156,55
33,2026-04-10T10:00,2026-04-10T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,106
34,2026-04-14T21:00,2026-04-14T21:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,100
35,2026-04-19T02:00,2026-04-19T05:00,4,4,0.475,0.8,1.9,0.467,0.188,0.0,7
36,2026-04-19T13:00,2026-04-19T13:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,24
37,2026-04-20T14:00,2026-04-21T02:00,13,13,1.554,2.5,20.2,0.442,0.086,0.002,124
38,2026-04-26T07:00,2026-04-26T10:00,4,4,0.825,1.2,3.3,0.424,0.875,0.0072,12
39,2026-04-26T23:00,2026-04-27T00:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,17
40,2026-04-27T18:00,2026-04-28T04:00,11,11,0.845,1.8,9.3,0.602,0.0,0.0,61
41,2026-04-30T18:00,2026-04-30T20:00,3,3,0.633,0.8,1.9,0.329,0.208,0.0,2
42,2026-04-30T23:00,2026-05-01T01:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,15
43,2026-05-01T17:00,2026-05-01T22:00,6,6,1.033,1.3,6.2,0.285,0.0,0.0007,97
44,2026-05-06T00:00,2026-05-06T01:00,2,2,0.55,0.8,1.1,0.643,0.709,0.0,144
45,2026-05-12T02:00,2026-05-12T05:00,4,4,0.5,0.6,2.0,0.283,0.083,0.0,65
46,2026-05-14T23:00,2026-05-15T09:00,11,10,1.873,4.7,20.6,0.776,0.249,0.0046,2
47,2026-05-15T12:00,2026-05-15T19:00,8,8,0.787,1.8,6.3,0.613,0.178,0.0003,12
48,2026-05-16T08:00,2026-05-16T09:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,2
49,2026-05-16T12:00,2026-05-17T04:00,17,15,1.335,5.3,22.7,0.975,0.374,0.015,94
50,2026-05-21T03:00,2026-05-21T18:00,16,15,3.294,9.6,52.7,1.046,0.419,0.345,26
51,2026-05-22T21:00,2026-05-23T01:00,5,5,0.98,2.6,4.9,0.977,0.57,0.016,2
52,2026-05-23T04:00,2026-05-23T06:00,3,3,1.733,2.9,5.2,0.638,0.609,0.2684,3
53,2026-05-23T10:00,2026-05-23T12:00,3,3,0.567,1.1,1.7,0.815,0.061,0.0178,3
54,2026-05-23T16:00,2026-05-23T19:00,4,4,0.5,0.6,2.0,0.231,0.562,0.0,4
55,2026-05-24T00:00,2026-05-24T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
56,2026-05-24T04:00,2026-05-24T04:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,2
57,2026-05-24T07:00,2026-05-24T07:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,3
58,2026-05-24T11:00,2026-05-24T16:00,6,6,3.283,6.6,19.7,0.566,0.618,0.3185,66
59,2026-05-27T11:00,2026-05-27T12:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,33
60,2026-05-28T22:00,2026-05-28T23:00,2,2,0.65,0.8,1.3,0.326,0.0,0.0,165
61,2026-06-04T21:00,2026-06-04T22:00,2,2,1.75,1.9,3.5,0.121,0.842,0.1834,50
62,2026-06-07T01:00,2026-06-07T07:00,7,7,0.871,1.5,6.1,0.516,0.0,0.0006,232
63,2026-06-17T00:00,2026-06-17T07:00,8,6,0.412,0.9,3.3,0.586,0.028,0.0,11
64,2026-06-17T19:00,2026-06-17T21:00,3,3,0.4,0.6,1.2,0.433,0.111,0.0,44
65,2026-06-19T18:00,2026-06-19T21:00,4,4,0.75,1.1,3.0,0.468,0.0,0.0196,3
66,2026-06-20T01:00,2026-06-20T04:00,4,4,0.55,0.7,2.2,0.315,0.0,0.0,15
67,2026-06-20T20:00,2026-06-21T11:00,16,16,1.288,2.6,20.6,0.548,0.161,0.0123,16
68,2026-06-22T04:00,2026-06-22T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,46
69,2026-06-24T03:00,2026-06-24T04:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,16
