event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-30T19:00,2026-01-31T01:00,7,7,0.743,1.2,5.2,0.478,0.0,0.0007,259
1,2026-02-10T21:00,2026-02-10T21:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,305
2,2026-02-23T15:00,2026-02-23T15:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,64
3,2026-02-26T08:00,2026-02-26T08:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,20
4,2026-02-27T05:00,2026-02-27T05:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
5,2026-02-27T09:00,2026-02-27T12:00,4,3,0.625,0.9,2.5,0.495,0.236,0.0,4
6,2026-02-27T17:00,2026-02-28T10:00,18,17,1.906,7.9,34.3,1.288,0.456,0.07,35
7,2026-03-01T22:00,2026-03-02T11:00,14,13,4.843,24.9,67.8,1.376,0.567,0.18,16
8,2026-03-03T04:00,2026-03-03T12:00,9,9,2.1,5.6,18.9,0.759,0.473,0.035,3
9,2026-03-03T16:00,2026-03-03T16:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,14
10,2026-03-04T07:00,2026-03-04T09:00,3,3,1.267,2.0,3.8,0.638,0.738,0.0,3
11,2026-03-04T13:00,2026-03-04T13:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,103
12,2026-03-08T21:00,2026-03-08T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,19
13,2026-03-09T17:00,2026-03-09T18:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,244
14,2026-03-19T23:00,2026-03-19T23:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,7
15,2026-03-20T07:00,2026-03-20T07:00,1,1,1.4,1.4,1.4,0.0,0.643,0.006,2
16,2026-03-20T10:00,2026-03-20T12:00,3,2,0.433,0.7,1.3,0.705,0.676,0.0,2
17,2026-03-20T15:00,2026-03-20T18:00,4,3,0.5,0.8,2.0,0.516,0.489,0.0,3
18,2026-03-20T22:00,2026-03-21T00:00,3,3,0.933,1.9,2.8,0.911,0.108,0.0045,4
19,2026-03-21T05:00,2026-03-21T05:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,3
20,2026-03-21T09:00,2026-03-21T10:00,2,2,0.75,1.2,1.5,0.849,0.583,0.0015,2
21,2026-03-21T13:00,2026-03-21T14:00,2,2,0.55,0.7,1.1,0.386,0.41,0.0,4
22,2026-03-21T19:00,2026-03-21T19:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,107
23,2026-03-26T07:00,2026-03-26T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,10
24,2026-03-26T18:00,2026-03-26T18:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
25,2026-03-26T21:00,2026-03-26T21:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,22
26,2026-03-27T20:00,2026-03-28T02:00,7,5,0.343,0.6,2.4,0.555,0.919,0.0,3
27,2026-03-28T06:00,2026-03-28T09:00,4,3,0.4,0.7,1.6,0.791,0.244,0.0,3
28,2026-03-28T13:00,2026-03-28T14:00,2,2,0.4,0.5,0.8,0.354,0.467,0.0,6
29,2026-03-28T21:00,2026-03-28T21:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,9
30,2026-03-29T07:00,2026-03-29T12:00,6,5,1.867,6.7,11.2,1.351,0.725,0.415,10
31,2026-03-29T23:00,2026-03-30T02:00,4,4,1.4,3.4,5.6,0.981,0.404,0.201,24
32,2026-03-31T03:00,2026-03-31T03:00,1,1,1.0,1.0,1.0,0.0,0.9,0.0,5
33,2026-03-31T09:00,2026-03-31T12:00,4,4,2.475,3.8,9.9,0.372,0.947,0.252,2
34,2026-03-31T15:00,2026-03-31T15:00,1,1,0.7,0.7,0.7,0.0,0.714,0.0,32
35,2026-04-02T00:00,2026-04-02T00:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
36,2026-04-02T03:00,2026-04-02T03:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,15
37,2026-04-02T19:00,2026-04-02T19:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,5
38,2026-04-03T01:00,2026-04-03T02:00,2,2,0.45,0.6,0.9,0.471,0.667,0.0,3
39,2026-04-03T06:00,2026-04-03T06:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,4
40,2026-04-03T11:00,2026-04-03T12:00,2,2,0.3,0.3,0.6,0.0,0.334,0.0,4
