event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-21T20:00,2026-01-21T20:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
1,2026-01-21T23:00,2026-01-22T00:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,2
2,2026-01-22T03:00,2026-01-22T04:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,10
3,2026-01-22T15:00,2026-01-22T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,55
4,2026-01-24T23:00,2026-01-24T23:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,243
5,2026-02-04T03:00,2026-02-04T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,24
6,2026-02-05T04:00,2026-02-05T04:00,1,1,0.9,0.9,0.9,0.0,0.778,0.0,61
7,2026-02-07T18:00,2026-02-07T20:00,3,3,0.867,1.5,2.6,0.635,0.067,0.0019,29
8,2026-02-09T02:00,2026-02-09T02:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,43
9,2026-02-10T22:00,2026-02-11T07:00,10,8,0.9,2.0,9.0,0.697,0.231,0.0013,122
10,2026-02-16T10:00,2026-02-16T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,160
11,2026-02-23T03:00,2026-02-23T03:00,1,1,4.8,4.8,4.8,0.0,1.0,0.0,4
12,2026-02-23T08:00,2026-02-23T10:00,3,3,0.867,1.2,2.6,0.333,0.028,0.0005,16
13,2026-02-24T03:00,2026-02-24T03:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,3
14,2026-02-24T07:00,2026-02-24T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
15,2026-02-24T13:00,2026-02-24T13:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
16,2026-02-24T16:00,2026-02-24T16:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,15
17,2026-02-25T08:00,2026-02-25T09:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,2
18,2026-02-25T12:00,2026-02-25T14:00,3,3,2.2,4.3,6.6,0.852,0.984,0.0053,10
19,2026-02-26T01:00,2026-02-26T02:00,2,2,0.5,0.7,1.0,0.566,0.0,0.0,2
20,2026-02-26T05:00,2026-02-26T11:00,7,6,0.829,2.6,5.8,1.004,0.367,0.046,21
21,2026-02-27T09:00,2026-02-27T11:00,3,2,0.333,0.7,1.0,1.054,0.667,0.0,5
22,2026-02-27T17:00,2026-02-27T19:00,3,3,1.333,1.6,4.0,0.229,0.868,0.0203,4
23,2026-02-28T00:00,2026-02-28T00:00,1,1,1.7,1.7,1.7,0.0,0.647,0.0289,6
24,2026-02-28T07:00,2026-02-28T14:00,8,6,0.487,1.1,3.9,0.689,0.351,0.0019,5
25,2026-02-28T20:00,2026-02-28T21:00,2,2,0.55,0.7,1.1,0.386,0.143,0.0,21
26,2026-03-01T19:00,2026-03-01T22:00,4,4,4.8,12.5,19.2,1.15,0.859,0.185,2
27,2026-03-02T01:00,2026-03-02T05:00,5,5,3.56,11.7,17.8,1.304,0.516,0.06,10
28,2026-03-02T16:00,2026-03-02T16:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,8
29,2026-03-03T01:00,2026-03-03T05:00,5,5,1.2,1.9,6.0,0.51,0.442,0.004,23
30,2026-03-04T05:00,2026-03-04T07:00,3,3,2.6,5.8,7.8,1.083,1.0,0.0,94
31,2026-03-08T06:00,2026-03-08T08:00,3,3,1.0,1.8,3.0,0.755,0.87,0.0,11
32,2026-03-08T20:00,2026-03-08T20:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,10
33,2026-03-09T07:00,2026-03-09T14:00,8,7,0.762,1.4,6.1,0.623,0.283,0.0,212
34,2026-03-18T11:00,2026-03-18T12:00,2,2,0.4,0.5,0.8,0.354,0.267,0.0,7
35,2026-03-18T20:00,2026-03-18T20:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,16
36,2026-03-19T13:00,2026-03-19T13:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,18
37,2026-03-20T08:00,2026-03-20T09:00,2,2,0.5,0.7,1.0,0.566,0.071,0.0,6
38,2026-03-20T16:00,2026-03-20T17:00,2,2,0.6,0.7,1.2,0.236,0.071,0.0,36
39,2026-03-22T06:00,2026-03-22T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,18
40,2026-03-23T01:00,2026-03-23T01:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,17
41,2026-03-23T19:00,2026-03-23T19:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,24
42,2026-03-24T20:00,2026-03-24T21:00,2,2,0.5,0.7,1.0,0.566,0.071,0.0,52
43,2026-03-27T02:00,2026-03-27T03:00,2,2,0.65,0.7,1.3,0.109,0.845,0.0,9
44,2026-03-27T13:00,2026-03-27T13:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,5
45,2026-03-27T19:00,2026-03-27T20:00,2,2,0.9,1.2,1.8,0.471,0.125,0.0195,4
46,2026-03-28T01:00,2026-03-28T02:00,2,2,0.6,0.7,1.2,0.236,0.2,0.0,22
47,2026-03-29T01:00,2026-03-29T03:00,3,3,0.767,1.2,2.3,0.527,0.647,0.0335,3
48,2026-03-29T07:00,2026-03-29T09:00,3,3,1.467,2.9,4.4,0.847,0.143,0.323,9
49,2026-03-29T19:00,2026-03-29T21:00,3,3,1.8,3.8,5.4,0.969,0.704,0.4375,22
50,2026-03-30T20:00,2026-03-30T22:00,3,2,0.267,0.4,0.8,0.573,0.583,0.0,3
51,2026-03-31T02:00,2026-03-31T06:00,5,5,2.6,6.1,13.0,0.933,0.814,0.565,41
52,2026-04-02T00:00,2026-04-02T02:00,3,3,8.867,13.3,26.6,0.837,0.613,0.35,8
53,2026-04-02T11:00,2026-04-02T12:00,2,2,0.5,0.7,1.0,0.566,1.0,0.0,17
54,2026-04-03T06:00,2026-04-03T06:00,1,1,0.9,0.9,0.9,0.0,0.778,0.0,2
55,2026-04-03T09:00,2026-04-03T09:00,1,1,0.8,0.8,0.8,0.0,0.75,0.0,16
56,2026-04-04T02:00,2026-04-04T02:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,16
57,2026-04-04T19:00,2026-04-04T19:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,84
58,2026-04-08T08:00,2026-04-08T08:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,166
59,2026-04-15T07:00,2026-04-15T07:00,1,1,1.2,1.2,1.2,0.0,0.833,0.0377,23
60,2026-04-16T07:00,2026-04-16T10:00,4,3,1.35,3.3,5.4,1.103,0.75,0.4054,7
61,2026-04-16T18:00,2026-04-16T19:00,2,2,2.9,5.5,5.8,1.268,0.491,0.805,2
62,2026-04-16T22:00,2026-04-17T05:00,8,7,4.213,18.1,33.7,1.412,0.169,0.16,51
63,2026-04-19T09:00,2026-04-19T09:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,16
64,2026-04-20T02:00,2026-04-20T05:00,4,4,0.6,1.2,2.4,0.68,0.679,0.0205,3
