event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-12T19:00,2025-10-12T22:00,4,4,1.85,3.0,7.4,0.583,0.609,0.0881,2
1,2025-10-13T01:00,2025-10-13T01:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,13
2,2025-10-13T15:00,2025-10-13T19:00,5,5,1.1,2.1,5.5,0.6,0.605,0.0454,9
3,2025-10-14T05:00,2025-10-14T05:00,1,1,0.6,0.6,0.6,0.0,0.5,0.0,17
4,2025-10-14T23:00,2025-10-15T08:00,10,10,1.45,5.6,14.5,1.224,0.591,0.225,2
5,2025-10-15T11:00,2025-10-15T11:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,19
6,2025-10-16T07:00,2025-10-16T07:00,1,1,0.7,0.7,0.7,0.0,0.429,0.0,27
7,2025-10-17T11:00,2025-10-18T00:00,14,11,0.864,3.6,12.1,1.244,0.37,0.0715,12
8,2025-10-18T13:00,2025-10-18T16:00,4,3,0.325,0.7,1.3,0.884,0.75,0.0,8
9,2025-10-19T01:00,2025-10-19T03:00,3,3,1.033,1.5,3.1,0.55,0.0,0.0013,246
10,2025-10-29T10:00,2025-10-29T22:00,13,11,0.638,1.6,8.3,0.733,0.0,0.0008,25
11,2025-10-31T00:00,2025-10-31T03:00,4,4,0.525,0.9,2.1,0.501,0.0,0.0,13
12,2025-10-31T17:00,2025-10-31T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,25
13,2025-11-01T19:00,2025-11-02T00:00,6,6,0.667,0.9,4.0,0.431,0.0,0.0,6
14,2025-11-02T07:00,2025-11-03T16:00,34,32,1.124,2.8,38.2,0.623,0.085,0.0035,2
15,2025-11-03T19:00,2025-11-03T21:00,3,3,0.367,0.5,1.1,0.315,0.0,0.0,82
16,2025-11-07T08:00,2025-11-07T10:00,3,3,0.567,0.8,1.7,0.444,0.264,0.0,4
17,2025-11-07T15:00,2025-11-07T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
18,2025-11-07T23:00,2025-11-08T02:00,4,4,1.325,4.2,5.3,1.448,0.197,0.016,6
19,2025-11-08T09:00,2025-11-08T10:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,5
20,2025-11-08T16:00,2025-11-08T23:00,8,8,1.1,2.0,8.8,0.558,0.08,0.0013,4
21,2025-11-09T04:00,2025-11-09T06:00,3,3,0.733,1.1,2.2,0.479,0.0,0.0003,7
22,2025-11-09T14:00,2025-11-09T23:00,10,9,0.73,1.4,7.3,0.592,0.329,0.0011,17
23,2025-11-10T17:00,2025-11-10T18:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,149
24,2025-11-17T00:00,2025-11-17T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,12
25,2025-11-17T13:00,2025-11-17T13:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,24
26,2025-11-18T14:00,2025-11-18T15:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,316
27,2025-12-01T20:00,2025-12-02T04:00,9,8,0.433,1.0,3.9,0.565,0.0,0.0,42
28,2025-12-03T23:00,2025-12-04T03:00,5,5,0.32,0.4,1.6,0.14,0.0,0.0,60
29,2025-12-06T16:00,2025-12-06T18:00,3,3,0.867,1.3,2.6,0.437,0.0,0.0004,76
30,2025-12-09T23:00,2025-12-10T01:00,3,3,0.967,2.0,2.9,0.927,0.017,0.0,62
31,2025-12-12T16:00,2025-12-12T18:00,3,3,0.8,1.6,2.4,0.875,0.0,0.0,10
32,2025-12-13T05:00,2025-12-13T06:00,2,2,0.3,0.3,0.6,0.0,0.333,0.0,72
33,2025-12-16T07:00,2025-12-16T08:00,2,2,0.4,0.5,0.8,0.354,0.9,0.0,85
34,2025-12-19T22:00,2025-12-20T00:00,3,3,2.0,4.6,6.0,1.136,0.0,0.0045,3
35,2025-12-20T04:00,2025-12-20T05:00,2,2,0.65,0.9,1.3,0.544,0.0,0.0,7
36,2025-12-20T13:00,2025-12-20T15:00,3,3,0.5,0.9,1.5,0.693,0.0,0.0,50
37,2025-12-22T18:00,2025-12-22T19:00,2,2,4.4,4.5,8.8,0.032,0.011,0.0044,19
38,2025-12-23T15:00,2025-12-23T15:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,8
39,2025-12-24T00:00,2025-12-24T00:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,3
40,2025-12-24T04:00,2025-12-24T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,10
41,2025-12-24T15:00,2025-12-24T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,70
42,2025-12-27T14:00,2025-12-27T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,60
43,2025-12-30T03:00,2025-12-30T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,7
44,2025-12-30T11:00,2025-12-30T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
45,2025-12-30T17:00,2025-12-31T01:00,9,7,1.211,3.6,10.9,1.0,0.259,0.0014,52
46,2026-01-02T06:00,2026-01-02T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,31
47,2026-01-03T14:00,2026-01-03T15:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,2
48,2026-01-03T18:00,2026-01-03T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,296
49,2026-01-16T03:00,2026-01-16T03:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,65
50,2026-01-18T21:00,2026-01-18T21:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,7
51,2026-01-19T05:00,2026-01-19T05:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,7
52,2026-01-19T13:00,2026-01-19T19:00,7,7,0.957,2.0,6.7,0.758,0.179,0.0,20
53,2026-01-20T16:00,2026-01-20T18:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,105
54,2026-01-25T04:00,2026-01-25T04:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,84
55,2026-01-28T17:00,2026-01-28T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,189
56,2026-02-05T15:00,2026-02-05T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,32
57,2026-02-07T00:00,2026-02-07T05:00,6,5,0.733,1.7,4.4,0.74,0.0,0.0017,8
58,2026-02-07T14:00,2026-02-07T16:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,27
59,2026-02-08T20:00,2026-02-08T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,25
60,2026-02-09T22:00,2026-02-09T23:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,131
61,2026-02-15T11:00,2026-02-15T13:00,3,3,0.433,0.6,1.3,0.353,1.0,0.0,26
62,2026-02-16T16:00,2026-02-16T16:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,2
63,2026-02-16T19:00,2026-02-16T19:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,42
64,2026-02-18T14:00,2026-02-18T17:00,4,4,0.35,0.4,1.4,0.165,0.0,0.0,82
65,2026-02-22T04:00,2026-02-22T04:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,5
66,2026-02-22T10:00,2026-02-22T10:00,1,1,1.3,1.3,1.3,0.0,0.923,0.0041,7
67,2026-02-22T18:00,2026-02-22T20:00,3,2,0.3,0.4,0.9,0.577,0.0,0.0,2
68,2026-02-22T23:00,2026-02-22T23:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,12
69,2026-02-23T12:00,2026-02-23T14:00,3,2,0.833,1.6,2.5,0.901,1.0,0.0195,17
70,2026-02-24T08:00,2026-02-24T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,55
71,2026-02-26T16:00,2026-02-27T01:00,10,8,0.67,2.6,6.7,1.101,0.177,0.0,37
72,2026-02-28T15:00,2026-02-28T17:00,3,3,1.7,3.1,5.1,0.771,0.658,0.0289,21
73,2026-03-01T15:00,2026-03-01T15:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,25
74,2026-03-02T17:00,2026-03-02T17:00,1,1,1.2,1.2,1.2,0.0,1.0,0.0002,101
75,2026-03-06T23:00,2026-03-07T00:00,2,2,0.6,0.6,1.2,0.0,0.0,0.0,4
76,2026-03-07T05:00,2026-03-07T06:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,4
77,2026-03-07T11:00,2026-03-08T01:00,15,12,0.807,4.2,12.1,1.236,0.282,0.04,12
78,2026-03-08T14:00,2026-03-09T04:00,15,14,0.653,2.0,9.8,0.747,0.047,0.015,129
79,2026-03-14T14:00,2026-03-14T17:00,4,4,1.925,3.2,7.7,0.699,0.112,0.0,5
80,2026-03-14T23:00,2026-03-15T00:00,2,2,0.65,0.8,1.3,0.326,0.125,0.0,15
81,2026-03-15T16:00,2026-03-15T20:00,5,5,0.98,1.5,4.9,0.47,0.0,0.0013,18
82,2026-03-16T15:00,2026-03-16T17:00,3,3,0.667,1.0,2.0,0.527,0.0,0.0,8
83,2026-03-17T02:00,2026-03-17T02:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,9
84,2026-03-17T12:00,2026-03-17T13:00,2,2,0.5,0.7,1.0,0.566,0.285,0.0,4
85,2026-03-17T18:00,2026-03-17T22:00,5,5,0.42,0.5,2.1,0.199,0.09,0.0,40
86,2026-03-19T15:00,2026-03-19T18:00,4,4,0.6,1.1,2.4,0.561,0.113,0.012,3
87,2026-03-19T22:00,2026-03-19T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,41
88,2026-03-21T16:00,2026-03-21T19:00,4,4,0.55,0.6,2.2,0.105,0.0,0.0,13
89,2026-03-22T09:00,2026-03-22T09:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,17
