event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-19T06:00,2026-01-19T06:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,117
1,2026-01-24T04:00,2026-01-24T05:00,2,2,0.3,0.3,0.6,0.0,0.5,0.0,97
2,2026-01-28T07:00,2026-01-28T07:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,46
3,2026-01-30T06:00,2026-01-30T06:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,18
4,2026-01-31T01:00,2026-01-31T01:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,120
5,2026-02-05T02:00,2026-02-05T02:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,123
6,2026-02-10T06:00,2026-02-10T06:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,185
7,2026-02-18T00:00,2026-02-18T02:00,3,3,0.5,0.8,1.5,0.529,0.625,0.0,208
8,2026-02-26T19:00,2026-02-26T19:00,1,1,2.3,2.3,2.3,0.0,1.0,0.078,13
9,2026-02-27T09:00,2026-02-27T14:00,6,5,1.017,2.0,6.1,0.826,0.214,0.095,17
10,2026-02-28T08:00,2026-02-28T10:00,3,3,2.5,3.1,7.5,0.349,0.541,0.1805,19
11,2026-03-01T06:00,2026-03-01T07:00,2,2,2.25,4.0,4.5,1.1,0.538,0.75,23
12,2026-03-02T07:00,2026-03-02T07:00,1,1,0.7,0.7,0.7,0.0,0.143,0.0,5
13,2026-03-02T13:00,2026-03-02T13:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,7
14,2026-03-02T21:00,2026-03-02T21:00,1,1,5.1,5.1,5.1,0.0,0.961,0.31,5
15,2026-03-03T03:00,2026-03-03T03:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,2
16,2026-03-03T06:00,2026-03-03T06:00,1,1,1.7,1.7,1.7,0.0,0.824,0.0499,5
17,2026-03-03T12:00,2026-03-03T19:00,8,8,3.875,11.8,31.0,1.03,0.289,0.08,5
18,2026-03-04T01:00,2026-03-04T03:00,3,3,1.267,2.7,3.8,1.0,0.338,0.0021,21
19,2026-03-05T01:00,2026-03-05T01:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,116
20,2026-03-09T22:00,2026-03-10T01:00,4,4,0.375,0.5,1.5,0.255,0.25,0.0,24
21,2026-03-11T02:00,2026-03-11T03:00,2,2,0.5,0.5,1.0,0.0,0.5,0.0,241
22,2026-03-21T05:00,2026-03-21T06:00,2,2,0.45,0.6,0.9,0.471,0.333,0.0,245
23,2026-03-31T12:00,2026-03-31T12:00,1,1,1.1,1.1,1.1,0.0,1.0,0.0186,79
24,2026-04-03T20:00,2026-04-03T20:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,33
25,2026-04-05T06:00,2026-04-05T06:00,1,1,0.9,0.9,0.9,0.0,0.889,0.0,73
26,2026-04-08T08:00,2026-04-08T08:00,1,1,0.5,0.5,0.5,0.0,0.6,0.0,118
27,2026-04-13T07:00,2026-04-13T07:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,72
28,2026-04-16T08:00,2026-04-16T08:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,23
29,2026-04-17T08:00,2026-04-17T08:00,1,1,3.0,3.0,3.0,0.0,0.867,0.33,21
30,2026-04-18T06:00,2026-04-18T09:00,4,4,1.175,2.2,4.7,0.679,0.649,0.1635,20
31,2026-04-19T06:00,2026-04-19T07:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,2
32,2026-04-19T10:00,2026-04-19T11:00,2,2,1.0,1.0,2.0,0.0,1.0,0.0,13
33,2026-04-20T01:00,2026-04-20T02:00,2,2,1.7,1.9,3.4,0.166,1.0,0.0979,4
34,2026-04-20T07:00,2026-04-20T08:00,2,2,0.55,0.7,1.1,0.386,0.875,0.0,23
35,2026-04-21T08:00,2026-04-21T08:00,1,1,3.7,3.7,3.7,0.0,0.973,0.675,24
36,2026-04-22T09:00,2026-04-22T09:00,1,1,1.6,1.6,1.6,0.0,0.938,0.15,32
37,2026-04-23T18:00,2026-04-23T18:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
38,2026-04-23T21:00,2026-04-24T12:00,16,15,2.55,7.7,40.8,0.873,0.481,0.325,40
39,2026-04-26T05:00,2026-04-26T12:00,8,6,0.475,1.3,3.8,0.906,0.343,0.0319,16
40,2026-04-27T05:00,2026-04-27T08:00,4,4,3.95,13.9,15.8,1.68,0.797,1.0,22
41,2026-04-28T07:00,2026-04-28T07:00,1,1,4.5,4.5,4.5,0.0,0.911,0.4506,18
42,2026-04-29T02:00,2026-04-29T03:00,2,2,0.35,0.4,0.7,0.202,0.75,0.0,95
43,2026-05-03T03:00,2026-05-03T03:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,2
44,2026-05-03T06:00,2026-05-03T06:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,2
45,2026-05-03T09:00,2026-05-03T09:00,1,1,3.1,3.1,3.1,0.0,0.903,0.525,3
46,2026-05-03T13:00,2026-05-03T16:00,4,4,1.5,3.5,6.0,0.938,0.662,0.2094,5
47,2026-05-03T22:00,2026-05-04T04:00,7,7,1.257,3.7,8.8,0.982,0.387,0.2025,3
48,2026-05-04T08:00,2026-05-04T12:00,5,5,1.14,1.5,5.7,0.354,0.424,0.0294,15
49,2026-05-05T04:00,2026-05-05T04:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,24
50,2026-05-06T05:00,2026-05-06T05:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,23
51,2026-05-07T05:00,2026-05-07T05:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,22
52,2026-05-08T04:00,2026-05-08T05:00,2,2,1.25,2.1,2.5,0.962,0.625,0.275,12
53,2026-05-08T18:00,2026-05-08T18:00,1,1,0.7,0.7,0.7,0.0,0.429,0.0,12
54,2026-05-09T07:00,2026-05-09T13:00,7,5,0.857,3.8,6.0,1.552,0.53,0.4305,16
55,2026-05-10T06:00,2026-05-10T07:00,2,2,1.2,2.1,2.4,1.061,0.453,0.1114,94
56,2026-05-14T06:00,2026-05-14T07:00,2,2,2.7,3.7,5.4,0.524,0.842,0.675,20
57,2026-05-15T04:00,2026-05-15T05:00,2,2,7.8,8.0,15.6,0.036,0.969,1.0,2
58,2026-05-15T08:00,2026-05-15T08:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,9
59,2026-05-15T18:00,2026-05-16T04:00,11,10,1.564,3.4,17.2,0.81,0.313,0.507,2
60,2026-05-16T07:00,2026-05-16T07:00,1,1,0.8,0.8,0.8,0.0,0.875,0.0,12
61,2026-05-16T20:00,2026-05-16T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
62,2026-05-17T01:00,2026-05-17T02:00,2,2,0.5,0.5,1.0,0.0,0.3,0.0,3
63,2026-05-17T06:00,2026-05-17T11:00,6,6,0.867,1.4,5.2,0.37,0.376,0.083,16
64,2026-05-18T04:00,2026-05-18T09:00,6,6,1.467,2.9,8.8,0.609,0.452,0.3,17
65,2026-05-19T03:00,2026-05-19T04:00,2,2,1.25,2.0,2.5,0.849,0.175,0.25,22
66,2026-05-20T03:00,2026-05-20T09:00,7,7,1.357,4.9,9.5,1.175,0.523,0.8385,16
67,2026-05-21T02:00,2026-05-21T08:00,7,5,0.986,2.8,6.9,1.055,0.534,0.45,23
68,2026-05-22T08:00,2026-05-22T09:00,2,2,0.55,0.6,1.1,0.129,0.4,0.0,91
69,2026-05-26T05:00,2026-05-26T06:00,2,2,0.75,1.2,1.5,0.849,0.584,0.05,170
70,2026-06-02T09:00,2026-06-02T09:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,71
71,2026-06-05T09:00,2026-06-05T09:00,1,1,1.8,1.8,1.8,0.0,0.778,0.2,18
72,2026-06-06T04:00,2026-06-06T07:00,4,4,1.05,2.5,4.2,0.951,0.615,0.3262,23
73,2026-06-07T07:00,2026-06-07T07:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,21
74,2026-06-08T05:00,2026-06-08T05:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,13
75,2026-06-08T19:00,2026-06-09T02:00,8,7,1.238,5.7,9.9,1.545,0.303,0.965,2
76,2026-06-09T05:00,2026-06-09T06:00,2,2,0.85,1.0,1.7,0.25,0.0,0.0,12
77,2026-06-09T19:00,2026-06-09T21:00,3,3,1.3,1.9,3.9,0.462,0.502,0.0034,2
78,2026-06-10T00:00,2026-06-10T00:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,31
79,2026-06-11T08:00,2026-06-11T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,20
80,2026-06-12T05:00,2026-06-12T08:00,4,4,0.525,1.1,2.1,0.736,0.538,0.025,68
81,2026-06-15T05:00,2026-06-15T05:00,1,1,0.9,0.9,0.9,0.0,0.667,0.0,9
82,2026-06-15T15:00,2026-06-15T15:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,13
83,2026-06-16T05:00,2026-06-16T07:00,3,3,1.633,2.7,4.9,0.579,0.898,0.425,14
84,2026-06-16T22:00,2026-06-17T00:00,3,3,1.1,1.9,3.3,0.636,0.6,0.225,55
85,2026-06-19T08:00,2026-06-19T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,23
86,2026-06-20T08:00,2026-06-20T09:00,2,2,0.55,0.8,1.1,0.643,0.312,0.0,23
87,2026-06-21T09:00,2026-06-21T09:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,93
88,2026-06-25T07:00,2026-06-25T07:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,20
89,2026-06-26T04:00,2026-06-26T05:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,2
90,2026-06-26T08:00,2026-06-26T08:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,22
91,2026-06-27T07:00,2026-06-27T09:00,3,3,0.567,0.8,1.7,0.444,0.458,0.0,20
92,2026-06-28T06:00,2026-06-28T10:00,5,5,0.94,2.8,4.7,1.122,0.326,0.45,7
93,2026-06-28T18:00,2026-06-28T18:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,10
94,2026-06-29T05:00,2026-06-29T06:00,2,2,0.65,0.9,1.3,0.544,0.555,0.0,2
95,2026-06-29T09:00,2026-06-29T11:00,3,3,2.767,6.1,8.3,1.066,0.29,0.91,21
96,2026-06-30T09:00,2026-06-30T12:00,4,3,0.375,0.6,1.5,0.55,0.167,0.0,34
97,2026-07-01T23:00,2026-07-02T10:00,12,9,0.45,1.2,5.4,0.725,0.338,0.047,3
98,2026-07-02T14:00,2026-07-02T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,12
99,2026-07-03T03:00,2026-07-03T07:00,5,5,1.52,2.7,7.6,0.537,0.615,0.3846,4
100,2026-07-03T12:00,2026-07-03T14:00,3,3,0.567,0.9,1.7,0.539,0.222,0.0,2
