event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-25T15:00,2026-02-25T18:00,4,4,0.725,1.0,2.9,0.345,0.677,0.0,60
1,2026-02-28T07:00,2026-02-28T08:00,2,2,0.35,0.4,0.7,0.202,0.125,0.0,121
2,2026-03-05T10:00,2026-03-05T10:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,121
3,2026-03-10T12:00,2026-03-10T12:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,69
4,2026-03-13T10:00,2026-03-13T10:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,5
5,2026-03-13T16:00,2026-03-13T16:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
6,2026-03-13T20:00,2026-03-13T20:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,5
7,2026-03-14T02:00,2026-03-14T11:00,10,10,0.44,0.6,4.4,0.244,0.0,0.0,338
8,2026-03-28T14:00,2026-03-28T15:00,2,2,0.45,0.5,0.9,0.157,0.25,0.0,29
9,2026-03-29T21:00,2026-03-30T00:00,4,3,0.625,1.2,2.5,0.82,0.535,0.0,2
10,2026-03-30T03:00,2026-03-30T03:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,57
11,2026-04-01T13:00,2026-04-01T15:00,3,2,0.367,0.5,1.1,0.417,1.0,0.0,159
12,2026-04-08T07:00,2026-04-08T08:00,2,2,0.95,1.3,1.9,0.521,0.193,0.0,3
13,2026-04-08T12:00,2026-04-08T16:00,5,5,0.86,1.5,4.3,0.624,0.336,0.0006,175
14,2026-04-16T00:00,2026-04-16T02:00,3,3,0.367,0.5,1.1,0.315,0.711,0.0,2
15,2026-04-16T05:00,2026-04-16T06:00,2,2,0.75,1.1,1.5,0.66,0.784,0.0033,73
16,2026-04-19T08:00,2026-04-19T13:00,6,5,2.5,12.3,15.0,1.925,0.395,0.185,43
17,2026-04-21T09:00,2026-04-21T12:00,4,4,0.525,0.6,2.1,0.182,0.0,0.0,120
18,2026-04-26T13:00,2026-04-26T13:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,121
19,2026-05-01T15:00,2026-05-01T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,19
20,2026-05-02T11:00,2026-05-02T13:00,3,3,0.833,1.5,2.5,0.703,0.267,0.0112,13
21,2026-05-03T03:00,2026-05-03T03:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,81
22,2026-05-06T13:00,2026-05-06T14:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,96
23,2026-05-10T15:00,2026-05-10T15:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,112
24,2026-05-15T08:00,2026-05-15T09:00,2,2,0.3,0.3,0.6,0.0,0.667,0.0,18
25,2026-05-16T04:00,2026-05-16T05:00,2,2,0.45,0.6,0.9,0.471,0.084,0.0,8
26,2026-05-16T14:00,2026-05-16T18:00,5,5,1.34,3.3,6.7,0.959,0.492,0.0259,2
27,2026-05-16T21:00,2026-05-17T00:00,4,4,0.7,1.1,2.8,0.452,0.153,0.0024,4
28,2026-05-17T05:00,2026-05-17T22:00,18,18,2.956,8.4,53.2,0.777,0.4,0.0523,44
29,2026-05-19T19:00,2026-05-19T23:00,5,5,0.58,1.0,2.9,0.463,0.4,0.0,5
30,2026-05-20T05:00,2026-05-20T05:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,2
31,2026-05-20T08:00,2026-05-20T08:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,27
32,2026-05-21T12:00,2026-05-21T15:00,4,4,1.4,3.4,5.6,0.967,0.812,0.0,3
33,2026-05-21T19:00,2026-05-21T20:00,2,2,1.1,1.2,2.2,0.129,1.0,0.006,5
