event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-19T00:00,2026-01-19T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,172
1,2026-01-26T05:00,2026-01-26T05:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,4
2,2026-01-26T10:00,2026-01-26T10:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
3,2026-01-26T14:00,2026-01-26T14:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,74
4,2026-01-29T17:00,2026-01-29T17:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,3
5,2026-01-29T21:00,2026-01-29T22:00,2,2,0.8,1.1,1.6,0.53,0.0,0.0,2
6,2026-01-30T01:00,2026-01-30T21:00,21,20,0.733,1.7,15.4,0.558,0.0,0.0004,10
7,2026-01-31T08:00,2026-01-31T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,107
8,2026-02-04T20:00,2026-02-04T20:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,11
9,2026-02-05T08:00,2026-02-05T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
10,2026-02-05T11:00,2026-02-05T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
11,2026-02-05T14:00,2026-02-05T18:00,5,4,0.7,1.3,3.5,0.662,0.0,0.0008,4
12,2026-02-05T23:00,2026-02-05T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,5
13,2026-02-06T05:00,2026-02-06T14:00,10,10,1.02,2.2,10.2,0.676,0.0,0.0015,70
14,2026-02-09T13:00,2026-02-09T13:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,97
15,2026-02-13T15:00,2026-02-13T15:00,1,1,0.7,0.7,0.7,0.0,0.714,0.0,4
16,2026-02-13T20:00,2026-02-13T22:00,3,2,1.0,2.5,3.0,1.3,0.889,0.0037,40
17,2026-02-15T15:00,2026-02-15T15:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
18,2026-02-15T18:00,2026-02-16T02:00,9,9,1.8,3.6,16.2,0.615,0.19,0.0065,3
19,2026-02-16T06:00,2026-02-16T13:00,8,8,0.487,0.7,3.9,0.256,0.0,0.0,173
20,2026-02-23T19:00,2026-02-23T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,50
21,2026-02-25T22:00,2026-02-26T02:00,5,5,1.56,2.2,7.8,0.359,0.175,0.007,2
22,2026-02-26T05:00,2026-02-26T19:00,15,14,1.28,5.1,19.2,0.975,0.047,0.0041,50
23,2026-02-28T22:00,2026-03-01T14:00,17,16,0.824,3.1,14.0,0.825,0.093,0.0026,68
24,2026-03-04T11:00,2026-03-04T12:00,2,2,0.65,1.0,1.3,0.761,1.0,0.0,22
25,2026-03-05T11:00,2026-03-05T12:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,146
26,2026-03-11T15:00,2026-03-11T16:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,116
27,2026-03-16T13:00,2026-03-16T16:00,4,3,0.3,0.4,1.2,0.471,0.0,0.0,4
28,2026-03-16T21:00,2026-03-17T01:00,5,5,0.52,0.9,2.6,0.583,0.0,0.0,15
29,2026-03-17T17:00,2026-03-17T19:00,3,3,0.8,1.4,2.4,0.661,0.861,0.0,6
30,2026-03-18T02:00,2026-03-18T13:00,12,11,0.95,2.3,11.4,0.709,0.046,0.0032,44
31,2026-03-20T10:00,2026-03-20T13:00,4,4,1.075,2.0,4.3,0.623,0.143,0.0,49
32,2026-03-22T15:00,2026-03-22T18:00,4,3,0.3,0.4,1.2,0.471,0.0,0.0,5
33,2026-03-23T00:00,2026-03-23T00:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,4
34,2026-03-23T05:00,2026-03-23T05:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,5
35,2026-03-23T11:00,2026-03-23T12:00,2,2,0.6,0.7,1.2,0.236,0.214,0.0,6
36,2026-03-23T19:00,2026-03-23T19:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,5
37,2026-03-24T01:00,2026-03-24T09:00,9,9,0.911,1.8,8.2,0.525,0.191,0.0013,49
38,2026-03-26T11:00,2026-03-26T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,8
39,2026-03-26T20:00,2026-03-26T23:00,4,4,0.925,1.5,3.7,0.663,0.174,0.004,37
40,2026-03-28T13:00,2026-03-28T13:00,1,1,0.8,0.8,0.8,0.0,1.0,0.0,27
41,2026-03-29T17:00,2026-03-30T00:00,8,8,2.112,5.2,16.9,0.777,0.282,0.0472,5
42,2026-03-30T06:00,2026-03-30T06:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,3
43,2026-03-30T10:00,2026-03-30T10:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,19
44,2026-03-31T06:00,2026-03-31T21:00,16,16,1.65,4.7,26.4,0.895,0.126,0.0046,38
