time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,80.0,1.3,1.66,2.7,277,100,140.0,1,0.212
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,70.0,1.6,1.37,3.7,260,100,260.0,1,0.213
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,55.0,2.7,0.98,2.9,165,89,13720.0,1,0.213
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,115.0,6.7,0.51,3.2,209,71,20260.0,1,0.212
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,170.0,10.8,0.63,3.3,162,87,22140.0,1,0.212
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,380.0,13.5,1.85,4.8,182,92,23880.0,1,0.211
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,495.0,14.7,2.69,6.3,195,2,24100.0,1,0.209
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,455.0,15.6,2.9,6.5,182,6,24100.0,1,0.208
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,335.0,15.5,1.87,6.2,172,5,24100.0,1,0.206
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,13.5,0.28,3.8,45,0,23860.0,1,0.206
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40.0,9.2,1.48,2.5,24,0,22120.0,1,0.206
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,45.0,7.6,1.74,3.0,41,0,21260.0,0,0.206
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,45.0,7.7,0.8,2.8,94,0,21260.0,0,0.196
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,60.0,7.6,0.45,1.3,276,0,22100.0,0,0.196
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,80.0,7.0,0.59,1.5,290,0,22100.0,0,0.196
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,4.3,0.72,1.1,214,0,21260.0,0,0.197
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,2.0,0.68,1.3,216,0,20220.0,0,0.197
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,0.7,0.53,1.0,221,0,20220.0,0,0.197
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,61.0,10.0,-0.5,0.28,1.0,225,0,18940.0,0,0.198
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,-1.2,0.21,0.8,225,1,16900.0,0,0.198
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,10.0,-1.4,0.07,0.7,225,85,16880.0,0,0.198
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,-1.5,0.36,0.6,254,91,15520.0,0,0.198
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,15.0,-1.9,0.45,1.7,264,62,15520.0,0,0.198
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,15.0,-2.2,0.43,1.3,234,34,15520.0,0,0.198
