event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-21T15:00,2026-02-21T16:00,2,2,0.65,0.7,1.3,0.109,0.666,0.0,91
1,2026-02-25T12:00,2026-02-25T12:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,383
2,2026-03-13T12:00,2026-03-13T12:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,371
3,2026-03-29T00:00,2026-03-29T00:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,177
4,2026-04-05T10:00,2026-04-05T10:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,114
5,2026-04-10T05:00,2026-04-10T10:00,6,6,0.633,0.8,3.8,0.238,0.0,0.0,158
6,2026-04-17T01:00,2026-04-17T01:00,1,1,0.9,0.9,0.9,0.0,0.778,0.0,5
7,2026-04-17T07:00,2026-04-17T09:00,3,3,3.467,5.7,10.4,0.792,0.975,0.07,51
8,2026-04-19T13:00,2026-04-19T19:00,7,6,0.514,1.2,3.6,0.687,0.059,0.0002,32
9,2026-04-21T04:00,2026-04-21T04:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,74
10,2026-04-24T07:00,2026-04-24T09:00,3,3,1.433,1.9,4.3,0.351,1.0,0.0158,68
11,2026-04-27T06:00,2026-04-27T06:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,368
12,2026-05-12T15:00,2026-05-12T15:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,57
13,2026-05-15T01:00,2026-05-15T02:00,2,2,2.1,3.9,4.2,1.212,0.487,0.2864,5
14,2026-05-15T08:00,2026-05-15T09:00,2,2,0.9,1.4,1.8,0.786,0.322,0.021,35
15,2026-05-16T21:00,2026-05-16T22:00,2,2,0.5,0.7,1.0,0.566,0.167,0.0,6
16,2026-05-17T05:00,2026-05-17T05:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,8
17,2026-05-17T14:00,2026-05-17T14:00,1,1,0.8,0.8,0.8,0.0,0.0,0.0,4
18,2026-05-17T19:00,2026-05-17T23:00,5,5,0.44,0.6,2.2,0.305,0.0,0.0,4
19,2026-05-18T04:00,2026-05-18T05:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,37
20,2026-05-19T19:00,2026-05-19T19:00,1,1,2.6,2.6,2.6,0.0,1.0,0.0,67
21,2026-05-22T15:00,2026-05-23T00:00,10,9,0.99,2.5,9.9,0.71,0.082,0.0037,2
22,2026-05-23T03:00,2026-05-23T03:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,5
23,2026-05-23T09:00,2026-05-23T10:00,2,2,4.75,7.1,9.5,0.7,0.972,0.265,2
24,2026-05-23T13:00,2026-05-23T17:00,5,4,1.6,3.3,8.0,0.892,0.745,0.1351,38
25,2026-05-25T08:00,2026-05-25T09:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,48
26,2026-05-27T10:00,2026-05-27T10:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,6
27,2026-05-27T17:00,2026-05-27T18:00,2,2,0.45,0.5,0.9,0.157,0.75,0.0,117
28,2026-06-01T16:00,2026-06-01T18:00,3,3,1.0,2.2,3.0,1.044,0.53,0.0,74
29,2026-06-04T21:00,2026-06-04T23:00,3,3,0.4,0.5,1.2,0.25,0.067,0.0,3
30,2026-06-05T03:00,2026-06-05T03:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,24
31,2026-06-06T04:00,2026-06-06T07:00,4,4,1.525,2.8,6.1,0.857,0.652,0.0967,14
32,2026-06-06T22:00,2026-06-07T18:00,21,18,0.452,1.6,9.5,0.705,0.299,0.0053,6
