time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,15.0,45.0,8.5,1.15,2.0,326,93,660.0,1,0.292
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.0,85.0,10.9,0.88,3.3,317,2,8940.0,1,0.292
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.0,185.0,14.7,0.94,3.9,335,0,15020.0,1,0.291
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.0,300.0,18.0,1.14,4.5,337,0,16020.0,1,0.29
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,530.0,20.4,0.79,4.5,325,0,16900.0,1,0.288
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,925.0,21.9,0.72,4.2,282,0,16900.0,1,0.286
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,1150.0,22.3,0.79,4.2,235,0,18640.0,1,0.284
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1270.0,23.1,0.99,3.9,221,0,18660.0,1,0.282
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1285.0,23.0,1.0,3.8,186,0,18660.0,1,0.281
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,21.5,0.35,3.0,135,0,16920.0,1,0.281
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,18.1,0.11,0.9,297,0,16920.0,0,0.281
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,16.1,0.56,1.1,280,0,16040.0,0,0.281
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,14.7,1.18,1.7,216,0,15040.0,0,0.278
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,13.4,1.25,2.5,178,0,15040.0,0,0.278
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,12.9,0.66,2.2,171,1,15040.0,0,0.278
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,12.4,0.5,1.3,186,0,15040.0,0,0.279
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,12.1,0.27,1.1,158,0,15040.0,0,0.279
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,11.6,0.16,0.7,198,0,13900.0,0,0.279
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,11.4,0.1,0.6,180,0,13900.0,0,0.28
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,10.8,0.1,0.6,360,0,13900.0,0,0.28
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,10.5,0.07,0.5,315,0,13900.0,0,0.281
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,10.1,0.25,0.8,307,0,13900.0,0,0.281
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,9.8,0.36,1.1,326,0,12100.0,0,0.281
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,9.5,0.27,1.1,338,0,12100.0,0,0.282
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,40.0,10.5,1.03,1.3,317,22,780.0,1,0.282
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,90.0,12.9,0.29,2.6,329,16,12100.0,1,0.282
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,175.0,16.2,0.45,3.3,360,2,15060.0,1,0.281
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,295.0,19.3,0.27,3.4,338,0,16080.0,1,0.28
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,490.0,21.6,0.73,4.1,344,0,16960.0,1,0.278
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,735.0,23.0,0.84,4.3,343,0,16960.0,1,0.276
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1210.0,23.4,1.31,4.3,320,0,18720.0,1,0.274
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1050.0,23.8,1.53,4.7,308,1,18720.0,1,0.272
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,540.0,23.4,1.17,4.6,310,2,18720.0,1,0.27
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,21.5,0.49,3.2,246,1,16960.0,1,0.27
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,17.9,0.69,1.1,210,2,16960.0,0,0.27
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,16.8,0.61,1.4,235,1,16980.0,0,0.271
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,15.9,0.11,1.1,207,0,16100.0,0,0.271
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,14.7,0.32,0.7,51,0,16100.0,0,0.271
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,14.0,0.21,0.7,194,0,16100.0,0,0.271
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,12.4,1.1,2.2,204,0,15080.0,0,0.271
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,11.6,1.1,2.2,185,0,13940.0,0,0.272
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,11.3,0.66,2.2,171,0,13940.0,0,0.272
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,11.4,0.35,1.5,172,0,12120.0,0,0.276
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,11.1,0.11,1.0,243,0,12120.0,0,0.277
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,10.8,0.15,0.7,360,0,12120.0,0,0.277
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,10.4,0.25,0.8,360,0,12120.0,0,0.277
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,10.1,0.25,0.8,349,0,10840.0,0,0.278
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,9.7,0.27,0.8,338,0,10840.0,0,0.278
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,11.3,0.6,1.6,336,0,10840.0,1,0.275
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,90.0,13.9,0.69,3.0,330,0,13960.0,1,0.275
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,185.0,17.1,0.79,3.7,342,0,15100.0,1,0.274
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,280.0,20.1,0.81,4.0,338,0,16120.0,1,0.273
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,435.0,22.3,0.85,4.3,339,0,17000.0,1,0.271
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,710.0,23.9,0.87,4.4,336,0,17000.0,1,0.269
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,855.0,24.2,0.81,4.3,330,1,18780.0,1,0.267
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,810.0,24.9,0.84,4.0,343,2,18780.0,1,0.265
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,440.0,24.6,0.89,3.6,344,6,18780.0,1,0.263
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,35.0,22.8,0.55,2.9,355,30,17020.0,1,0.263
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,10.0,19.8,0.1,1.2,270,82,17020.0,0,0.263
2026-01-16T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,19.0,0.39,0.9,230,9,16140.0,0,0.264
2026-01-16T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,18.6,0.0,0.9,270,5,16140.0,0,0.263
2026-01-16T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,16.8,0.49,0.9,336,2,16140.0,0,0.264
2026-01-16T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,15.0,16.0,0.32,0.9,219,18,15120.0,0,0.264
2026-01-16T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,30.0,14.9,1.15,2.0,185,100,15120.0,0,0.264
2026-01-16T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,40.0,15.6,1.2,2.3,163,100,13960.0,0,0.265
2026-01-16T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,,40.0,15.4,1.03,2.5,157,88,13980.0,0,0.265
2026-01-16T18:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,0.0,25.0,14.7,0.5,1.9,174,49,13980.0,0,0.269
2026-01-16T19:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,,30.0,13.7,0.56,1.2,207,41,13980.0,0,0.269
2026-01-16T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,15.0,13.7,0.27,1.1,202,100,13980.0,0,0.27
2026-01-16T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,15.0,14.5,0.21,0.6,225,100,13980.0,0,0.27
2026-01-16T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,15.0,14.6,0.11,0.5,333,100,13980.0,0,0.271
2026-01-16T23:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,,20.0,14.6,0.32,0.5,309,69,13980.0,0,0.271
2026-01-17T00:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,,35.0,14.6,1.06,2.2,319,34,12140.0,1,0.268
2026-01-17T01:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,,100.0,16.7,0.53,2.8,311,41,13980.0,1,0.268
2026-01-17T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,210.0,18.9,0.84,3.3,343,23,15140.0,1,0.268
