event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-25T18:00,2026-02-26T01:00,8,8,1.075,2.2,8.6,0.699,0.0,0.003,45
1,2026-02-27T23:00,2026-02-27T23:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,9
2,2026-02-28T09:00,2026-02-28T10:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,2
3,2026-02-28T13:00,2026-02-28T22:00,10,10,1.28,2.1,12.8,0.57,0.01,0.0,2
4,2026-03-01T01:00,2026-03-01T18:00,18,17,0.894,2.3,16.1,0.698,0.042,0.0,115
5,2026-03-06T14:00,2026-03-06T16:00,3,3,0.4,0.5,1.2,0.25,0.0,0.0,98
6,2026-03-10T19:00,2026-03-10T19:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,82
7,2026-03-14T06:00,2026-03-14T17:00,12,12,0.542,0.9,6.5,0.365,0.0,0.0,62
8,2026-03-17T08:00,2026-03-17T13:00,6,6,0.933,1.5,5.6,0.496,0.026,0.0025,302
9,2026-03-30T04:00,2026-03-30T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,103
10,2026-04-03T12:00,2026-04-03T12:00,1,1,2.0,2.0,2.0,0.0,1.0,0.0,108
11,2026-04-08T01:00,2026-04-08T01:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,3
12,2026-04-08T05:00,2026-04-08T08:00,4,4,0.975,1.6,3.9,0.741,0.172,0.0,2
13,2026-04-08T11:00,2026-04-08T12:00,2,2,2.25,3.8,4.5,0.974,0.829,0.0,173
14,2026-04-15T18:00,2026-04-15T20:00,3,3,0.8,1.0,2.4,0.25,0.8,0.0,86
15,2026-04-19T11:00,2026-04-19T17:00,7,7,1.829,4.4,12.8,0.879,0.461,0.0036,35
16,2026-04-21T05:00,2026-04-21T16:00,12,11,0.825,2.2,9.9,0.819,0.0,0.0015,118
17,2026-04-26T15:00,2026-04-26T18:00,4,4,2.175,2.9,8.7,0.547,1.0,0.2066,120
18,2026-05-01T19:00,2026-05-01T19:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,9
19,2026-05-02T05:00,2026-05-02T06:00,2,2,0.5,0.5,1.0,0.0,0.0,0.0,11
20,2026-05-02T18:00,2026-05-02T18:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,190
21,2026-05-10T17:00,2026-05-10T18:00,2,2,0.3,0.3,0.6,0.0,1.0,0.0,144
22,2026-05-16T19:00,2026-05-16T19:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,15
23,2026-05-17T11:00,2026-05-18T00:00,14,13,2.186,5.8,30.6,0.655,0.461,0.0325,18
24,2026-05-18T19:00,2026-05-18T20:00,2,2,0.4,0.4,0.8,0.0,0.5,0.0,19
25,2026-05-19T16:00,2026-05-20T00:00,9,9,2.067,5.7,18.6,0.916,0.339,0.01,49
26,2026-05-22T02:00,2026-05-22T07:00,6,6,0.483,0.6,2.9,0.275,0.458,0.0,67
27,2026-05-25T03:00,2026-05-25T03:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,4
28,2026-05-25T08:00,2026-05-25T10:00,3,3,0.6,0.7,1.8,0.167,0.056,0.0,2
29,2026-05-25T13:00,2026-05-25T13:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,215
30,2026-06-03T13:00,2026-06-03T14:00,2,2,0.6,0.7,1.2,0.236,0.5,0.0,60
31,2026-06-06T03:00,2026-06-06T07:00,5,4,1.12,2.1,5.6,0.751,0.764,0.1128,5
32,2026-06-06T13:00,2026-06-06T14:00,2,2,0.7,0.9,1.4,0.404,0.0,0.0,182
33,2026-06-14T05:00,2026-06-14T05:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,95
34,2026-06-18T05:00,2026-06-18T06:00,2,2,0.5,0.7,1.0,0.566,0.928,0.0,9
35,2026-06-18T16:00,2026-06-18T23:00,8,7,0.925,1.8,7.4,0.678,0.062,0.023,7
36,2026-06-19T07:00,2026-06-19T08:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,30
37,2026-06-20T15:00,2026-06-20T16:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,2
38,2026-06-20T19:00,2026-06-21T01:00,7,7,1.486,2.6,10.4,0.528,0.125,0.082,4
39,2026-06-21T06:00,2026-06-21T12:00,7,6,0.7,1.4,4.9,0.639,0.0,0.0001,2
40,2026-06-21T15:00,2026-06-21T16:00,2,2,0.7,0.8,1.4,0.202,0.0,0.0,87
41,2026-06-25T08:00,2026-06-25T08:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,67
42,2026-06-28T04:00,2026-06-28T04:00,1,1,0.6,0.6,0.6,0.0,0.667,0.0,5
43,2026-06-28T10:00,2026-06-28T12:00,3,3,0.5,0.7,1.5,0.4,0.565,0.0,19
44,2026-06-29T08:00,2026-06-29T09:00,2,2,0.65,0.7,1.3,0.109,0.928,0.0,15
45,2026-06-30T01:00,2026-06-30T04:00,4,3,0.5,0.9,2.0,0.653,0.167,0.0,10
46,2026-06-30T15:00,2026-06-30T16:00,2,2,5.0,8.0,10.0,0.849,0.688,0.195,115
