event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-16T03:00,2026-01-16T04:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,131
1,2026-01-21T16:00,2026-01-21T16:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
2,2026-01-21T19:00,2026-01-21T19:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,7
3,2026-01-22T03:00,2026-01-22T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,69
4,2026-01-25T01:00,2026-01-25T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,267
5,2026-02-05T05:00,2026-02-05T05:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,18
6,2026-02-06T00:00,2026-02-06T00:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,4
7,2026-02-06T05:00,2026-02-06T05:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,19
8,2026-02-07T01:00,2026-02-07T01:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,44
9,2026-02-08T22:00,2026-02-09T00:00,3,3,0.6,0.9,1.8,0.5,0.0,0.0,2
10,2026-02-09T03:00,2026-02-09T03:00,1,1,1.4,1.4,1.4,0.0,1.0,0.0005,3
11,2026-02-09T07:00,2026-02-09T07:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,31
12,2026-02-10T15:00,2026-02-10T15:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
13,2026-02-10T19:00,2026-02-10T20:00,2,2,0.95,1.5,1.9,0.819,0.0,0.0,4
14,2026-02-11T01:00,2026-02-11T01:00,1,1,0.8,0.8,0.8,0.0,0.0,0.0,2
15,2026-02-11T04:00,2026-02-11T05:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,4
16,2026-02-11T10:00,2026-02-11T10:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,8
17,2026-02-11T19:00,2026-02-11T20:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,4
18,2026-02-12T01:00,2026-02-12T01:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,2
19,2026-02-12T04:00,2026-02-12T07:00,4,3,0.375,0.5,1.5,0.667,0.0,0.0,9
20,2026-02-12T17:00,2026-02-12T17:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,8
21,2026-02-13T02:00,2026-02-13T03:00,2,2,1.55,2.8,3.1,1.14,1.0,0.0,3
22,2026-02-13T07:00,2026-02-13T09:00,3,3,0.3,0.3,0.9,0.0,0.222,0.0,45
23,2026-02-15T07:00,2026-02-15T08:00,2,2,0.3,0.3,0.6,0.0,0.333,0.0,147
24,2026-02-21T12:00,2026-02-21T15:00,4,3,0.275,0.4,1.1,0.458,0.667,0.0,50
25,2026-02-23T18:00,2026-02-23T18:00,1,1,5.1,5.1,5.1,0.0,0.98,0.0,2
26,2026-02-23T21:00,2026-02-23T21:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,2
27,2026-02-24T00:00,2026-02-24T00:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,32
28,2026-02-25T09:00,2026-02-25T11:00,3,3,0.967,2.0,2.9,0.939,0.233,0.0025,3
29,2026-02-25T15:00,2026-02-25T18:00,4,3,0.5,0.9,2.0,0.73,0.464,0.0,3
30,2026-02-25T22:00,2026-02-26T19:00,22,20,0.859,2.2,18.9,0.693,0.378,0.0125,5
31,2026-02-27T01:00,2026-02-27T01:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,26
32,2026-02-28T04:00,2026-02-28T05:00,2,2,2.65,4.9,5.3,1.201,0.459,0.0585,6
33,2026-02-28T12:00,2026-03-01T06:00,19,17,1.468,5.6,27.9,1.024,0.361,0.0349,5
34,2026-03-01T12:00,2026-03-01T17:00,6,6,1.6,5.7,9.6,1.285,0.525,0.1,29
35,2026-03-02T23:00,2026-03-03T07:00,9,8,1.056,3.6,9.5,0.999,0.375,0.0041,132
36,2026-03-08T20:00,2026-03-08T22:00,3,3,0.467,0.6,1.4,0.327,0.767,0.0,2
37,2026-03-09T01:00,2026-03-09T01:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,4
38,2026-03-09T06:00,2026-03-09T11:00,6,6,0.717,1.2,4.3,0.462,0.0,0.0,2
39,2026-03-09T14:00,2026-03-09T15:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,156
40,2026-03-16T04:00,2026-03-16T04:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,48
41,2026-03-18T05:00,2026-03-18T05:00,1,1,0.5,0.5,0.5,0.0,0.2,0.0,2
42,2026-03-18T08:00,2026-03-18T08:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,27
43,2026-03-19T12:00,2026-03-19T12:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,23
44,2026-03-20T12:00,2026-03-20T12:00,1,1,2.4,2.4,2.4,0.0,1.0,0.0123,4
45,2026-03-20T17:00,2026-03-20T18:00,2,2,7.65,10.2,15.3,0.471,0.97,0.02,34
46,2026-03-22T05:00,2026-03-22T07:00,3,2,0.333,0.5,1.0,0.458,0.278,0.0,22
47,2026-03-23T06:00,2026-03-23T07:00,2,2,0.45,0.5,0.9,0.157,0.525,0.0,27
48,2026-03-24T11:00,2026-03-24T12:00,2,2,0.3,0.3,0.6,0.0,0.667,0.0,40
49,2026-03-26T05:00,2026-03-26T07:00,3,3,0.3,0.3,0.9,0.0,0.667,0.0,7
50,2026-03-26T15:00,2026-03-26T18:00,4,4,1.25,1.9,5.0,0.361,0.859,0.0675,3
51,2026-03-26T22:00,2026-03-26T23:00,2,2,2.4,4.5,4.8,1.237,0.6,0.1094,4
52,2026-03-27T04:00,2026-03-27T07:00,4,3,0.275,0.4,1.1,0.458,0.312,0.0,4
53,2026-03-27T12:00,2026-03-27T12:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,4
54,2026-03-27T17:00,2026-03-27T21:00,5,5,2.1,4.9,10.5,0.914,0.897,0.1755,3
55,2026-03-28T01:00,2026-03-28T01:00,1,1,2.2,2.2,2.2,0.0,0.909,0.045,8
56,2026-03-28T10:00,2026-03-28T10:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,8
57,2026-03-28T19:00,2026-03-28T23:00,5,4,1.08,3.9,5.4,1.47,0.361,0.0,4
58,2026-03-29T04:00,2026-03-29T10:00,7,5,0.771,1.7,5.4,0.903,0.152,0.1067,14
