event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-03-28T03:00,2026-03-28T04:00,2,2,1.2,1.4,2.4,0.236,0.95,0.0,58
1,2026-03-30T15:00,2026-03-30T16:00,2,2,0.8,1.1,1.6,0.53,0.491,0.0,216
2,2026-04-08T17:00,2026-04-08T18:00,2,2,0.45,0.6,0.9,0.471,0.834,0.0,10
3,2026-04-09T05:00,2026-04-09T05:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,97
4,2026-04-13T07:00,2026-04-13T10:00,4,4,1.725,3.5,6.9,0.913,0.833,0.06,43
5,2026-04-15T06:00,2026-04-15T06:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,4
6,2026-04-15T11:00,2026-04-15T17:00,7,6,0.314,0.4,2.2,0.34,0.0,0.0,390
7,2026-05-02T00:00,2026-05-02T00:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,296
8,2026-05-14T09:00,2026-05-14T09:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,14
9,2026-05-15T00:00,2026-05-15T05:00,6,6,1.717,2.8,10.3,0.384,0.292,0.0105,2
10,2026-05-15T08:00,2026-05-15T12:00,5,5,0.7,1.0,3.5,0.303,0.04,0.0,3
11,2026-05-15T16:00,2026-05-15T16:00,1,1,0.7,0.7,0.7,0.0,0.286,0.0,2
12,2026-05-15T19:00,2026-05-16T11:00,17,15,1.647,5.3,28.0,1.024,0.33,0.018,25
13,2026-05-17T13:00,2026-05-17T15:00,3,3,0.567,1.0,1.7,0.668,0.083,0.0,88
14,2026-05-21T08:00,2026-05-21T14:00,7,7,1.757,3.6,12.3,0.672,0.132,0.0,70
15,2026-05-24T13:00,2026-05-24T21:00,9,9,0.833,1.5,7.5,0.509,0.0,0.0013,284
16,2026-06-05T18:00,2026-06-05T18:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
17,2026-06-05T21:00,2026-06-06T00:00,4,4,0.925,1.4,3.7,0.54,0.0,0.002,52
18,2026-06-08T05:00,2026-06-08T06:00,2,2,0.5,0.6,1.0,0.283,0.5,0.0,28
19,2026-06-09T11:00,2026-06-09T11:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,5
20,2026-06-09T17:00,2026-06-09T17:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,59
21,2026-06-12T05:00,2026-06-12T06:00,2,2,0.65,0.9,1.3,0.544,0.445,0.0,72
22,2026-06-15T07:00,2026-06-15T08:00,2,2,0.3,0.3,0.6,0.0,0.5,0.0,23
