event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-15T21:00,2026-01-15T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,6
1,2026-01-16T04:00,2026-01-16T04:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
2,2026-01-16T09:00,2026-01-16T09:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,130
3,2026-01-21T20:00,2026-01-21T20:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,14
4,2026-01-22T11:00,2026-01-22T13:00,3,3,0.6,0.8,1.8,0.441,0.0,0.0,97
5,2026-01-26T15:00,2026-01-26T15:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,3
6,2026-01-26T19:00,2026-01-26T19:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
7,2026-01-26T22:00,2026-01-27T01:00,4,4,0.4,0.5,1.6,0.204,0.0,0.0,8
8,2026-01-27T10:00,2026-01-27T12:00,3,2,0.267,0.3,0.8,0.217,0.5,0.0,3
9,2026-01-27T16:00,2026-01-27T18:00,3,3,0.333,0.4,1.0,0.173,0.222,0.0,67
10,2026-01-30T14:00,2026-01-30T21:00,8,6,0.6,1.0,4.8,0.471,0.888,0.0,12
11,2026-01-31T10:00,2026-01-31T12:00,3,3,0.6,1.2,1.8,0.866,0.528,0.0005,2
12,2026-01-31T15:00,2026-01-31T21:00,7,6,0.943,1.7,6.6,0.681,0.683,0.0015,3
13,2026-02-01T01:00,2026-02-01T01:00,1,1,0.7,0.7,0.7,0.0,0.143,0.0,2
14,2026-02-01T04:00,2026-02-01T05:00,2,2,5.9,6.5,11.8,0.144,0.966,0.0,2
15,2026-02-01T08:00,2026-02-01T09:00,2,2,1.05,1.6,2.1,0.741,1.0,0.0008,5
16,2026-02-01T15:00,2026-02-01T18:00,4,3,0.25,0.3,1.0,0.4,0.0,0.0,2
17,2026-02-01T21:00,2026-02-01T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,72
18,2026-02-04T22:00,2026-02-04T23:00,2,2,0.4,0.5,0.8,0.354,0.0,0.0,25
19,2026-02-06T01:00,2026-02-06T01:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,7
20,2026-02-06T09:00,2026-02-06T11:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,8
21,2026-02-06T20:00,2026-02-06T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,19
22,2026-02-07T16:00,2026-02-07T18:00,3,3,0.433,0.7,1.3,0.533,0.222,0.0,218
23,2026-02-16T21:00,2026-02-17T07:00,11,10,1.109,3.8,12.2,1.013,0.927,0.0,2
24,2026-02-17T10:00,2026-02-17T12:00,3,3,0.633,0.8,1.9,0.241,1.0,0.0,8
25,2026-02-17T21:00,2026-02-17T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,27
26,2026-02-19T01:00,2026-02-19T02:00,2,2,0.5,0.7,1.0,0.566,1.0,0.0,16
27,2026-02-19T19:00,2026-02-19T22:00,4,4,0.4,0.5,1.6,0.204,0.229,0.0,116
28,2026-02-24T19:00,2026-02-24T22:00,4,4,0.425,0.5,1.7,0.225,0.783,0.0,42
29,2026-02-26T17:00,2026-02-27T02:00,10,9,1.62,4.7,16.2,0.971,0.29,0.0555,10
30,2026-02-27T13:00,2026-02-27T14:00,2,2,0.4,0.5,0.8,0.354,0.1,0.0,3
31,2026-02-27T18:00,2026-02-27T18:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
32,2026-02-27T22:00,2026-02-28T01:00,4,4,1.15,2.1,4.6,0.592,0.639,0.0028,3
33,2026-02-28T05:00,2026-02-28T05:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,5
34,2026-02-28T11:00,2026-02-28T12:00,2,2,2.35,4.1,4.7,1.053,0.451,0.0,4
35,2026-02-28T17:00,2026-02-28T21:00,5,5,0.66,1.7,3.3,0.919,0.118,0.0,15
36,2026-03-01T13:00,2026-03-01T20:00,8,7,3.837,8.3,30.7,0.805,0.61,0.0808,7
37,2026-03-02T04:00,2026-03-02T06:00,3,3,1.567,3.3,4.7,0.992,0.768,0.0862,2
38,2026-03-02T09:00,2026-03-02T09:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,3
39,2026-03-02T13:00,2026-03-02T18:00,6,6,0.7,1.6,4.2,0.664,0.604,0.0053,4
40,2026-03-02T23:00,2026-03-03T02:00,4,4,0.875,1.5,3.5,0.547,0.25,0.0,20
41,2026-03-03T23:00,2026-03-04T01:00,3,2,0.3,0.5,0.9,0.667,0.933,0.0,9
42,2026-03-04T11:00,2026-03-04T13:00,3,2,0.233,0.4,0.7,0.892,0.0,0.0,2
43,2026-03-04T16:00,2026-03-04T20:00,5,4,0.36,0.5,1.8,0.373,0.287,0.0,4
44,2026-03-05T01:00,2026-03-05T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,6
45,2026-03-05T08:00,2026-03-05T09:00,2,2,0.65,1.0,1.3,0.761,1.0,0.0,9
46,2026-03-05T19:00,2026-03-05T20:00,2,2,0.5,0.5,1.0,0.0,0.1,0.0,3
47,2026-03-06T00:00,2026-03-06T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,90
48,2026-03-09T19:00,2026-03-10T01:00,7,7,1.171,2.1,8.2,0.53,0.0,0.0,394
49,2026-03-26T12:00,2026-03-27T06:00,19,18,2.758,10.0,52.4,1.164,0.793,0.09,38
50,2026-03-28T21:00,2026-03-28T22:00,2,2,0.7,1.0,1.4,0.606,0.1,0.0,31
51,2026-03-30T06:00,2026-03-30T09:00,4,3,1.125,2.3,4.5,0.969,0.617,0.1592,33
52,2026-03-31T19:00,2026-03-31T22:00,4,3,0.375,0.8,1.5,0.881,0.229,0.0,2
53,2026-04-01T01:00,2026-04-01T04:00,4,4,2.225,4.9,8.9,0.998,0.572,0.0049,2
54,2026-04-01T07:00,2026-04-01T07:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,30
55,2026-04-02T14:00,2026-04-03T01:00,12,12,3.433,8.3,41.2,0.725,0.354,0.09,4
56,2026-04-03T06:00,2026-04-03T10:00,5,5,1.24,2.6,6.2,0.779,0.992,0.214,4
57,2026-04-03T15:00,2026-04-04T00:00,10,10,4.26,7.5,42.6,0.572,0.631,0.205,3
58,2026-04-04T04:00,2026-04-04T06:00,3,3,1.4,2.7,4.2,0.866,0.506,0.0659,6
59,2026-04-04T13:00,2026-04-04T16:00,4,4,2.3,3.3,9.2,0.39,0.465,0.0315,11
60,2026-04-05T04:00,2026-04-05T06:00,3,3,0.533,0.7,1.6,0.39,0.159,0.0,4
61,2026-04-05T11:00,2026-04-05T13:00,3,3,0.9,1.6,2.7,0.729,0.771,0.096,3
62,2026-04-05T17:00,2026-04-06T00:00,8,7,4.175,8.3,33.4,0.748,0.495,0.15,19
63,2026-04-06T20:00,2026-04-07T09:00,14,12,1.979,8.2,27.7,1.347,0.174,0.259,13
64,2026-04-07T23:00,2026-04-08T02:00,4,4,6.275,18.3,25.1,1.317,0.887,0.005,175
