time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,55.0,13.5,2.13,5.3,81,0,29600.0,1,0.098
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,165.0,18.0,0.18,4.0,304,0,31580.0,1,0.098
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,290.0,20.5,1.13,4.6,311,0,31580.0,1,0.098
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,500.0,22.7,0.65,4.7,328,0,37360.0,1,0.098
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,765.0,24.3,0.87,4.7,283,0,37360.0,1,0.098
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,920.0,25.3,1.63,5.6,288,0,37380.0,1,0.098
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,1025.0,24.8,2.85,6.3,288,0,37380.0,1,0.096
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,825.0,24.2,2.57,7.5,294,0,37380.0,1,0.096
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,450.0,23.2,2.12,6.7,285,0,37380.0,1,0.096
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,80.0,21.5,1.05,5.3,265,0,31600.0,1,0.096
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,30.0,18.8,0.49,2.2,204,0,29620.0,0,0.096
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,20.0,17.5,0.49,1.2,156,0,29620.0,0,0.096
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,20.0,16.9,0.74,1.3,118,0,29620.0,0,0.091
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,20.0,15.3,1.01,2.3,117,0,27480.0,0,0.091
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,15.0,14.0,0.96,2.5,118,0,16500.0,0,0.091
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,15.0,12.7,0.75,2.3,127,10,10980.0,0,0.091
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,15.0,12.4,0.59,1.6,160,3,24940.0,0,0.091
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,25.0,12.1,1.4,2.2,178,0,24940.0,0,0.091
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,150.0,14.4,2.14,2.8,196,0,27480.0,0,0.084
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,125.0,14.1,2.31,4.2,210,1,24940.0,0,0.084
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,100.0,13.9,2.48,4.3,220,2,21420.0,0,0.084
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,10.0,70.0,13.6,1.8,4.3,236,21,16360.0,0,0.084
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,10.0,45.0,13.1,0.97,3.2,258,29,11100.0,0,0.084
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,11.0,15.0,12.8,0.34,1.5,153,36,11100.0,1,0.084
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,30.0,15.0,1.03,2.8,129,2,24940.0,1,0.08
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,320.0,18.2,0.51,3.5,191,8,24940.0,1,0.08
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,465.0,20.3,1.28,4.6,309,16,27480.0,1,0.08
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,11.0,595.0,21.9,1.61,5.4,324,71,29640.0,1,0.08
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.0,870.0,23.2,1.9,5.8,330,8,31620.0,1,0.08
