event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-18T06:00,2026-01-18T09:00,4,4,0.375,0.4,1.5,0.133,0.0,0.0,28
1,2026-01-19T14:00,2026-01-19T14:00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,146
2,2026-01-25T17:00,2026-01-25T19:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,93
3,2026-01-29T17:00,2026-01-29T21:00,5,5,0.4,0.5,2.0,0.177,0.0,0.0,588
4,2026-02-23T10:00,2026-02-23T19:00,10,10,1.2,3.7,12.0,0.81,0.11,0.0,46
5,2026-02-25T18:00,2026-02-25T21:00,4,4,1.075,2.0,4.3,0.753,0.025,0.0,72
6,2026-02-28T22:00,2026-03-01T22:00,25,23,0.748,1.8,18.7,0.519,0.0,0.0,113
7,2026-03-06T16:00,2026-03-06T16:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,191
8,2026-03-14T16:00,2026-03-14T18:00,3,3,0.333,0.4,1.0,0.173,0.0,0.0,8
9,2026-03-15T03:00,2026-03-15T03:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,11
10,2026-03-15T15:00,2026-03-15T16:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,35
11,2026-03-17T04:00,2026-03-17T14:00,11,10,0.882,2.3,9.7,0.842,0.0,0.0,294
12,2026-03-29T21:00,2026-03-30T08:00,12,12,1.108,3.1,13.3,0.722,0.042,0.0315,31
13,2026-03-31T16:00,2026-03-31T17:00,2,2,1.95,3.4,3.9,1.052,0.47,0.003,69
14,2026-04-03T15:00,2026-04-03T15:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,55
15,2026-04-05T23:00,2026-04-05T23:00,1,1,3.0,3.0,3.0,0.0,1.0,0.2825,55
16,2026-04-08T07:00,2026-04-08T07:00,1,1,1.8,1.8,1.8,0.0,0.0,0.0,4
17,2026-04-08T12:00,2026-04-08T15:00,4,3,1.8,5.1,7.2,1.273,0.443,0.075,175
18,2026-04-15T23:00,2026-04-15T23:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,5
19,2026-04-16T05:00,2026-04-16T05:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,82
20,2026-04-19T16:00,2026-04-19T23:00,8,7,1.1,4.3,8.8,1.213,0.658,0.0907,27
21,2026-04-21T03:00,2026-04-21T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,9
22,2026-04-21T13:00,2026-04-21T18:00,6,6,1.367,2.5,8.2,0.502,0.0,0.0006,118
23,2026-04-26T17:00,2026-04-26T19:00,3,3,1.8,4.2,5.4,1.167,0.643,0.232,128
24,2026-05-02T04:00,2026-05-02T09:00,6,6,0.817,1.5,4.9,0.636,0.0,0.0,215
25,2026-05-11T09:00,2026-05-11T10:00,2,2,3.85,7.3,7.7,1.267,0.875,0.51,2
26,2026-05-11T13:00,2026-05-11T13:00,1,1,4.2,4.2,4.2,0.0,1.0,0.324,147
27,2026-05-17T17:00,2026-05-18T21:00,29,28,1.562,4.4,45.3,0.68,0.408,0.1124,12
28,2026-05-19T10:00,2026-05-19T11:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,2
29,2026-05-19T14:00,2026-05-19T23:00,10,9,1.12,2.3,11.2,0.635,0.152,0.0065,4
30,2026-05-20T04:00,2026-05-20T05:00,2,2,0.35,0.4,0.7,0.202,0.125,0.0,47
31,2026-05-22T05:00,2026-05-22T07:00,3,3,1.033,2.0,3.1,0.812,0.406,0.0125,42
32,2026-05-24T02:00,2026-05-24T07:00,6,6,2.183,8.1,13.1,1.394,0.347,0.215,17
33,2026-05-25T01:00,2026-05-25T02:00,2,2,0.6,0.7,1.2,0.236,0.285,0.0,2
34,2026-05-25T05:00,2026-05-25T18:00,14,14,2.643,6.9,37.0,0.728,0.32,0.375,288
35,2026-06-06T19:00,2026-06-06T21:00,3,3,1.233,1.8,3.7,0.489,0.051,0.0,153
36,2026-06-13T07:00,2026-06-13T08:00,2,2,0.65,0.7,1.3,0.109,0.428,0.0,128
37,2026-06-18T17:00,2026-06-19T02:00,10,9,1.04,2.5,10.4,0.775,0.022,0.0075,8
38,2026-06-19T11:00,2026-06-19T16:00,6,6,0.783,1.4,4.7,0.562,0.708,0.0075,43
39,2026-06-21T12:00,2026-06-21T12:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,3
40,2026-06-21T16:00,2026-06-21T19:00,4,4,0.9,2.0,3.6,0.827,0.348,0.0,35
41,2026-06-23T07:00,2026-06-23T09:00,3,3,0.4,0.5,1.2,0.25,0.178,0.0,168
42,2026-06-30T10:00,2026-06-30T11:00,2,2,0.75,1.2,1.5,0.849,0.416,0.0067,2
43,2026-06-30T14:00,2026-06-30T14:00,1,1,0.9,0.9,0.9,0.0,0.556,0.0,6
44,2026-06-30T21:00,2026-06-30T21:00,1,1,0.9,0.9,0.9,0.0,0.111,0.0,9
45,2026-07-01T07:00,2026-07-01T10:00,4,3,0.575,1.0,2.3,0.672,0.05,0.0,32
46,2026-07-02T19:00,2026-07-03T01:00,7,7,1.414,4.5,9.9,1.034,0.263,0.1225,25
47,2026-07-04T03:00,2026-07-04T05:00,3,3,0.433,0.5,1.3,0.266,0.244,0.0,20
48,2026-07-05T02:00,2026-07-05T05:00,4,3,0.3,0.6,1.2,0.816,0.375,0.0,3
49,2026-07-05T09:00,2026-07-05T09:00,1,1,1.1,1.1,1.1,0.0,0.727,0.025,7
50,2026-07-05T17:00,2026-07-05T18:00,2,2,0.7,1.1,1.4,0.808,0.863,0.0194,8
51,2026-07-06T03:00,2026-07-06T03:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,3
52,2026-07-06T07:00,2026-07-06T09:00,3,3,2.167,3.2,6.5,0.414,0.896,0.528,4
53,2026-07-06T14:00,2026-07-06T15:00,2,2,1.45,1.8,2.9,0.341,0.955,0.178,2
54,2026-07-06T18:00,2026-07-07T05:00,12,12,6.375,19.2,76.5,0.808,0.484,0.351,41
55,2026-07-08T23:00,2026-07-08T23:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,9
56,2026-07-09T09:00,2026-07-09T09:00,1,1,1.0,1.0,1.0,0.0,0.8,0.0,67
57,2026-07-12T05:00,2026-07-12T06:00,2,2,0.5,0.7,1.0,0.566,0.452,0.0,2
58,2026-07-12T09:00,2026-07-13T08:00,24,23,2.675,16.3,64.2,1.563,0.425,0.59,29
59,2026-07-14T14:00,2026-07-14T16:00,3,3,2.067,3.5,6.2,0.728,0.561,0.625,6
60,2026-07-14T23:00,2026-07-14T23:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,6
61,2026-07-15T06:00,2026-07-15T07:00,2,2,0.7,1.0,1.4,0.606,0.375,0.0,7
62,2026-07-15T15:00,2026-07-15T15:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,8
63,2026-07-16T00:00,2026-07-16T00:00,1,1,1.6,1.6,1.6,0.0,1.0,0.15,9
64,2026-07-16T10:00,2026-07-16T13:00,4,4,2.0,3.7,8.0,0.695,0.612,0.675,4
65,2026-07-16T18:00,2026-07-16T18:00,1,1,0.9,0.9,0.9,0.0,0.667,0.0,2
66,2026-07-16T21:00,2026-07-16T22:00,2,2,1.6,2.8,3.2,1.061,0.822,0.3465,2
67,2026-07-17T01:00,2026-07-17T01:00,1,1,0.8,0.8,0.8,0.0,0.0,0.0,4
68,2026-07-17T06:00,2026-07-17T08:00,3,3,4.167,6.5,12.5,0.771,0.429,0.96,2
