time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2026-01-14T00:00,0.0,0.0,0.0,0.0,17.4,0.95,3.8,177,16,5340.0,1,0.21,0.0,185.0,0,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T01:00,0.0,0.0,0.0,0.0,18.5,0.85,3.8,208,5,32340.0,1,0.21,0.0,515.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T02:00,0.0,0.0,0.0,0.0,19.4,0.97,4.8,168,2,32340.0,1,0.208,0.0,585.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T03:00,0.0,0.0,0.0,0.0,20.3,0.88,4.9,137,0,34900.0,1,0.206,0.0,700.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T04:00,0.0,0.0,0.0,0.0,20.4,1.16,5.5,115,3,32460.0,1,0.202,0.0,605.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T05:00,0.0,0.0,0.0,0.0,20.6,1.19,5.6,123,98,32500.0,1,0.2,0.0,785.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T06:00,0.0,0.0,0.0,0.0,20.0,1.59,5.6,139,98,32540.0,1,0.196,0.0,760.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T07:00,0.0,0.0,0.0,0.0,19.4,1.1,5.5,150,59,32560.0,1,0.194,0.0,525.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T08:00,0.0,0.0,0.0,0.0,18.9,0.47,4.6,198,28,29560.0,1,0.193,0.0,375.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T09:00,0.0,0.0,0.0,0.0,18.0,0.32,3.0,288,33,29540.0,1,0.193,0.0,160.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T10:00,0.0,0.0,0.0,0.0,16.9,0.34,2.0,297,35,29540.0,0,0.193,0.0,20.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T11:00,0.0,0.0,0.0,0.0,17.3,0.14,1.8,315,38,29500.0,0,0.194,0.0,20.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T12:00,0.0,0.0,0.0,0.0,17.7,0.07,1.7,315,46,32500.0,0,0.195,0.0,15.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T13:00,0.0,0.0,0.0,0.0,16.8,0.41,2.2,284,45,29480.0,0,0.196,0.0,30.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T14:00,0.0,0.0,0.0,0.0,17.2,0.59,2.4,290,35,29480.0,0,0.196,0.0,35.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T15:00,0.0,0.0,0.0,0.0,16.6,0.51,2.2,299,48,29480.0,0,0.196,0.0,30.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T16:00,0.0,0.0,0.0,0.0,16.9,0.87,2.4,301,63,1480.0,0,0.196,0.0,35.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T17:00,0.0,0.0,0.0,0.0,17.1,0.67,2.4,297,72,600.0,0,0.196,0.0,25.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T18:00,0.0,0.0,0.0,0.0,16.5,0.55,2.4,270,72,440.0,0,0.195,0.0,25.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T19:00,0.0,0.0,0.0,0.0,16.4,0.62,2.7,284,33,860.0,0,0.195,0.0,35.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T20:00,0.0,0.0,0.0,0.0,15.6,0.59,2.2,290,32,1540.0,0,0.195,0.0,25.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T21:00,0.0,0.0,0.0,0.0,16.0,0.81,2.0,292,20,9320.0,0,0.196,0.0,30.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T22:00,0.0,0.0,0.0,0.0,16.2,0.95,2.6,288,21,29000.0,0,0.196,0.0,30.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T23:00,0.0,0.0,0.0,0.0,16.4,0.85,2.5,291,26,29080.0,1,0.196,0.0,30.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T00:00,0.0,0.0,0.0,0.0,18.5,1.35,2.8,272,31,2860.0,1,0.196,0.0,55.0,0,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T01:00,0.0,0.0,0.0,0.0,20.3,1.17,4.4,260,27,35100.0,1,0.195,0.0,290.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T02:00,0.0,0.0,0.0,0.0,20.9,1.04,4.7,253,15,35140.0,1,0.193,0.0,495.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T03:00,0.0,0.0,0.0,0.0,21.2,0.78,4.7,285,23,35180.0,1,0.19,0.0,505.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T04:00,0.0,0.0,0.0,0.0,21.1,1.28,4.6,301,34,35240.0,1,0.188,0.0,500.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T05:00,0.0,0.0,0.0,0.0,21.0,1.43,4.6,295,77,35280.0,1,0.185,0.0,530.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T06:00,0.0,0.0,0.0,0.0,20.3,1.88,4.6,295,66,32740.0,1,0.192,0.0,420.0,0,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T07:00,0.0,0.0,0.0,0.0,20.1,1.69,4.4,289,72,20020.0,1,0.191,0.0,350.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T08:00,0.0,0.0,0.0,0.0,19.7,2.17,3.8,293,91,28640.0,1,0.19,0.0,215.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T09:00,0.0,0.0,0.0,0.0,19.4,2.04,3.9,295,100,28060.0,1,0.189,0.0,120.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T10:00,0.0,0.0,0.0,0.0,19.0,1.14,3.5,293,100,28520.0,0,0.189,0.0,30.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T11:00,0.0,0.0,0.0,0.0,18.1,0.45,2.4,297,100,32760.0,0,0.189,0.0,20.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T12:00,0.0,0.0,0.0,0.0,18.7,1.12,1.8,249,100,11160.0,0,0.181,0.0,115.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T13:00,0.1,0.0,0.0,0.0,19.2,1.35,4.0,266,100,11760.0,0,0.182,0.0,75.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-15T14:00,0.0,0.0,0.0,0.0,19.1,0.91,3.5,279,100,2080.0,0,0.182,0.0,35.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T15:00,0.0,0.0,0.0,0.0,19.0,1.04,2.9,287,100,460.0,0,0.183,0.0,35.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T16:00,0.0,0.0,0.0,0.0,18.8,0.63,2.9,288,100,360.0,0,0.183,0.0,25.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T17:00,0.0,0.0,0.0,0.0,19.0,0.72,2.7,295,100,1200.0,0,0.183,0.0,35.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T18:00,0.0,0.0,0.0,0.0,18.5,0.5,2.7,276,100,4740.0,0,0.18,10.0,30.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T19:00,0.2,0.5,0.0,0.0,18.6,0.62,2.8,284,100,7780.0,0,0.183,10.0,60.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-15T20:00,0.3,0.333,0.0,0.0,18.5,0.63,2.8,299,100,8020.0,0,0.186,10.0,35.0,0,0.0,51,1,0.2,0,0,5,7,0.524,0.339
2026-01-15T21:00,0.2,0.5,0.0,0.0,17.7,0.35,2.5,315,100,9740.0,0,0.188,10.0,20.0,0,0.0,51,0,0.1,0,1,4,7,0.524,0.44
2026-01-15T22:00,0.4,0.25,0.0,0.0,18.0,0.42,2.1,315,100,4480.0,0,0.194,10.0,35.0,0,0.0,51,1,0.3,0,2,3,7,0.524,0.29
2026-01-15T23:00,0.8,0.25,0.0,0.0,17.7,0.51,2.0,299,100,4920.0,1,0.204,10.0,55.0,0,0.0,53,1,0.6,0,3,2,7,0.524,0.29
2026-01-16T00:00,0.6,0.167,0.0,0.0,19.8,0.72,2.0,304,100,8800.0,1,0.181,20.0,45.0,0,0.0,53,1,0.5,0,4,1,7,0.524,0.24
2026-01-16T01:00,0.1,0.0,0.0,0.0,20.6,0.95,3.8,180,100,12900.0,1,0.182,30.0,150.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-16T02:00,0.0,0.0,0.0,0.0,20.8,0.83,4.3,147,100,16040.0,1,0.181,40.0,135.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T03:00,0.0,0.0,0.0,0.0,21.0,0.74,4.3,70,97,18600.0,1,0.18,0.0,205.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T04:00,0.0,0.0,0.0,0.0,20.9,0.89,5.0,52,95,18440.0,1,0.178,0.0,245.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T05:00,0.2,0.5,0.0,0.0,20.0,0.83,4.8,327,93,7100.0,1,0.179,0.0,145.0,1,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-16T06:00,0.1,0.0,0.0,0.0,20.1,1.25,4.0,307,98,12200.0,1,0.169,0.0,215.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-16T07:00,0.1,0.0,0.0,0.0,20.2,1.28,3.3,321,100,9400.0,1,0.169,0.0,190.0,1,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-16T08:00,0.4,0.0,0.0,0.0,20.0,1.46,3.2,322,100,4440.0,1,0.172,0.0,175.0,1,0.0,51,1,0.4,1,0,3,2,0.79,0.211
2026-01-16T09:00,2.7,0.63,0.0,0.0,19.2,1.22,3.0,305,100,3320.0,1,0.205,0.0,70.0,1,0.0,81,1,1.0,1,1,2,2,0.79,0.589
2026-01-16T10:00,1.3,0.385,0.0,0.0,19.2,0.79,2.9,325,100,6100.0,0,0.221,0.0,40.0,0,0.0,80,1,0.8,1,2,1,2,0.79,0.442
2026-01-16T11:00,0.2,0.0,0.0,0.0,19.3,0.85,3.2,360,100,8820.0,0,0.223,0.0,55.0,0,0.0,51,0,0.2,-1,-1,-1,-1,0.0,0.0
2026-01-16T12:00,0.2,0.5,0.0,0.0,19.1,0.96,3.2,51,100,7260.0,0,0.183,0.0,95.0,0,0.0,51,0,0.1,-1,-1,-1,-1,0.0,0.0
2026-01-16T13:00,0.3,0.0,0.0,0.0,19.2,1.01,3.7,20,100,6480.0,0,0.186,0.0,120.0,0,0.0,51,1,0.3,2,0,1,6,0.0,0
2026-01-16T14:00,0.2,0.0,0.0,0.0,19.1,0.87,3.4,59,98,9260.0,0,0.188,20.0,190.0,0,0.0,51,0,0.2,-1,-1,-1,-1,0.0,0.0
2026-01-16T15:00,0.0,0.0,0.0,0.0,19.2,0.22,3.3,63,100,11020.0,0,0.188,40.0,80.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T16:00,0.0,0.0,0.0,0.0,18.9,0.78,2.8,40,98,13500.0,0,0.189,30.0,160.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T17:00,0.0,0.0,0.0,0.0,19.4,1.07,4.1,62,98,19740.0,0,0.189,20.0,230.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T18:00,0.0,0.0,0.0,0.0,18.2,0.4,4.2,360,100,7440.0,0,0.189,0.0,130.0,0,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T19:00,0.2,0.0,0.0,0.0,18.8,0.16,2.1,288,100,7260.0,0,0.192,0.0,45.0,0,0.0,51,0,0.2,-1,-1,-1,-1,0.0,0.0
2026-01-16T20:00,0.3,0.0,0.0,0.0,18.6,0.21,1.7,256,100,4220.0,0,0.196,0.0,20.0,0,0.0,51,1,0.3,3,0,3,2,0.533,0.142
2026-01-16T21:00,0.7,0.0,0.0,0.0,18.7,0.25,1.8,259,100,5080.0,0,0.206,10.0,25.0,0,0.0,53,1,0.7,3,1,2,2,0.533,0.142
