time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,30.0,10.8,1.3,2.5,62,4,9560.0,1,0.203
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,75.0,14.0,1.06,3.0,98,0,14440.0,1,0.203
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,235.0,17.2,1.45,4.3,92,0,15720.0,1,0.202
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,425.0,19.7,1.87,5.3,82,0,17840.0,1,0.202
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,785.0,21.3,1.78,5.3,100,0,17840.0,1,0.2
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,990.0,22.3,1.93,5.7,111,0,20040.0,1,0.198
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1120.0,22.8,1.6,5.7,122,0,20040.0,1,0.197
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1165.0,23.2,1.28,4.9,121,0,20040.0,1,0.196
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1260.0,23.2,1.03,4.2,113,0,20040.0,1,0.194
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,1035.0,22.2,1.86,3.6,144,0,20040.0,1,0.194
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,225.0,18.5,3.31,6.2,160,0,17840.0,0,0.193
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,170.0,16.2,1.54,6.0,151,0,16860.0,0,0.193
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,35.0,16.1,0.67,2.5,132,20,16860.0,0,0.183
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,45.0,15.6,1.1,1.6,129,16,16860.0,0,0.183
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,25.0,15.0,0.68,1.6,107,0,16860.0,0,0.183
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,20.0,14.2,0.57,1.0,128,0,15740.0,0,0.183
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,13.7,0.21,0.9,104,0,15740.0,0,0.183
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,10.0,13.3,0.1,0.4,360,0,15740.0,0,0.183
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,15.0,12.7,0.36,0.5,146,4,15740.0,0,0.184
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,30.0,11.6,1.08,1.7,112,5,12520.0,0,0.184
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,15.0,11.3,0.39,1.7,50,12,12520.0,0,0.184
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,15.0,11.0,0.47,0.9,162,20,11180.0,0,0.184
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,10.0,11.1,0.11,0.9,27,4,11180.0,0,0.184
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,10.0,10.8,0.18,0.4,236,4,9600.0,0,0.185
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,15.0,12.1,0.65,0.6,293,0,9600.0,1,0.188
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,65.0,15.3,0.43,2.1,144,0,14480.0,1,0.188
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,225.0,18.1,1.23,4.1,122,0,15760.0,1,0.188
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,380.0,20.5,0.95,4.2,108,0,16900.0,1,0.187
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,735.0,22.7,0.51,4.0,101,0,17880.0,1,0.186
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1350.0,24.1,0.32,3.5,108,0,20100.0,1,0.185
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1610.0,24.5,0.57,3.5,105,0,20100.0,1,0.185
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1890.0,25.2,0.85,3.6,130,0,20100.0,1,0.184
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1910.0,24.8,1.32,3.8,143,0,20100.0,1,0.183
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,290.0,23.7,0.96,3.8,137,2,20100.0,1,0.182
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,45.0,20.5,1.14,1.9,105,5,20100.0,0,0.182
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,110.0,18.9,2.08,3.3,120,2,17900.0,0,0.182
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,55.0,16.8,1.07,3.9,152,0,15780.0,0,0.176
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,25.0,15.9,0.74,1.4,110,0,15780.0,0,0.176
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,35.0,15.1,1.45,2.5,88,0,14500.0,0,0.176
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,50.0,14.5,1.8,3.4,77,0,12540.0,0,0.177
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,40.0,14.0,1.17,3.2,70,0,12540.0,0,0.177
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,30.0,13.5,0.74,2.0,42,0,12540.0,0,0.177
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,15.0,13.7,0.18,1.3,34,0,14520.0,0,0.179
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,15.0,13.2,0.16,0.4,108,0,12540.0,0,0.18
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,15.0,12.8,0.25,0.5,90,0,12540.0,0,0.18
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,15.0,12.4,0.34,0.6,117,0,11220.0,0,0.18
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,25.0,11.9,0.67,1.1,103,0,11220.0,0,0.18
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,35.0,11.2,1.24,2.0,104,0,9620.0,0,0.18
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,30.0,12.3,1.4,2.4,86,0,7180.0,1,0.177
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,80.0,15.6,0.82,3.0,104,0,14520.0,1,0.178
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,200.0,19.4,0.81,3.5,101,0,16940.0,1,0.177
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,430.0,22.3,1.25,4.4,90,0,17940.0,1,0.177
