time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,270.0,-1.7,2.97,3.8,224,67,23520.0,1,0.142
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,405.0,-0.7,3.54,6.4,234,77,23520.0,1,0.142
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,725.0,1.3,4.03,9.5,225,86,23140.0,1,0.142
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,790.0,2.5,6.39,13.8,217,100,25140.0,1,0.142
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,855.0,3.0,6.03,14.2,210,100,25140.0,1,0.142
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,685.0,2.8,4.85,13.1,199,100,23520.0,1,0.142
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,575.0,2.2,4.76,10.6,192,100,23400.0,1,0.142
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,525.0,1.8,4.75,10.9,197,100,21000.0,1,0.142
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,440.0,1.4,4.32,10.3,196,100,19320.0,1,0.142
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,490.0,1.2,4.97,9.3,195,100,16980.0,0,0.142
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,455.0,1.0,4.37,9.3,216,100,16980.0,0,0.142
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,360.0,0.7,3.82,8.0,222,99,16980.0,0,0.142
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,250.0,-0.1,3.15,7.0,223,99,16980.0,0,0.142
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,255.0,-0.1,3.65,6.6,228,100,11700.0,0,0.142
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,200.0,-0.5,3.61,7.4,228,100,13280.0,0,0.142
2026-01-14T15:00,0.1,0.0,0.0,0.07,0.1,0.0,71,0.0,,155.0,-0.7,3.18,6.7,226,100,6220.0,0,0.142
2026-01-14T16:00,0.1,0.0,0.0,0.07,0.1,0.0,71,0.0,,160.0,-0.8,3.35,6.1,232,1,15540.0,0,0.142
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,150.0,-1.5,3.76,6.8,243,0,19300.0,0,0.142
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,130.0,-2.1,3.76,6.8,253,0,20980.0,0,0.142
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,115.0,-2.6,3.69,6.9,261,0,23500.0,0,0.142
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,95.0,-2.5,2.98,6.8,301,0,25120.0,0,0.142
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,240.0,-3.3,5.11,9.5,14,0,23500.0,0,0.142
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,275.0,-6.0,6.38,12.2,6,2,23500.0,0,0.142
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,325.0,-6.9,6.65,13.1,1,23,26420.0,0,0.142
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,350.0,-6.9,6.26,13.5,3,3,26420.0,1,0.142
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,400.0,-6.4,5.77,12.5,9,13,26420.0,1,0.142
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,465.0,-5.2,5.18,12.5,10,30,27500.0,1,0.142
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,530.0,-3.9,4.65,11.6,12,1,27500.0,1,0.142
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,590.0,-2.7,4.48,10.8,16,0,29880.0,1,0.142
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,635.0,-1.9,4.44,10.6,19,5,29860.0,1,0.142
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,630.0,-1.8,4.99,10.8,27,66,29860.0,1,0.142
