event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-22T00:00,2026-02-22T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,818
1,2026-03-28T03:00,2026-03-28T03:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,28
2,2026-03-29T08:00,2026-03-29T09:00,2,2,1.0,1.1,2.0,0.141,0.0,0.0,292
3,2026-04-10T14:00,2026-04-10T20:00,7,7,0.557,0.8,3.9,0.325,0.0,0.0,5
4,2026-04-11T02:00,2026-04-11T02:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,149
5,2026-04-17T08:00,2026-04-17T08:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,3
6,2026-04-17T12:00,2026-04-17T14:00,3,3,0.567,0.7,1.7,0.27,0.694,0.0,6
7,2026-04-17T21:00,2026-04-17T22:00,2,2,0.6,0.7,1.2,0.236,0.143,0.0,26
8,2026-04-19T01:00,2026-04-19T09:00,9,9,1.189,2.3,10.7,0.579,0.555,0.0,13
9,2026-04-19T23:00,2026-04-19T23:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
10,2026-04-20T02:00,2026-04-20T03:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,106
11,2026-04-24T14:00,2026-04-24T16:00,3,3,0.767,1.2,2.3,0.588,1.0,0.0015,175
12,2026-05-02T00:00,2026-05-02T00:00,1,1,1.3,1.3,1.3,0.0,1.0,0.0,251
13,2026-05-12T12:00,2026-05-12T12:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,63
14,2026-05-15T04:00,2026-05-15T05:00,2,2,0.7,1.0,1.4,0.606,0.875,0.0,2
15,2026-05-15T08:00,2026-05-15T10:00,3,3,0.867,1.2,2.6,0.405,0.839,0.0,5
16,2026-05-15T16:00,2026-05-15T16:00,1,1,2.0,2.0,2.0,0.0,0.95,0.0,40
17,2026-05-17T09:00,2026-05-17T11:00,3,3,0.433,0.6,1.3,0.353,0.556,0.0,6
18,2026-05-17T18:00,2026-05-17T20:00,3,3,0.633,1.0,1.9,0.555,0.467,0.0,9
19,2026-05-18T06:00,2026-05-18T09:00,4,4,0.4,0.5,1.6,0.289,0.0,0.0,110
20,2026-05-23T00:00,2026-05-23T00:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
21,2026-05-23T03:00,2026-05-23T06:00,4,3,0.325,0.5,1.3,0.525,0.0,0.0,111
22,2026-05-27T22:00,2026-05-27T23:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,33
23,2026-05-29T09:00,2026-05-29T09:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,49
24,2026-05-31T11:00,2026-05-31T14:00,4,3,0.525,1.3,2.1,1.059,0.088,0.0049,27
25,2026-06-01T18:00,2026-06-02T06:00,13,10,0.9,3.7,11.7,1.064,0.459,0.0001,3
26,2026-06-02T10:00,2026-06-02T10:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,30
27,2026-06-03T17:00,2026-06-05T02:00,34,33,1.794,4.5,61.0,0.658,0.094,0.0053,4
28,2026-06-05T07:00,2026-06-05T12:00,6,6,0.717,1.3,4.3,0.462,0.028,0.0019,4
29,2026-06-05T17:00,2026-06-06T05:00,13,12,0.577,1.3,7.5,0.481,0.385,0.0011,15
30,2026-06-06T21:00,2026-06-06T23:00,3,3,2.333,3.2,7.0,0.412,0.616,0.0028,2
31,2026-06-07T02:00,2026-06-07T22:00,21,20,0.971,1.9,20.4,0.611,0.426,0.0225,5
32,2026-06-08T04:00,2026-06-08T06:00,3,2,0.267,0.4,0.8,0.573,0.778,0.0,11
33,2026-06-08T18:00,2026-06-08T18:00,1,1,0.7,0.7,0.7,0.0,0.857,0.0,12
34,2026-06-09T07:00,2026-06-09T08:00,2,2,0.35,0.4,0.7,0.202,0.25,0.0,21
35,2026-06-10T06:00,2026-06-10T07:00,2,2,0.8,1.3,1.6,0.884,0.5,0.0214,47
36,2026-06-12T07:00,2026-06-12T08:00,2,2,1.05,1.8,2.1,1.01,0.666,0.116,80
37,2026-06-15T17:00,2026-06-15T20:00,4,4,0.625,0.9,2.5,0.355,0.0,0.0,5
38,2026-06-16T02:00,2026-06-16T03:00,2,2,0.5,0.5,1.0,0.0,0.3,0.0,2
39,2026-06-16T06:00,2026-06-16T08:00,3,3,2.267,4.1,6.8,0.816,0.793,0.1705,20
40,2026-06-17T05:00,2026-06-17T15:00,11,11,0.755,1.9,8.3,0.579,0.177,0.0214,14
41,2026-06-18T06:00,2026-06-18T09:00,4,3,1.15,3.6,4.6,1.431,0.812,0.3152,7
42,2026-06-18T17:00,2026-06-18T19:00,3,3,0.933,1.3,2.8,0.433,0.472,0.0146,31
43,2026-06-20T03:00,2026-06-20T05:00,3,2,0.867,2.0,2.6,1.156,0.533,0.0988,2
44,2026-06-20T08:00,2026-06-20T08:00,1,1,0.9,0.9,0.9,0.0,0.556,0.0,5
45,2026-06-20T14:00,2026-06-20T16:00,3,3,0.433,0.6,1.3,0.353,0.139,0.0,15
46,2026-06-21T08:00,2026-06-21T08:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,11
47,2026-06-21T20:00,2026-06-22T05:00,10,10,0.9,2.2,9.0,0.681,0.285,0.042,69
48,2026-06-25T03:00,2026-06-25T03:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,2
49,2026-06-25T06:00,2026-06-25T06:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,32
50,2026-06-26T15:00,2026-06-26T15:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,134
51,2026-07-02T06:00,2026-07-02T07:00,2,2,0.85,1.1,1.7,0.416,0.834,0.0148,2
52,2026-07-02T10:00,2026-07-02T10:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,15
