time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,21.0,15.0,3.9,1.13,1.6,167,100,640.0,1,0.361
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,21.0,65.0,7.4,1.03,3.4,203,20,12220.0,1,0.361
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,135.0,11.4,0.86,3.8,216,0,15420.0,1,0.361
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,230.0,15.2,0.99,4.2,225,0,16500.0,1,0.36
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,390.0,18.1,1.28,4.7,211,0,17420.0,1,0.358
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,730.0,20.3,1.92,5.5,189,0,19340.0,1,0.357
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,920.0,21.1,2.27,6.1,188,0,19340.0,1,0.354
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,1105.0,22.2,1.41,5.7,197,0,19340.0,1,0.352
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,1150.0,22.2,0.95,4.1,180,0,19340.0,1,0.351
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,15.0,20.4,0.18,2.4,146,0,19360.0,1,0.351
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,15.0,17.1,0.43,0.8,159,0,17460.0,0,0.351
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,25.0,15.1,1.04,1.6,163,0,17460.0,0,0.351
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,30.0,13.9,1.59,2.4,152,0,16540.0,0,0.343
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,35.0,13.7,1.03,3.2,141,16,16540.0,0,0.343
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,45.0,12.1,1.5,2.0,334,16,15460.0,0,0.343
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,15.0,12.3,0.5,2.7,84,3,15460.0,0,0.343
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,20.0,11.5,0.89,1.6,106,0,15480.0,0,0.343
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,10.0,11.0,0.27,1.4,158,5,15480.0,0,0.343
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,22.0,15.0,10.4,0.29,0.7,301,42,14220.0,0,0.343
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,22.0,35.0,9.4,1.2,2.1,180,13,14220.0,0,0.343
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,45.0,8.8,1.1,2.1,175,0,14220.0,0,0.343
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,60.0,8.5,1.99,3.7,162,2,11000.0,0,0.343
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,55.0,7.4,1.43,3.6,192,13,11000.0,0,0.343
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,22.0,50.0,7.7,1.61,3.1,164,21,9400.0,0,0.343
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,22.0,40.0,9.1,1.43,3.1,144,62,9400.0,1,0.342
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,22.0,85.0,11.9,1.39,3.4,165,27,14240.0,1,0.342
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,150.0,15.0,1.02,3.8,191,15,15520.0,1,0.342
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,23.0,230.0,17.9,1.17,4.5,190,20,16620.0,1,0.341
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,380.0,20.3,0.95,4.6,198,2,16620.0,1,0.339
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,23.0,595.0,21.9,0.45,4.3,270,0,17560.0,1,0.338
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,23.0,875.0,22.2,0.89,3.8,344,0,17560.0,1,0.336
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,1235.0,22.9,1.0,4.1,6,0,19500.0,1,0.334
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,23.0,1205.0,22.7,1.04,3.8,35,5,19500.0,1,0.333
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,23.0,105.0,20.6,1.43,3.0,61,20,17580.0,1,0.333
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,30.0,60.0,17.5,1.8,3.0,46,23,16640.0,0,0.333
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,23.0,45.0,16.2,1.79,3.1,60,23,16660.0,0,0.333
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,23.0,35.0,15.4,1.68,3.3,67,100,16660.0,0,0.326
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,13.0,25.0,16.3,1.17,2.9,70,100,15560.0,0,0.326
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,13.0,25.0,15.7,1.27,2.1,81,100,15560.0,0,0.326
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,13.0,40.0,15.6,2.08,3.6,80,18,15580.0,0,0.326
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,13.0,40.0,14.0,1.8,3.6,88,52,15580.0,0,0.326
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,13.0,20.0,13.5,0.67,3.2,63,100,14300.0,0,0.326
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,13.0,35.0,13.7,0.6,1.1,312,99,14300.0,0,0.322
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,13.0,30.0,13.7,0.54,0.9,34,100,14300.0,0,0.322
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,13.0,15.0,13.6,0.22,0.9,117,100,14320.0,0,0.322
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,13.0,20.0,13.1,0.61,1.0,145,100,14320.0,0,0.322
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,13.0,25.0,13.2,0.56,1.3,100,99,14320.0,0,0.322
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.0,20.0,13.1,0.4,1.0,90,2,14320.0,0,0.322
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.0,15.0,12.5,0.25,1.4,90,3,14320.0,1,0.318
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,105.0,15.4,0.87,3.0,156,14,15620.0,1,0.318
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,195.0,18.0,1.12,4.1,212,39,16720.0,1,0.317
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,330.0,20.3,1.07,4.3,208,50,16740.0,1,0.316
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,595.0,22.0,1.0,4.3,217,76,17680.0,1,0.315
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,685.0,22.7,1.24,4.4,230,100,17680.0,1,0.313
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,630.0,22.3,1.07,4.4,242,100,17700.0,1,0.31
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,575.0,22.7,0.58,3.3,301,70,17700.0,1,0.31
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,490.0,22.7,0.79,2.8,325,100,17700.0,1,0.309
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,45.0,20.4,0.87,2.4,13,100,17700.0,1,0.309
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,0.0,25.0,19.4,0.6,1.3,24,100,17720.0,0,0.309
2026-01-16T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,0.0,70.0,18.7,1.4,2.1,4,100,16780.0,0,0.309
2026-01-16T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,215.0,18.4,3.07,4.6,12,100,16780.0,0,0.298
2026-01-16T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,210.0,18.0,3.0,6.3,18,100,15660.0,0,0.297
2026-01-16T14:00,0.1,0.1,0.0,0.0,0.0,0.0,51,20.0,,210.0,16.8,3.05,5.5,18,100,7100.0,0,0.298
