event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-25T16:00,2026-01-25T16:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,92
1,2026-01-29T13:00,2026-01-29T13:00,1,1,0.9,0.9,0.9,0.0,0.0,0.0,2
2,2026-01-29T16:00,2026-01-29T17:00,2,2,0.55,0.7,1.1,0.386,0.0,0.0,3
3,2026-01-29T21:00,2026-01-29T21:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,18
4,2026-01-30T16:00,2026-01-30T20:00,5,5,0.9,1.4,4.5,0.423,0.736,0.002,7
5,2026-01-31T04:00,2026-01-31T05:00,2,2,0.65,0.7,1.3,0.109,0.477,0.0,16
6,2026-01-31T22:00,2026-01-31T22:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,4
7,2026-02-01T03:00,2026-02-01T03:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,135
8,2026-02-06T19:00,2026-02-06T20:00,2,2,0.65,0.8,1.3,0.326,0.325,0.0,2
9,2026-02-06T23:00,2026-02-07T01:00,3,3,0.4,0.5,1.2,0.25,0.111,0.0,16
10,2026-02-07T18:00,2026-02-07T18:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,202
11,2026-02-16T05:00,2026-02-16T07:00,3,3,0.4,0.5,1.2,0.25,0.644,0.0,142
12,2026-02-22T06:00,2026-02-22T08:00,3,3,0.433,0.6,1.3,0.353,0.056,0.0,37
13,2026-02-23T22:00,2026-02-24T05:00,8,6,0.75,2.7,6.0,1.186,0.677,0.0021,55
14,2026-02-26T13:00,2026-02-26T13:00,1,1,0.9,0.9,0.9,0.0,1.0,0.0,4
15,2026-02-26T18:00,2026-02-26T18:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,4
16,2026-02-26T23:00,2026-02-26T23:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,18
17,2026-02-27T18:00,2026-02-28T13:00,20,19,1.235,4.6,24.7,1.022,0.235,0.0028,2
18,2026-02-28T16:00,2026-02-28T22:00,7,6,1.214,5.8,8.5,1.679,0.118,0.035,35
19,2026-03-02T10:00,2026-03-02T18:00,9,8,2.622,9.4,23.6,1.07,0.243,0.06,12
20,2026-03-03T07:00,2026-03-03T09:00,3,2,0.3,0.4,0.9,0.577,0.083,0.0,3
21,2026-03-03T13:00,2026-03-03T14:00,2,2,1.15,1.2,2.3,0.061,0.776,0.0003,3
22,2026-03-03T18:00,2026-03-03T22:00,5,5,1.14,2.6,5.7,0.791,0.08,0.012,3
23,2026-03-04T02:00,2026-03-04T03:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,3
24,2026-03-04T07:00,2026-03-04T07:00,1,1,0.8,0.8,0.8,0.0,0.0,0.0,7
25,2026-03-04T15:00,2026-03-04T22:00,8,8,1.837,4.6,14.7,0.864,0.235,0.0023,2
26,2026-03-05T01:00,2026-03-05T01:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,487
27,2026-03-25T09:00,2026-03-25T10:00,2,2,0.5,0.6,1.0,0.283,0.0,0.0,97
28,2026-03-29T12:00,2026-03-29T12:00,1,1,1.9,1.9,1.9,0.0,0.947,0.0619,48
29,2026-03-31T13:00,2026-03-31T17:00,5,5,3.5,8.4,17.5,0.892,0.571,0.38,27
