event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-21T18:00,2026-02-21T20:00,3,3,1.1,1.6,3.3,0.636,0.96,0.001,91
1,2026-02-25T16:00,2026-02-25T16:00,1,1,0.4,0.4,0.4,0.0,0.25,0.0,579
2,2026-03-21T20:00,2026-03-21T21:00,2,2,0.6,0.9,1.2,0.707,0.805,0.0,4
3,2026-03-22T02:00,2026-03-22T04:00,3,3,0.4,0.5,1.2,0.25,0.317,0.0,171
4,2026-03-29T08:00,2026-03-29T09:00,2,2,0.8,1.0,1.6,0.354,0.0,0.0,114
5,2026-04-03T04:00,2026-04-03T13:00,10,10,2.39,3.8,23.9,0.45,0.21,0.0035,35
6,2026-04-05T01:00,2026-04-05T01:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,108
7,2026-04-09T14:00,2026-04-09T17:00,4,4,0.425,0.5,1.7,0.225,0.0,0.0,3
8,2026-04-09T21:00,2026-04-09T23:00,3,3,0.433,0.5,1.3,0.133,0.0,0.0,6
9,2026-04-10T06:00,2026-04-10T10:00,5,5,0.54,0.8,2.7,0.465,0.17,0.0,3
10,2026-04-10T14:00,2026-04-10T16:00,3,3,1.5,1.8,4.5,0.346,0.62,0.002,148
11,2026-04-16T21:00,2026-04-16T23:00,3,2,0.3,0.4,0.9,0.333,0.0,0.0,13
12,2026-04-17T13:00,2026-04-17T13:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,53
13,2026-04-19T19:00,2026-04-19T19:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,107
14,2026-04-24T07:00,2026-04-24T11:00,5,4,2.68,9.0,13.4,1.417,1.0,0.025,24
15,2026-04-25T12:00,2026-04-25T20:00,9,8,1.167,2.2,10.5,0.647,0.41,0.0015,234
16,2026-05-05T15:00,2026-05-05T16:00,2,2,1.2,1.5,2.4,0.354,1.0,0.0,2
17,2026-05-05T19:00,2026-05-06T03:00,9,9,1.711,2.8,15.4,0.417,0.362,0.001,3
18,2026-05-06T07:00,2026-05-06T11:00,5,5,0.56,0.8,2.8,0.37,0.0,0.0,19
19,2026-05-07T07:00,2026-05-07T10:00,4,4,2.125,6.5,8.5,1.389,0.814,0.0064,8
20,2026-05-07T19:00,2026-05-07T20:00,2,2,0.55,0.7,1.1,0.386,0.125,0.0,60
21,2026-05-10T09:00,2026-05-10T09:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,58
22,2026-05-12T20:00,2026-05-12T20:00,1,1,0.8,0.8,0.8,0.0,0.75,0.0,2
23,2026-05-12T23:00,2026-05-12T23:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,95
24,2026-05-16T23:00,2026-05-17T01:00,3,2,0.333,0.5,1.0,0.458,0.267,0.0,13
25,2026-05-17T15:00,2026-05-18T11:00,21,20,0.952,2.3,20.0,0.615,0.132,0.0011,103
26,2026-05-22T19:00,2026-05-23T01:00,7,6,1.371,3.5,9.6,1.061,0.169,0.0,6
27,2026-05-23T08:00,2026-05-23T08:00,1,1,0.6,0.6,0.6,0.0,0.167,0.0,47
28,2026-05-25T08:00,2026-05-25T08:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,2
29,2026-05-25T11:00,2026-05-25T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,44
30,2026-05-27T08:00,2026-05-27T14:00,7,7,2.214,6.3,15.5,0.954,0.425,0.1175,4
31,2026-05-27T19:00,2026-05-27T20:00,2,2,3.35,4.4,6.7,0.443,1.0,0.0808,41
32,2026-05-29T14:00,2026-05-29T14:00,1,1,0.7,0.7,0.7,0.0,1.0,0.0,42
33,2026-05-31T09:00,2026-05-31T09:00,1,1,1.2,1.2,1.2,0.0,0.833,0.0102,8
34,2026-05-31T18:00,2026-05-31T19:00,2,2,0.85,1.3,1.7,0.749,0.76,0.0008,20
35,2026-06-01T16:00,2026-06-01T17:00,2,2,2.0,2.0,4.0,0.0,0.5,0.0862,3
36,2026-06-01T21:00,2026-06-01T22:00,2,2,0.75,0.8,1.5,0.094,0.669,0.0,7
37,2026-06-02T06:00,2026-06-02T13:00,8,7,0.537,1.4,4.3,0.75,0.43,0.01,13
38,2026-06-03T03:00,2026-06-03T04:00,2,2,1.1,1.8,2.2,0.9,1.0,0.0,4
39,2026-06-03T09:00,2026-06-03T16:00,8,8,1.4,3.0,11.2,0.8,0.071,0.0,3
40,2026-06-03T20:00,2026-06-04T05:00,10,10,1.19,2.0,11.9,0.562,0.063,0.0,2
41,2026-06-04T08:00,2026-06-04T08:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,11
42,2026-06-04T20:00,2026-06-04T21:00,2,2,0.35,0.4,0.7,0.202,0.0,0.0,3
43,2026-06-05T01:00,2026-06-05T01:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,4
44,2026-06-05T06:00,2026-06-05T07:00,2,2,0.3,0.3,0.6,0.0,0.834,0.0,28
45,2026-06-06T12:00,2026-06-06T14:00,3,3,0.433,0.6,1.3,0.353,0.695,0.0,2
46,2026-06-06T17:00,2026-06-07T00:00,8,7,0.713,1.2,5.7,0.548,0.0,0.0027,2
47,2026-06-07T03:00,2026-06-07T03:00,1,1,0.8,0.8,0.8,0.0,0.875,0.0,2
48,2026-06-07T06:00,2026-06-07T15:00,10,10,0.94,2.1,9.4,0.585,0.567,0.0083,3
49,2026-06-07T19:00,2026-06-07T19:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
50,2026-06-07T22:00,2026-06-08T06:00,9,8,1.344,3.4,12.1,0.9,0.668,0.105,24
51,2026-06-09T07:00,2026-06-09T07:00,1,1,0.5,0.5,0.5,0.0,0.4,0.0,12
52,2026-06-09T20:00,2026-06-09T21:00,2,2,2.0,3.6,4.0,1.131,0.916,0.0,10
53,2026-06-10T08:00,2026-06-10T08:00,1,1,1.4,1.4,1.4,0.0,0.786,0.0175,11
54,2026-06-10T20:00,2026-06-11T00:00,5,4,0.44,0.8,2.2,0.523,0.4,0.0,7
55,2026-06-11T08:00,2026-06-11T09:00,2,2,0.5,0.6,1.0,0.283,0.5,0.0,27
56,2026-06-12T13:00,2026-06-12T13:00,1,1,0.6,0.6,0.6,0.0,0.0,0.0,6
57,2026-06-12T20:00,2026-06-12T22:00,3,3,0.833,1.8,2.5,1.006,0.0,0.064,7
58,2026-06-13T06:00,2026-06-13T07:00,2,2,3.3,4.0,6.6,0.3,0.837,0.4462,10
59,2026-06-13T18:00,2026-06-13T21:00,4,4,1.425,2.1,5.7,0.491,0.529,0.005,10
60,2026-06-14T08:00,2026-06-14T09:00,2,2,0.9,1.2,1.8,0.471,0.666,0.0312,15
61,2026-06-15T01:00,2026-06-15T15:00,15,13,1.407,5.2,21.1,1.145,0.455,0.37,3
62,2026-06-15T19:00,2026-06-16T09:00,15,14,1.44,4.5,21.6,0.917,0.693,0.2225,2
63,2026-06-16T12:00,2026-06-16T12:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,6
64,2026-06-16T19:00,2026-06-17T12:00,18,17,1.939,6.0,34.9,0.728,0.355,0.045,8
65,2026-06-17T21:00,2026-06-17T21:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,6
66,2026-06-18T04:00,2026-06-18T04:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,60
67,2026-06-20T17:00,2026-06-20T19:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,6
68,2026-06-21T02:00,2026-06-21T07:00,6,5,0.617,1.5,3.7,0.797,0.622,0.0563,33
69,2026-06-22T17:00,2026-06-22T17:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,2
70,2026-06-22T20:00,2026-06-22T22:00,3,2,0.267,0.4,0.8,0.573,0.333,0.0,4
71,2026-06-23T03:00,2026-06-23T03:00,1,1,0.6,0.6,0.6,0.0,0.833,0.0,3
72,2026-06-23T07:00,2026-06-23T07:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,8
73,2026-06-23T16:00,2026-06-23T20:00,5,4,0.98,2.3,4.9,0.922,0.213,0.0601,10
74,2026-06-24T07:00,2026-06-24T07:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,44
75,2026-06-26T04:00,2026-06-26T07:00,4,4,0.375,0.5,1.5,0.255,0.771,0.0,42
76,2026-06-28T02:00,2026-06-28T03:00,2,2,0.5,0.7,1.0,0.566,0.357,0.0,2
77,2026-06-28T06:00,2026-06-28T07:00,2,2,0.7,1.1,1.4,0.808,0.637,0.0093,11
78,2026-06-28T19:00,2026-06-29T01:00,7,7,2.214,7.3,15.5,1.105,0.556,0.1075,5
79,2026-06-29T07:00,2026-06-29T08:00,2,2,0.65,0.7,1.3,0.109,0.523,0.0,43
80,2026-07-01T04:00,2026-07-01T10:00,7,5,0.614,1.5,4.3,0.794,0.382,0.0481,2
81,2026-07-01T13:00,2026-07-01T15:00,3,3,2.167,3.3,6.5,0.615,0.542,0.2513,4
82,2026-07-01T20:00,2026-07-02T02:00,7,5,0.471,1.0,3.3,0.81,0.551,0.0,10
83,2026-07-02T13:00,2026-07-02T14:00,2,2,0.8,1.2,1.6,0.707,0.625,0.004,2
84,2026-07-02T17:00,2026-07-02T18:00,2,2,0.8,1.3,1.6,0.884,0.154,0.0086,2
85,2026-07-02T21:00,2026-07-03T00:00,4,4,1.15,1.6,4.6,0.405,0.536,0.0368,2
86,2026-07-03T03:00,2026-07-03T03:00,1,1,0.6,0.6,0.6,0.0,1.0,0.0,3
87,2026-07-03T07:00,2026-07-03T18:00,12,11,2.525,6.8,30.3,1.011,0.56,0.6923,6
88,2026-07-04T01:00,2026-07-04T01:00,1,1,0.4,0.4,0.4,0.0,0.75,0.0,6
89,2026-07-04T08:00,2026-07-04T08:00,1,1,0.7,0.7,0.7,0.0,0.714,0.0,4
90,2026-07-04T13:00,2026-07-04T14:00,2,2,0.9,1.4,1.8,0.786,0.0,0.04,3
91,2026-07-04T18:00,2026-07-04T23:00,6,5,1.35,2.6,8.1,0.677,0.739,0.0811,4
92,2026-07-05T04:00,2026-07-05T05:00,2,2,0.5,0.7,1.0,0.566,0.357,0.0,9
93,2026-07-05T15:00,2026-07-05T16:00,2,2,2.45,3.0,4.9,0.317,0.658,0.3675,2
94,2026-07-05T19:00,2026-07-05T20:00,2,2,1.3,2.0,2.6,0.761,0.425,0.125,4
95,2026-07-06T01:00,2026-07-06T01:00,1,1,0.6,0.6,0.6,0.0,0.333,0.0,2
96,2026-07-06T04:00,2026-07-06T09:00,6,5,1.483,3.6,8.9,0.802,0.304,0.364,3
97,2026-07-06T13:00,2026-07-06T16:00,4,4,1.225,2.4,4.9,0.674,0.354,0.0542,21
98,2026-07-07T14:00,2026-07-08T07:00,18,16,1.244,3.1,22.4,0.718,0.095,0.0578,4
99,2026-07-08T12:00,2026-07-08T14:00,3,2,0.667,1.4,2.0,0.999,0.643,0.036,8
100,2026-07-08T23:00,2026-07-08T23:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,2
101,2026-07-09T02:00,2026-07-09T21:00,20,16,1.25,6.0,25.0,1.159,0.467,0.19,6
102,2026-07-10T04:00,2026-07-10T09:00,6,5,0.533,1.1,3.2,0.698,0.607,0.0076,3
103,2026-07-10T13:00,2026-07-10T17:00,5,5,2.34,7.5,11.7,1.301,0.572,0.37,2
104,2026-07-10T20:00,2026-07-12T07:00,36,34,1.886,8.2,67.9,1.003,0.281,0.13,2
105,2026-07-12T10:00,2026-07-12T13:00,4,3,0.575,1.0,2.3,0.575,0.2,0.0,5
