time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30.0,-4.5,1.45,3.0,268,0,27340.0,0,0.15
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,20.0,-3.5,0.98,3.0,246,2,27620.0,1,0.15
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,-0.4,1.15,2.7,214,0,27700.0,1,0.15
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,195.0,2.0,1.47,3.8,162,0,27700.0,1,0.15
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,265.0,3.7,1.78,4.8,142,0,27760.0,1,0.15
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,390.0,5.6,2.76,6.5,138,0,27760.0,1,0.15
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,490.0,6.6,3.19,6.9,131,1,27760.0,1,0.15
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,520.0,6.9,3.78,7.9,127,8,27760.0,1,0.149
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,375.0,6.5,3.08,7.8,126,63,27760.0,1,0.148
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,340.0,4.4,1.44,6.0,146,18,27700.0,1,0.148
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,80.0,1.2,1.03,2.2,219,1,27700.0,1,0.148
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,35.0,-0.8,1.37,2.3,237,0,27700.0,0,0.148
