event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-02-23T04:00,2026-02-23T12:00,9,9,0.6,0.8,5.4,0.25,0.0,0.0,47
1,2026-02-25T12:00,2026-02-25T12:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,2
2,2026-02-25T15:00,2026-02-25T15:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,53
3,2026-02-27T21:00,2026-02-27T21:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,13
4,2026-02-28T11:00,2026-02-28T16:00,6,6,0.617,1.1,3.7,0.507,0.158,0.0,10
5,2026-03-01T03:00,2026-03-01T03:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,99
6,2026-03-05T07:00,2026-03-05T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,191
7,2026-03-13T07:00,2026-03-13T08:00,2,2,0.4,0.4,0.8,0.0,0.0,0.0,3
8,2026-03-13T12:00,2026-03-13T12:00,1,1,0.4,0.4,0.4,0.0,0.0,0.0,4
9,2026-03-13T17:00,2026-03-13T17:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,2
10,2026-03-13T20:00,2026-03-13T21:00,2,2,0.45,0.5,0.9,0.157,0.0,0.0,2
11,2026-03-14T00:00,2026-03-14T14:00,15,15,0.787,1.5,11.8,0.437,0.013,0.0019,62
12,2026-03-17T05:00,2026-03-17T07:00,3,3,0.533,0.6,1.6,0.108,0.0,0.0,3
13,2026-03-17T11:00,2026-03-17T11:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,151
14,2026-03-23T19:00,2026-03-23T20:00,2,2,0.4,0.4,0.8,0.0,0.125,0.0,108
15,2026-03-28T09:00,2026-03-28T09:00,1,1,2.5,2.5,2.5,0.0,0.92,0.0037,3
16,2026-03-28T13:00,2026-03-28T13:00,1,1,1.8,1.8,1.8,0.0,0.944,0.001,40
17,2026-03-30T06:00,2026-03-30T07:00,2,2,0.4,0.5,0.8,0.354,0.734,0.0,16
18,2026-03-31T00:00,2026-03-31T00:00,1,1,0.3,0.3,0.3,0.0,0.667,0.0,195
