event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-25T18:00,2026-01-25T22:00,5,4,0.42,0.7,2.1,0.458,0.0,0.0,88
1,2026-01-29T15:00,2026-01-29T22:00,8,6,0.3,0.5,2.4,0.398,0.24,0.0,2
2,2026-01-30T01:00,2026-01-30T01:00,1,1,0.4,0.4,0.4,0.0,0.5,0.0,22
3,2026-01-31T00:00,2026-01-31T05:00,6,6,0.767,1.2,4.6,0.316,0.521,0.0005,18
4,2026-02-01T00:00,2026-02-01T03:00,4,3,0.4,1.0,1.6,1.061,0.0,0.0,550
5,2026-02-24T02:00,2026-02-24T09:00,8,8,2.237,4.3,17.9,0.688,0.667,0.0304,59
6,2026-02-26T21:00,2026-02-27T04:00,8,7,1.363,3.7,10.9,0.912,0.853,0.0037,13
7,2026-02-27T18:00,2026-02-28T02:00,9,8,0.589,1.0,5.3,0.437,0.0,0.0,3
8,2026-02-28T06:00,2026-02-28T18:00,13,12,1.054,5.8,13.7,1.462,0.142,0.005,2
9,2026-02-28T21:00,2026-02-28T21:00,1,1,0.7,0.7,0.7,0.0,0.0,0.0,3
10,2026-03-01T01:00,2026-03-01T10:00,10,10,3.17,13.9,31.7,1.219,0.649,0.0213,14
11,2026-03-02T01:00,2026-03-02T03:00,3,3,4.967,7.5,14.9,0.748,0.995,0.0,8
12,2026-03-02T12:00,2026-03-02T12:00,1,1,3.9,3.9,3.9,0.0,0.897,0.0,3
13,2026-03-02T16:00,2026-03-02T23:00,8,8,0.787,1.6,6.3,0.545,0.1,0.0002,12
14,2026-03-03T12:00,2026-03-03T18:00,7,5,0.529,1.8,3.7,1.102,0.135,0.0,12
15,2026-03-04T07:00,2026-03-04T09:00,3,2,0.267,0.5,0.8,0.944,0.333,0.0,9
16,2026-03-04T19:00,2026-03-05T02:00,8,7,0.562,1.0,4.5,0.554,0.079,0.0,92
