time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,520.0,13.7,5.22,9.4,12,0,21480.0,1,0.065
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,615.0,15.3,4.6,9.4,12,0,22980.0,1,0.064
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,710.0,16.9,6.06,12.2,26,0,22980.0,1,0.064
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,745.0,18.0,5.72,12.9,36,0,22980.0,1,0.064
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,785.0,19.2,4.84,11.9,44,0,24280.0,1,0.064
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,780.0,19.9,4.91,10.7,59,0,24300.0,1,0.063
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,575.0,20.2,4.67,10.8,73,0,24300.0,1,0.06
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,370.0,19.7,5.28,10.3,84,0,24300.0,1,0.06
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,300.0,18.7,6.12,11.0,85,0,23000.0,1,0.06
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,275.0,17.4,6.54,11.1,83,0,21500.0,1,0.059
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,280.0,16.5,6.76,11.2,74,0,21520.0,0,0.059
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,300.0,16.1,6.2,11.1,69,0,19760.0,0,0.059
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,300.0,16.0,5.46,10.3,65,0,19760.0,0,0.049
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,290.0,15.8,4.49,8.9,58,0,19760.0,0,0.049
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,275.0,15.4,3.71,7.5,43,0,19760.0,0,0.049
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,265.0,15.1,3.73,6.3,26,0,19780.0,0,0.049
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,235.0,14.9,3.45,6.4,19,1,19780.0,0,0.049
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,200.0,14.6,3.24,5.8,17,52,19780.0,0,0.049
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,195.0,14.9,3.39,5.7,16,100,21520.0,0,0.049
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,110.0,15.1,2.22,5.7,337,100,21540.0,0,0.049
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,85.0,15.1,1.79,3.8,306,100,6100.0,0,0.049
2026-01-14T21:00,0.1,0.1,0.0,0.0,0.0,0.0,51,20.0,,75.0,14.6,2.2,3.8,319,100,19700.0,0,0.05
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,75.0,14.6,2.13,4.1,319,100,19780.0,0,0.05
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,65.0,14.5,1.77,3.9,310,99,21540.0,1,0.05
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,70.0,14.8,2.37,4.1,318,95,19780.0,1,0.056
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,65.0,16.1,1.59,4.9,298,100,21540.0,1,0.056
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,85.0,17.5,0.89,4.4,297,70,23040.0,1,0.056
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,110.0,18.5,0.96,4.5,231,34,23040.0,1,0.055
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,60.0,19.3,1.1,4.8,185,71,23040.0,1,0.055
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,80.0,19.9,1.54,5.2,167,100,24360.0,1,0.055
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,100.0,19.9,1.77,5.8,164,100,24360.0,1,0.061
2026-01-15T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,85.0,19.3,1.58,4.9,145,100,23060.0,1,0.061
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,80.0,18.5,1.61,4.4,116,100,23060.0,1,0.061
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,30.0,17.8,0.9,4.0,109,98,21560.0,1,0.061
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,15.0,17.1,0.47,2.5,108,100,19800.0,0,0.061
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,10.0,16.7,0.34,1.7,27,97,19800.0,0,0.061
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,35.0,16.4,1.1,1.4,355,29,19800.0,0,0.044
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,25.0,15.1,0.7,2.1,4,90,19800.0,0,0.044
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,40.0,15.7,1.44,2.3,56,100,19820.0,0,0.044
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,65.0,15.7,2.22,3.5,82,100,19820.0,0,0.044
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,85.0,15.5,2.57,4.1,63,75,15440.0,0,0.044
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1.0,105.0,15.7,2.66,4.5,40,99,17180.0,0,0.044
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,4.0,130.0,16.2,2.98,5.2,14,99,19820.0,0,0.048
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,130.0,16.6,3.05,5.3,2,90,19820.0,0,0.048
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,110.0,16.0,2.91,5.2,355,100,21580.0,0,0.048
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,110.0,16.2,2.76,5.1,5,100,21580.0,0,0.048
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,135.0,16.3,2.71,4.7,25,99,23100.0,0,0.048
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,215.0,16.7,3.29,5.4,42,99,23100.0,1,0.048
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,360.0,17.0,4.29,6.2,48,100,23100.0,1,0.054
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,405.0,17.7,4.74,8.2,48,100,23100.0,1,0.054
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,455.0,18.4,4.53,8.6,43,100,24420.0,1,0.054
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,540.0,19.3,4.24,8.5,43,100,24420.0,1,0.054
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,575.0,19.9,3.86,8.5,49,100,24420.0,1,0.054
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,545.0,20.1,3.6,8.0,66,100,24420.0,1,0.054
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,315.0,19.7,3.56,7.7,87,100,24420.0,1,0.051
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,245.0,19.1,4.76,8.7,93,88,23120.0,1,0.051
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,,220.0,17.9,5.56,9.8,86,93,21600.0,1,0.051
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,220.0,17.4,5.47,9.9,74,33,21600.0,1,0.051
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,235.0,16.9,4.81,9.1,63,12,21620.0,0,0.051
2026-01-16T11:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,250.0,16.5,4.55,7.9,54,29,19840.0,0,0.051
2026-01-16T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,275.0,16.5,5.04,7.8,53,29,19840.0,0,0.042
2026-01-16T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,260.0,16.3,4.71,8.4,47,8,19840.0,0,0.042
2026-01-16T14:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,250.0,16.0,3.97,7.8,42,23,21620.0,0,0.042
2026-01-16T15:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,280.0,16.1,4.55,7.7,36,68,21620.0,0,0.042
2026-01-16T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,265.0,16.1,4.47,7.6,32,89,21600.0,0,0.042
2026-01-16T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,260.0,16.1,4.81,8.0,25,98,21600.0,0,0.042
2026-01-16T18:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,250.0,16.1,4.67,8.7,17,63,21600.0,0,0.039
2026-01-16T19:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,235.0,16.1,4.31,7.9,15,70,23120.0,0,0.039
2026-01-16T20:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,175.0,15.9,3.35,7.2,20,51,23100.0,0,0.039
2026-01-16T21:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,155.0,15.5,2.72,5.6,32,52,21600.0,0,0.039
2026-01-16T22:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,225.0,15.6,3.47,5.7,41,49,21600.0,0,0.039
2026-01-16T23:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,310.0,15.5,4.41,7.4,39,20,23100.0,1,0.039
2026-01-17T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,300.0,16.2,4.2,8.2,25,6,23100.0,1,0.038
2026-01-17T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,370.0,17.7,4.84,9.1,31,13,24420.0,1,0.038
2026-01-17T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,475.0,19.6,5.76,11.4,34,6,27440.0,1,0.038
2026-01-17T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,530.0,21.1,5.94,12.2,39,2,27440.0,1,0.038
2026-01-17T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,590.0,22.0,5.84,12.3,47,2,27440.0,1,0.038
2026-01-17T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,670.0,22.9,5.62,12.0,61,7,27880.0,1,0.038
2026-01-17T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,490.0,22.3,5.79,11.8,80,9,27440.0,1,0.044
2026-01-17T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,385.0,21.3,6.83,12.4,81,1,24400.0,1,0.044
2026-01-17T08:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,355.0,20.0,8.03,14.0,80,9,24400.0,1,0.044
2026-01-17T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,360.0,18.6,8.26,14.3,74,15,23080.0,1,0.044
2026-01-17T10:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,380.0,17.4,7.83,14.0,68,52,21580.0,0,0.044
2026-01-17T11:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,395.0,16.6,7.77,13.0,60,38,19820.0,0,0.044
2026-01-17T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,405.0,16.4,7.23,13.2,54,27,19820.0,0,0.035
2026-01-17T13:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,410.0,16.0,6.8,12.2,48,70,19820.0,0,0.035
2026-01-17T14:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,410.0,15.9,6.69,11.7,42,38,19820.0,0,0.035
2026-01-17T15:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,425.0,15.8,6.85,11.8,35,73,19820.0,0,0.035
2026-01-17T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,455.0,15.7,6.68,12.3,40,96,19820.0,0,0.035
2026-01-17T17:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,470.0,15.5,7.0,12.2,46,42,19820.0,0,0.035
2026-01-17T18:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,5.0,465.0,15.3,6.65,13.4,44,77,19820.0,0,0.031
2026-01-17T19:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,475.0,15.1,6.65,11.7,46,75,19820.0,0,0.031
2026-01-17T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,480.0,14.9,6.79,12.3,44,82,17180.0,0,0.031
2026-01-17T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,485.0,14.6,6.72,12.1,43,88,17180.0,0,0.031
2026-01-17T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,470.0,14.4,7.31,12.7,40,91,17180.0,0,0.031
2026-01-17T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,520.0,14.3,6.99,12.7,41,97,17180.0,1,0.031
2026-01-18T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,575.0,14.8,6.58,12.4,39,98,19800.0,1,0.037
2026-01-18T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,570.0,15.8,5.99,12.5,41,95,19800.0,1,0.037
2026-01-18T02:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,600.0,17.1,6.35,12.7,41,77,21560.0,1,0.037
2026-01-18T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,610.0,18.5,6.08,12.9,47,85,21560.0,1,0.037
2026-01-18T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,625.0,19.6,5.52,12.6,56,5,23060.0,1,0.037
2026-01-18T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,,465.0,19.9,5.39,11.7,75,86,23060.0,1,0.037
2026-01-18T06:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,330.0,18.9,6.33,12.6,84,60,21560.0,1,0.043
2026-01-18T07:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,280.0,17.4,7.75,14.4,89,59,19800.0,1,0.043
2026-01-18T08:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,,285.0,16.8,8.04,15.1,81,63,19800.0,1,0.043
2026-01-18T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,300.0,16.4,7.97,14.8,75,10,19800.0,1,0.043
2026-01-18T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,325.0,15.7,7.48,14.5,67,1,17160.0,0,0.043
2026-01-18T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,350.0,15.6,6.41,12.8,56,0,17160.0,0,0.043
